Frequency(Hz),   Magnitude(dB)
   11.804, -13.502777
   11.929, -13.530849
   12.056, -13.553838
   12.184, -13.575030
   12.314, -13.595015
   12.445, -13.613917
   12.578, -13.631925
   12.711, -13.649166
   12.847, -13.665818
   12.983, -13.681890
   13.122, -13.697220
   13.261, -13.711620
   13.402, -13.725049
   13.545, -13.737651
   13.689, -13.749596
   13.835, -13.761023
   13.982, -13.772055
   14.131, -13.782798
   14.281, -13.793138
   14.433, -13.802897
   14.587, -13.811883
   14.742, -13.820115
   14.899, -13.827786
   15.057, -13.835097
   15.217, -13.842170
   15.379, -13.848928
   15.543, -13.855289
   15.708, -13.861197
   15.875, -13.866665
   16.044, -13.871695
   16.215, -13.876358
   16.388, -13.880771
   16.562, -13.885101
   16.738, -13.889365
   16.916, -13.893436
   17.096, -13.897125
   17.278, -13.900416
   17.462, -13.903391
   17.648, -13.906149
   17.836, -13.908646
   18.025, -13.910755
   18.217, -13.912403
   18.411, -13.913697
   18.607, -13.914761
   18.805, -13.915726
   19.005, -13.916744
   19.207, -13.917864
   19.412, -13.918840
   19.618, -13.919321
   19.827, -13.919306
   20.038, -13.919055
   20.251, -13.918752
   20.467, -13.918390
   20.684, -13.917887
   20.905, -13.917266
   21.127, -13.916677
   21.352, -13.916236
   21.579, -13.915900
   21.809, -13.915489
   22.041, -13.914824
   22.275, -13.913863
   22.512, -13.912601
   22.752, -13.911102
   22.994, -13.909548
   23.239, -13.908084
   23.486, -13.906632
   23.736, -13.905071
   23.988, -13.903371
   24.244, -13.901635
   24.501, -13.899917
   24.762, -13.898208
   25.026, -13.896405
   25.292, -13.894464
   25.561, -13.892483
   25.833, -13.890602
   26.108, -13.888851
   26.386, -13.887008
   26.667, -13.884760
   26.950, -13.882174
   27.237, -13.879627
   27.527, -13.877345
   27.820, -13.875203
   28.116, -13.872996
   28.415, -13.870615
   28.717, -13.868154
   29.023, -13.865704
   29.332, -13.863352
   29.644, -13.861159
   29.959, -13.859180
   30.278, -13.857438
   30.600, -13.855719
   30.926, -13.853773
   31.255, -13.851669
   31.587, -13.849664
   31.924, -13.847934
   32.263, -13.846390
   32.607, -13.844919
   32.953, -13.843439
   33.304, -13.841922
   33.658, -13.840346
   34.017, -13.838787
   34.379, -13.837443
   34.744, -13.836499
   35.114, -13.835380
   35.488, -13.833736
   35.865, -13.831565
   36.247, -13.829496
   36.633, -13.827747
   37.022, -13.826310
   37.416, -13.824942
   37.815, -13.823416
   38.217, -13.821874
   38.624, -13.820656
   39.035, -13.820070
   39.450, -13.820151
   39.870, -13.820767
   40.294, -13.821809
   40.723, -13.823281
   41.156, -13.825258
   41.594, -13.827800
   42.036, -13.830826
   42.484, -13.834183
   42.936, -13.837799
   43.393, -13.841746
   43.854, -13.846203
   44.321, -13.851237
   44.793, -13.856824
   45.269, -13.862895
   45.751, -13.869582
   46.238, -13.877377
   46.730, -13.889050
   47.227, -13.906088
   47.730, -13.928022
   48.237, -13.951927
   48.751, -13.976378
   49.269, -14.001197
   49.794, -14.026628
   50.323, -14.052942
   50.859, -14.080234
   51.400, -14.108417
   51.947, -14.137423
   52.500, -14.167142
   53.058, -14.197463
   53.623, -14.228397
   54.194, -14.260453
   54.770, -14.294190
   55.353, -14.329649
   55.942, -14.366205
   56.537, -14.403275
   57.139, -14.440901
   57.747, -14.479348
   58.361, -14.519151
   58.982, -14.560636
   59.610, -14.603840
   60.244, -14.648513
   60.885, -14.694333
   61.533, -14.740748
   62.188, -14.787266
   62.850, -14.833876
   63.518, -14.880659
   64.194, -14.927731
   64.877, -14.975201
   65.568, -15.023175
   66.265, -15.071612
   66.970, -15.120404
   67.683, -15.169498
   68.403, -15.219089
   69.131, -15.269497
   69.867, -15.320860
   70.610, -15.372906
   71.361, -15.425128
   72.121, -15.477254
   72.888, -15.529301
   73.664, -15.581458
   74.448, -15.633930
   75.240, -15.686976
   76.040, -15.740702
   76.849, -15.794918
   77.667, -15.849385
   78.494, -15.904015
   79.329, -15.959037
   80.173, -16.014723
   81.026, -16.070868
   81.888, -16.123457
   82.759, -16.168758
   83.640, -16.205225
   84.530, -16.235683
   85.430, -16.262438
   86.339, -16.286674
   87.257, -16.308954
   88.186, -16.329874
   89.124, -16.350651
   90.072, -16.372879
   91.031, -16.398355
   91.999, -16.429289
   92.978, -16.468195
   93.968, -16.517324
   94.968, -16.577394
   95.978, -16.647680
   96.999, -16.726219
   98.032, -16.810900
   99.075, -16.899599
  100.129, -16.990221
  101.194, -17.080524
  102.271, -17.168039
  103.359, -17.250067
  104.459, -17.322458
  105.571, -17.377234
  106.694, -17.415350
  107.829, -17.443089
  108.977, -17.470346
  110.136, -17.498323
  111.308, -17.526937
  112.492, -17.555944
  113.689, -17.585155
  114.899, -17.614386
  116.122, -17.643497
  117.357, -17.672489
  118.606, -17.701384
  119.868, -17.730370
  121.144, -17.759731
  122.433, -17.789812
  123.735, -17.820679
  125.052, -17.852085
  126.383, -17.883530
  127.727, -17.913984
  129.087, -17.941734
  130.460, -17.967199
  131.848, -17.992270
  133.251, -18.019394
  134.669, -18.048296
  136.102, -18.077692
  137.550, -18.106676
  139.014, -18.135899
  140.493, -18.166553
  141.988, -18.200390
  143.499, -18.238722
  145.026, -18.281666
  146.569, -18.327908
  148.129, -18.375135
  149.705, -18.420631
  151.298, -18.460245
  152.908, -18.488577
  154.535, -18.502861
  156.179, -18.503134
  157.841, -18.493397
  159.520, -18.477531
  161.218, -18.458855
  162.933, -18.434034
  164.667, -18.393541
  166.419, -18.330278
  168.190, -18.255072
  169.979, -18.190939
  171.788, -18.158794
  173.616, -18.160831
  175.463, -18.193279
  177.330, -18.244404
  179.217, -18.296968
  181.124, -18.332018
  183.052, -18.345564
  184.999, -18.343313
  186.968, -18.329702
  188.957, -18.308739
  190.968, -18.285482
  193.000, -18.265657
  195.054, -18.252991
  197.129, -18.250738
  199.227, -18.264553
  201.347, -18.299095
  203.489, -18.353243
  205.654, -18.417583
  207.843, -18.480879
  210.054, -18.534437
  212.289, -18.573557
  214.548, -18.598932
  216.831, -18.615692
  219.138, -18.632212
  221.470, -18.660679
  223.827, -18.713543
  226.208, -18.794346
  228.615, -18.889103
  231.048, -18.975950
  233.506, -19.040636
  235.991, -19.084679
  238.502, -19.117289
  241.040, -19.146742
  243.605, -19.181213
  246.197, -19.227703
  248.816, -19.291651
  251.464, -19.370125
  254.140, -19.451931
  256.844, -19.517319
  259.577, -19.552145
  262.339, -19.557684
  265.130, -19.551928
  267.952, -19.557785
  270.803, -19.586702
  273.684, -19.636353
  276.596, -19.694685
  279.540, -19.752205
  282.514, -19.806002
  285.520, -19.855362
  288.558, -19.899796
  291.629, -19.932041
  294.732, -19.939363
  297.868, -19.919724
  301.037, -19.890661
  304.241, -19.884642
  307.478, -19.921223
  310.750, -19.991100
  314.056, -20.050705
  317.398, -20.050440
  320.775, -19.984379
  324.189, -19.885916
  327.638, -19.791615
  331.124, -19.712023
  334.648, -19.648096
  338.209, -19.604471
  341.807, -19.588140
  345.444, -19.602909
  349.120, -19.649275
  352.835, -19.731344
  356.589, -19.844696
  360.384, -19.962379
  364.218, -20.047092
  368.094, -20.088444
  372.011, -20.100975
  375.969, -20.099764
  379.970, -20.088863
  384.013, -20.084196
  388.099, -20.117161
  392.228, -20.193386
  396.402, -20.269220
  400.620, -20.290277
  404.883, -20.255524
  409.191, -20.206656
  413.545, -20.173605
  417.945, -20.163189
  422.393, -20.182880
  426.887, -20.231316
  431.429, -20.280027
  436.020, -20.295885
  440.660, -20.269716
  445.348, -20.218491
  450.087, -20.155174
  454.876, -20.101851
  459.717, -20.077047
  464.608, -20.079292
  469.552, -20.086334
  474.548, -20.085035
  479.598, -20.082724
  484.701, -20.090549
  489.858, -20.118153
  495.071, -20.172771
  500.339, -20.235119
  505.663, -20.264893
  511.043, -20.259239
  516.481, -20.266190
  521.977, -20.316208
  527.531, -20.388731
  533.144, -20.454626
  538.817, -20.519371
  544.550, -20.590033
  550.345, -20.646534
  556.201, -20.677702
  562.119, -20.707651
  568.100, -20.762487
  574.145, -20.840576
  580.255, -20.922302
  586.429, -21.025400
  592.669, -21.145950
  598.975, -21.244707
  605.349, -21.304762
  611.790, -21.357817
  618.300, -21.419079
  624.879, -21.459068
  631.528, -21.480036
  638.248, -21.506161
  645.039, -21.503569
  651.903, -21.479336
  658.839, -21.500856
  665.850, -21.591228
  672.935, -21.699045
  680.095, -21.773586
  687.332, -21.818604
  694.645, -21.797997
  702.037, -21.773792
  709.507, -21.789539
  717.057, -21.849844
  724.686, -21.922791
  732.398, -22.011723
  740.191, -22.083654
  748.067, -22.126062
  756.027, -22.163933
  764.071, -22.235161
  772.201, -22.284475
  780.418, -22.286642
  788.722, -22.234434
  797.115, -22.127106
  805.597, -22.067360
  814.169, -22.094805
  822.832, -22.115307
  831.587, -22.072212
  840.436, -22.002327
  849.379, -21.996300
  858.417, -21.992258
  867.551, -21.999418
  876.782, -22.039268
  886.111, -22.113565
  895.540, -22.155806
  905.069, -22.136148
  914.700, -22.119228
  924.433, -22.099766
  934.269, -22.080738
  944.210, -22.041697
  954.257, -22.024527
  964.411, -21.984940
  974.673, -21.887596
  985.044, -21.741123
  995.526, -21.632971
 1006.119, -21.594706
 1016.824, -21.571766
 1027.644, -21.562460
 1038.579, -21.560711
 1049.630, -21.574028
 1060.799, -21.557270
 1072.086, -21.530054
 1083.494, -21.481182
 1095.023, -21.401222
 1106.674, -21.334099
 1118.450, -21.292236
 1130.351, -21.231274
 1142.379, -21.123379
 1154.534, -20.987305
 1166.819, -20.906546
 1179.235, -20.870436
 1191.783, -20.918079
 1204.464, -20.920298
 1217.280, -20.879347
 1230.233, -20.787401
 1243.323, -20.728535
 1256.553, -20.645414
 1269.923, -20.544046
 1283.436, -20.469694
 1297.093, -20.469717
 1310.895, -20.427355
 1324.843, -20.345098
 1338.940, -20.252199
 1353.188, -20.193342
 1367.586, -20.141308
 1382.138, -20.125082
 1396.845, -20.149536
 1411.708, -20.166412
 1426.730, -20.133198
 1441.911, -20.054266
 1457.254, -19.929636
 1472.760, -19.831503
 1488.431, -19.728792
 1504.269, -19.671186
 1520.275, -19.615461
 1536.452, -19.605247
 1552.801, -19.592478
 1569.323, -19.553791
 1586.022, -19.460335
 1602.898, -19.315266
 1619.954, -19.217178
 1637.191, -19.142513
 1654.612, -19.086769
 1672.218, -18.994316
 1690.011, -18.963587
 1707.994, -18.918365
 1726.168, -18.871912
 1744.536, -18.787374
 1763.099, -18.686703
 1781.859, -18.591211
 1800.819, -18.477121
 1819.981, -18.373632
 1839.347, -18.220812
 1858.918, -17.989765
 1878.698, -17.655397
 1898.689, -17.332268
 1918.892, -17.039856
 1939.310, -16.820675
 1959.946, -16.603039
 1980.801, -16.442465
 2001.878, -16.303549
 2023.179, -16.192553
 2044.707, -16.074745
 2066.464, -15.979255
 2088.452, -15.858425
 2110.674, -15.731576
 2133.133, -15.629218
 2155.831, -15.516363
 2178.771, -15.446183
 2201.954, -15.351131
 2225.384, -15.267812
 2249.063, -15.140989
 2272.995, -15.007042
 2297.181, -14.903540
 2321.624, -14.795057
 2346.328, -14.706158
 2371.294, -14.606895
 2396.526, -14.476940
 2422.027, -14.329013
 2447.798, -14.232556
 2473.844, -14.155569
 2500.168, -14.055706
 2526.771, -13.956115
 2553.657, -13.890574
 2580.830, -13.844580
 2608.291, -13.748281
 2636.045, -13.670286
 2664.094, -13.618299
 2692.442, -13.539295
 2721.091, -13.450449
 2750.045, -13.360303
 2779.307, -13.316236
 2808.881, -13.277912
 2838.769, -13.236297
 2868.975, -13.199603
 2899.503, -13.208642
 2930.355, -13.238319
 2961.536, -13.283804
 2993.049, -13.329723
 3024.896, -13.421082
 3057.083, -13.535165
 3089.612, -13.614216
 3122.488, -13.710291
 3155.713, -13.842994
 3189.292, -13.992257
 3223.228, -14.166715
 3257.525, -14.353482
 3292.187, -14.585430
 3327.218, -14.796515
 3362.621, -15.034610
 3398.402, -15.353381
 3434.563, -15.708714
 3471.108, -16.054392
 3508.043, -16.397079
 3545.371, -16.754583
 3583.096, -17.133400
 3621.222, -17.495197
 3659.754, -17.852875
 3698.696, -18.196054
 3738.052, -18.535820
 3777.827, -18.873440
 3818.026, -19.229019
 3858.652, -19.566658
 3899.710, -19.946171
 3941.206, -20.261736
 3983.142, -20.581827
 4025.525, -20.881210
 4068.360, -21.212074
 4111.649, -21.551126
 4155.400, -21.859640
 4199.616, -22.158989
 4244.302, -22.407511
 4289.464, -22.625399
 4335.106, -22.781994
 4381.235, -22.879601
 4427.854, -22.928995
 4474.969, -22.908079
 4522.585, -22.863234
 4570.708, -22.776520
 4619.343, -22.622555
 4668.496, -22.428228
 4718.171, -22.139694
 4768.376, -21.846846
 4819.114, -21.579313
