Frequency(Hz),Magnitude(dB)
11.804,-16.197214
11.929,-16.206353
12.056,-16.196762
12.184,-16.183447
12.314,-16.168634
12.445,-16.152474
12.578,-16.135141
12.711,-16.116797
12.847,-16.097601
12.983,-16.077588
13.122,-16.056596
13.261,-16.034448
13.402,-16.011109
13.545,-15.986735
13.689,-15.961508
13.835,-15.93558
13.982,-15.909084
14.131,-15.882134
14.281,-15.854636
14.433,-15.826419
14.587,-15.797318
14.742,-15.767357
14.899,-15.736748
15.057,-15.705718
15.217,-15.674395
15.379,-15.642732
15.543,-15.610667
15.708,-15.578161
15.875,-15.545253
16.044,-15.511975
16.215,-15.478409
16.388,-15.444713
16.562,-15.411071
16.738,-15.377544
16.916,-15.34402
17.096,-15.310351
17.278,-15.276546
17.462,-15.242739
17.648,-15.209061
17.836,-15.175499
18.025,-15.14197
18.217,-15.108446
18.411,-15.075072
18.607,-15.042029
18.805,-15.009499
19.005,-14.977671
19.207,-14.946657
19.412,-14.916254
19.618,-14.886188
19.827,-14.856502
20.038,-14.827525
20.251,-14.799517
20.467,-14.772517
20.684,-14.746532
20.905,-14.72166
21.127,-14.698112
21.352,-14.676102
21.579,-14.655664
21.809,-14.636695
22.041,-14.619122
22.275,-14.602997
22.512,-14.588403
22.752,-14.575515
22.994,-14.564615
23.239,-14.555918
23.486,-14.549108
23.736,-14.543576
23.988,-14.538813
24.244,-14.534705
24.501,-14.53131
24.762,-14.528582
25.026,-14.526412
25.292,-14.52473
25.561,-14.523614
25.833,-14.523182
26.108,-14.523445
26.386,-14.524131
26.667,-14.524918
26.95,-14.525834
27.237,-14.527207
27.527,-14.529247
27.82,-14.531771
28.116,-14.534524
28.415,-14.537367
28.717,-14.540324
29.023,-14.543434
29.332,-14.546732
29.644,-14.550211
29.959,-14.553858
30.278,-14.557616
30.6,-14.561208
30.926,-14.564295
31.255,-14.566851
31.587,-14.569061
31.924,-14.570989
32.263,-14.572449
32.607,-14.573221
32.953,-14.573102
33.304,-14.57194
33.658,-14.569586
34.017,-14.565985
34.379,-14.5612
34.744,-14.555478
35.114,-14.550631
35.488,-14.547268
35.865,-14.545116
36.247,-14.542508
36.633,-14.53919
37.022,-14.535154
37.416,-14.530201
37.815,-14.524153
38.217,-14.517205
38.624,-14.50975
39.035,-14.502158
39.45,-14.494511
39.87,-14.486764
40.294,-14.478873
40.723,-14.470925
41.156,-14.46308
41.594,-14.45549
42.036,-14.448169
42.484,-14.441081
42.936,-14.434239
43.393,-14.42786
