Frequency(Hz),   Magnitude(dB)
   11.804, -19.266251
   11.929, -19.260246
   12.056, -19.223585
   12.184, -19.181376
   12.314, -19.137350
   12.445, -19.091681
   12.578, -19.044533
   12.711, -18.996075
   12.847, -18.946486
   12.983, -18.895779
   13.122, -18.843809
   13.261, -18.790422
   13.402, -18.735567
   13.545, -18.679420
   13.689, -18.622166
   13.835, -18.563965
   13.982, -18.504969
   14.131, -18.445282
   14.281, -18.384840
   14.433, -18.323465
   14.587, -18.261023
   14.742, -18.197538
   14.899, -18.133236
   15.057, -18.068373
   15.217, -18.003069
   15.379, -17.937302
   15.543, -17.871040
   15.708, -17.804249
   15.875, -17.736990
   16.044, -17.669321
   16.215, -17.601334
   16.388, -17.533209
   16.562, -17.465166
   16.738, -17.397293
   16.916, -17.329487
   17.096, -17.261650
   17.278, -17.193789
   17.462, -17.126104
   17.648, -17.058729
   17.836, -16.991713
   18.025, -16.924986
   18.217, -16.858561
   18.411, -16.792631
   18.607, -16.727423
   18.805, -16.663137
   19.005, -16.600040
   19.207, -16.538265
   19.412, -16.477663
   19.618, -16.418024
   19.827, -16.359444
   20.038, -16.302298
   20.251, -16.246908
   20.467, -16.193380
   20.684, -16.141788
   20.905, -16.092291
   21.127, -16.045174
   21.352, -16.000738
   21.579, -15.959071
   21.809, -15.920170
   22.041, -15.884037
   22.275, -15.850804
   22.512, -15.820655
   22.752, -15.793875
   22.994, -15.770824
   23.239, -15.751765
   23.486, -15.735904
   23.736, -15.721783
   23.988, -15.708066
   24.244, -15.694371
   24.501, -15.680741
   24.762, -15.667150
   25.026, -15.653512
   25.292, -15.639774
   25.561, -15.626062
   25.833, -15.612499
   26.108, -15.599142
   26.386, -15.585731
   26.667, -15.572001
   26.950, -15.558009
   27.237, -15.544123
   27.527, -15.530606
   27.820, -15.517306
   28.116, -15.504037
   28.415, -15.490698
   28.717, -15.477384
   29.023, -15.464195
   29.332, -15.451229
   29.644, -15.438537
   29.959, -15.426201
   30.278, -15.414226
   30.600, -15.402426
   30.926, -15.390553
   31.255, -15.378674
   31.587, -15.367064
   31.924, -15.355903
   32.263, -15.345108
   32.607, -15.334587
   32.953, -15.324247
   33.304, -15.314071
   33.658, -15.304055
   34.017, -15.294275
   34.379, -15.284959
   34.744, -15.276195
   35.114, -15.266549
   35.488, -15.255293
   35.865, -15.242469
   36.247, -15.229490
   36.633, -15.216745
   37.022, -15.204226
   37.416, -15.191710
   37.815, -15.178949
   38.217, -15.166106
   38.624, -15.153511
   39.035, -15.141472
   39.450, -15.130013
   39.870, -15.119023
   40.294, -15.108382
   40.723, -15.098086
   41.156, -15.088228
   41.594, -15.078858
   42.036, -15.069887
   42.484, -15.061190
   42.936, -15.052666
   43.393, -15.044406
   43.854, -15.036579
   44.321, -15.029263
   44.793, -15.022414
   45.269, -15.015983
   45.751, -15.010100
   46.238, -15.005011
   46.730, -15.000930
   47.227, -14.997854
   47.730, -14.995737
   48.237, -14.994532
   48.751, -14.994102
   49.269, -14.994411
   49.794, -14.995694
   50.323, -14.998253
   50.859, -15.002198
   51.400, -15.007474
   51.947, -15.014011
   52.500, -15.021729
   53.058, -15.030526
   53.623, -15.040451
   54.194, -15.052012
   54.770, -15.065818
   55.353, -15.081898
   55.942, -15.099676
   56.537, -15.118597
   57.139, -15.138714
   57.747, -15.160386
   58.361, -15.185140
   58.982, -15.215171
   59.610, -15.252033
   60.244, -15.295743
   60.885, -15.345283
   61.533, -15.399499
   62.188, -15.457289
   62.850, -15.517956
   63.518, -15.580894
   64.194, -15.645428
   64.877, -15.710865
   65.568, -15.776435
   66.265, -15.841170
   66.970, -15.903991
   67.683, -15.963776
   68.403, -16.019611
   69.131, -16.070469
   69.867, -16.113411
   70.610, -16.145458
   71.361, -16.167507
   72.121, -16.183611
   72.888, -16.197512
   73.664, -16.209919
   74.448, -16.221327
   75.240, -16.232296
   76.040, -16.243221
   76.849, -16.254246
   77.667, -16.265503
   78.494, -16.277254
   79.329, -16.290133
   80.173, -16.304859
   81.026, -16.321913
   81.888, -16.340761
   82.759, -16.360447
   83.640, -16.380310
   84.530, -16.400793
   85.430, -16.422560
   86.339, -16.445623
   87.257, -16.469343
   88.186, -16.493067
   89.124, -16.516638
   90.072, -16.540220
   91.031, -16.564066
   91.999, -16.588724
   92.978, -16.614727
   93.968, -16.641769
   94.968, -16.669376
   95.978, -16.697329
   96.999, -16.725885
   98.032, -16.754957
   99.075, -16.784586
  100.129, -16.814974
  101.194, -16.846312
  102.271, -16.878752
  103.359, -16.912437
  104.459, -16.947655
  105.571, -16.986065
  106.694, -17.028893
  107.829, -17.076830
  108.977, -17.128912
  110.136, -17.184383
  111.308, -17.242018
  112.492, -17.300360
  113.689, -17.357914
  114.899, -17.413113
  116.122, -17.464092
  117.357, -17.508705
  118.606, -17.546774
  119.868, -17.579803
  121.144, -17.610434
  122.433, -17.640142
  123.735, -17.670122
  125.052, -17.701271
  126.383, -17.734346
  127.727, -17.769436
  129.087, -17.805712
  130.460, -17.844652
  131.848, -17.888538
  133.251, -17.939228
  134.669, -17.994413
  136.102, -18.050493
  137.550, -18.104101
  139.014, -18.153036
  140.493, -18.193209
  141.988, -18.223383
  143.499, -18.244625
  145.026, -18.260551
  146.569, -18.272060
  148.129, -18.278843
  149.705, -18.280422
  151.298, -18.276472
  152.908, -18.263777
  154.535, -18.237425
  156.179, -18.194553
  157.841, -18.140413
  159.520, -18.085619
  161.218, -18.041460
  162.933, -18.017660
  164.667, -18.021065
  166.419, -18.047838
  168.190, -18.097878
  169.979, -18.174231
  171.788, -18.283239
  173.616, -18.412687
  175.463, -18.548389
  177.330, -18.679022
  179.217, -18.793890
  181.124, -18.880056
  183.052, -18.933952
  184.999, -18.960846
  186.968, -18.964296
  188.957, -18.947233
  190.968, -18.915031
  193.000, -18.875799
  195.054, -18.837202
  197.129, -18.806301
  199.227, -18.788149
  201.347, -18.783409
  203.489, -18.788319
  205.654, -18.797127
  207.843, -18.806664
  210.054, -18.816563
  212.289, -18.827587
  214.548, -18.840155
  216.831, -18.853157
  219.138, -18.865576
  221.470, -18.880625
  223.827, -18.905327
  226.208, -18.944016
  228.615, -18.989897
  231.048, -19.032360
  233.506, -19.070076
  235.991, -19.114080
  238.502, -19.172831
  241.040, -19.242014
  243.605, -19.309368
  246.197, -19.360264
  248.816, -19.387781
  251.464, -19.396046
  254.140, -19.401730
  256.844, -19.428064
  259.577, -19.492531
  262.339, -19.595049
  265.130, -19.714233
  267.952, -19.814447
  270.803, -19.875494
  273.684, -19.901731
  276.596, -19.912685
  279.540, -19.919861
  282.514, -19.924477
  285.520, -19.927050
  288.558, -19.928864
  291.629, -19.932365
  294.732, -19.940536
  297.868, -19.953693
  301.037, -19.968147
  304.241, -19.973591
  307.478, -19.959608
  310.750, -19.929111
  314.056, -19.909351
  317.398, -19.950752
  320.775, -20.069551
  324.189, -20.228247
  327.638, -20.334274
  331.124, -20.340609
  334.648, -20.274794
  338.209, -20.218714
  341.807, -20.225576
  345.444, -20.291824
  349.120, -20.359800
  352.835, -20.362953
  356.589, -20.290424
  360.384, -20.204794
  364.218, -20.180311
  368.094, -20.228786
  372.011, -20.314302
  375.969, -20.399494
  379.970, -20.476446
  384.013, -20.537163
  388.099, -20.558197
  392.228, -20.538492
  396.402, -20.508469
  400.620, -20.509651
  404.883, -20.540758
  409.191, -20.559763
  413.545, -20.538834
  417.945, -20.487247
  422.393, -20.434412
  426.887, -20.393641
  431.429, -20.368071
  436.020, -20.359171
  440.660, -20.361660
  445.348, -20.365843
  450.087, -20.365822
  454.876, -20.365398
  459.717, -20.370550
  464.608, -20.386032
  469.552, -20.419672
  474.548, -20.466362
  479.598, -20.475304
  484.701, -20.407732
  489.858, -20.305197
  495.071, -20.243896
  500.339, -20.257998
  505.663, -20.327196
  511.043, -20.421068
  516.481, -20.506439
  521.977, -20.567263
  527.531, -20.612988
  533.144, -20.662737
  538.817, -20.744801
  544.550, -20.863861
  550.345, -20.962315
  556.201, -20.994408
  562.119, -20.985685
  568.100, -21.002203
  574.145, -21.057222
  580.255, -21.129202
  586.429, -21.200619
  592.669, -21.262556
  598.975, -21.315899
  605.349, -21.362211
  611.790, -21.390060
  618.300, -21.403524
  624.879, -21.418489
  631.528, -21.463032
  638.248, -21.538853
  645.039, -21.637741
  651.903, -21.745058
  658.839, -21.857712
  665.850, -21.925415
  672.935, -21.915625
  680.095, -21.885967
  687.332, -21.887087
  694.645, -21.915880
  702.037, -21.984173
  709.507, -22.092388
  717.057, -22.150967
  724.686, -22.151873
  732.398, -22.161001
  740.191, -22.246981
  748.067, -22.309587
  756.027, -22.317112
  764.071, -22.286516
  772.201, -22.301031
  780.418, -22.362059
  788.722, -22.422728
  797.115, -22.414324
  805.597, -22.334475
  814.169, -22.241413
  822.832, -22.248163
  831.587, -22.325670
  840.436, -22.382357
  849.379, -22.337172
  858.417, -22.346844
  867.551, -22.402279
  876.782, -22.391041
  886.111, -22.288336
  895.540, -22.230974
  905.069, -22.279562
  914.700, -22.351391
  924.433, -22.315802
  934.269, -22.256329
  944.210, -22.207788
  954.257, -22.193174
  964.411, -22.164049
  974.673, -22.117527
  985.044, -22.065639
  995.526, -21.981062
 1006.119, -21.944256
 1016.824, -21.895748
 1027.644, -21.835564
 1038.579, -21.774487
 1049.630, -21.757906
 1060.799, -21.753946
 1072.086, -21.687239
 1083.494, -21.553757
 1095.023, -21.451853
 1106.674, -21.437296
 1118.450, -21.464289
 1130.351, -21.419176
 1142.379, -21.319168
 1154.534, -21.219477
 1166.819, -21.146748
 1179.235, -21.086624
 1191.783, -21.033579
 1204.464, -20.973951
 1217.280, -20.919029
 1230.233, -20.846119
 1243.323, -20.807833
 1256.553, -20.766417
 1269.923, -20.744366
 1283.436, -20.669737
 1297.093, -20.597013
 1310.895, -20.515236
 1324.843, -20.453493
 1338.940, -20.432520
 1353.188, -20.424179
 1367.586, -20.387661
 1382.138, -20.323112
 1396.845, -20.229683
 1411.708, -20.157457
 1426.730, -20.116804
 1441.911, -20.094540
 1457.254, -20.036200
 1472.760, -19.946154
 1488.431, -19.867456
 1504.269, -19.835333
 1520.275, -19.783394
 1536.452, -19.759714
 1552.801, -19.697649
 1569.323, -19.663387
 1586.022, -19.570951
 1602.898, -19.525274
 1619.954, -19.459888
 1637.191, -19.450626
 1654.612, -19.335897
 1672.218, -19.239429
 1690.011, -19.131653
 1707.994, -19.085964
 1726.168, -19.024128
 1744.536, -18.939857
 1763.099, -18.838270
 1781.859, -18.724964
 1800.819, -18.617702
 1819.981, -18.461647
 1839.347, -18.258215
 1858.918, -17.995831
 1878.698, -17.730251
 1898.689, -17.435427
 1918.892, -17.150043
 1939.310, -16.923595
 1959.946, -16.745337
 1980.801, -16.565775
 2001.878, -16.420040
 2023.179, -16.311705
 2044.707, -16.242344
 2066.464, -16.085722
 2088.452, -15.974525
 2110.674, -15.863498
 2133.133, -15.826200
 2155.831, -15.737482
 2178.771, -15.618016
 2201.954, -15.463894
 2225.384, -15.332948
 2249.063, -15.245674
 2272.995, -15.178322
 2297.181, -15.094484
 2321.624, -15.006096
 2346.328, -14.911598
 2371.294, -14.792719
 2396.526, -14.669573
 2422.027, -14.575213
 2447.798, -14.493873
 2473.844, -14.404430
 2500.168, -14.286018
 2526.771, -14.189059
 2553.657, -14.100526
 2580.830, -14.039816
 2608.291, -13.997667
 2636.045, -13.942865
 2664.094, -13.893586
 2692.442, -13.818064
 2721.091, -13.775900
 2750.045, -13.688043
 2779.307, -13.622937
 2808.881, -13.577785
 2838.769, -13.564609
 2868.975, -13.550155
 2899.503, -13.530946
 2930.355, -13.566021
 2961.536, -13.629778
 2993.049, -13.690355
 3024.896, -13.744874
 3057.083, -13.794536
 3089.612, -13.872690
 3122.488, -13.986599
 3155.713, -14.100276
 3189.292, -14.223294
 3223.228, -14.377324
 3257.525, -14.573981
 3292.187, -14.757568
 3327.218, -14.976339
 3362.621, -15.228225
 3398.402, -15.536067
 3434.563, -15.849447
 3471.108, -16.181631
 3508.043, -16.519236
 3545.371, -16.867184
 3583.096, -17.258121
 3621.222, -17.621111
 3659.754, -17.957035
 3698.696, -18.290745
 3738.052, -18.640095
 3777.827, -18.963762
 3818.026, -19.295376
 3858.652, -19.627893
 3899.710, -19.968763
 3941.206, -20.303040
 3983.142, -20.646601
 4025.525, -21.005331
 4068.360, -21.347143
 4111.649, -21.677517
 4155.400, -21.991486
 4199.616, -22.260603
 4244.302, -22.531851
 4289.464, -22.757263
 4335.106, -22.924397
 4381.235, -23.007984
 4427.854, -23.052572
 4474.969, -23.099157
 4522.585, -23.039625
 4570.708, -22.945721
 4619.343, -22.725742
 4668.496, -22.537024
 4718.171, -22.288706
 4768.376, -22.007902
 4819.114, -21.727409
 4870.393, -21.403833
 4922.216, -21.102640
 4974.592, -20.822172
 5027.524, -20.614437
 5081.021, -20.434280
 5135.085, -20.293329
 5189.726, -20.224525
 5244.948, -20.217358
 5300.757, -20.276897
 5357.161, -20.384363
 5414.164, -20.540512
 5471.774, -20.698057
 5529.997, -20.885448
 5588.839, -21.064047
 5648.308, -21.259096
 5708.409, -21.438330
 5769.150, -21.650091
 5830.538, -21.812113
 5892.578, -22.004833
 5955.279, -22.169439
 6018.646, -22.356430
 6082.688, -22.515696
 6147.412, -22.667524
 6212.824, -22.793470
 6278.932, -22.916275
 6345.744, -23.003544
 6413.267, -23.065609
 6481.507, -23.045864
 6550.475, -23.067146
 6620.176, -23.017950
 6690.619, -22.986853
 6761.811, -22.900148
 6833.760, -22.828558
 6906.476, -22.669085
 6979.965, -22.422892
 7054.236, -22.084080
 7129.297, -21.732447
 7205.157, -21.326664
 7281.825, -20.941858
 7359.308, -20.516851
 7437.615, -20.095789
 7516.756, -19.564005
 7596.739, -18.906631
 7677.572, -18.151773
 7759.267, -17.325237
 7841.830, -16.437098
 7925.271, -15.547568
 8009.601, -14.640573
 8094.828, -13.652504
 8180.962, -12.620723
 8268.013, -11.639301
 8355.989, -10.726597
 8444.902, -9.972976
 8534.761, -9.505951
 8625.576, -9.446964
 8717.357, -9.816575
 8810.115, -10.535603
 8903.860, -11.460094
 8998.603, -12.433996
 9094.354, -13.376829
 9191.123, -14.290463
 9288.922, -15.142092
 9387.762, -15.912711
 9487.653, -16.617462
 9588.607, -17.264473
 9690.636, -17.886915
 9793.750, -18.400869
 9897.962, -18.845457
10003.282, -19.238396
10109.723, -19.634150
10217.297, -19.967741
10326.015, -20.234320
10435.890, -20.471203
10546.934, -20.718697
10659.160, -20.911449
10772.580, -21.038063
10887.206, -21.138624
11003.053, -21.177732
11120.132, -21.094374
11238.457, -20.925104
11358.041, -20.698521
11478.897, -20.364851
11601.040, -19.900703
11724.481, -19.263372
11849.237, -18.480864
11975.320, -17.525211
12102.745, -16.292463
12231.525, -14.768480
12361.677, -13.166360
12493.212, -11.817685
12626.147, -11.217867
12760.497, -11.519446
12896.277, -12.693362
13033.501, -14.415785
13172.186, -16.184038
13312.346, -17.866362
13453.997, -19.298023
13597.155, -20.626463
13741.838, -21.837404
13888.059, -22.912945
14035.836, -23.851917
14185.187, -24.663235
14336.125, -25.351887
14488.670, -25.931484
14642.839, -26.467194
14798.647, -26.970652
14956.113, -27.411295
15115.256, -27.782574
15276.091, -28.220289
15438.638, -28.832899
15602.915, -29.747053
15768.939, -30.885872
15936.730, -32.017738
16106.307, -32.724533
16277.688, -32.941635
16450.893, -32.692566
16625.939, -32.248558
16802.850, -31.856083
16981.643, -31.788395
17162.336, -31.647278
17344.955, -31.096592
17529.516, -30.301079
17716.039, -30.198929
