Frequency(Hz),   Magnitude(dB)
   11.804, -27.709969
   11.929, -27.619259
   12.056, -27.436466
   12.184, -27.239132
   12.314, -27.038475
   12.445, -26.834686
   12.578, -26.627970
   12.711, -26.418522
   12.847, -26.206551
   12.983, -25.992117
   13.122, -25.775133
   13.261, -25.555464
   13.402, -25.333124
   13.545, -25.108339
   13.689, -24.881350
   13.835, -24.652374
   13.982, -24.421631
   14.131, -24.189293
   14.281, -23.955366
   14.433, -23.719755
   14.587, -23.482409
   14.742, -23.243420
   14.899, -23.003136
   15.057, -22.761881
   15.217, -22.519899
   15.379, -22.277273
   15.543, -22.034077
   15.708, -21.790417
   15.875, -21.546461
   16.044, -21.302410
   16.215, -21.058508
   16.388, -20.815079
   16.562, -20.572485
   16.738, -20.330996
   16.916, -20.090670
   17.096, -19.851601
   17.278, -19.614004
   17.462, -19.378235
   17.648, -19.144691
   17.836, -18.913586
   18.025, -18.685125
   18.217, -18.459541
   18.411, -18.237286
   18.607, -18.018850
   18.805, -17.804724
   19.005, -17.595438
   19.207, -17.391441
   19.412, -17.192919
   19.618, -16.999966
   19.827, -16.813030
   20.038, -16.632860
   20.251, -16.460140
   20.467, -16.295376
   20.684, -16.139051
   20.905, -15.991755
   21.127, -15.854200
   21.352, -15.727178
   21.579, -15.611247
   21.809, -15.506914
   22.041, -15.414705
   22.275, -15.335305
   22.512, -15.269460
   22.752, -15.218046
   22.994, -15.182055
   23.239, -15.162089
   23.486, -15.155221
   23.736, -15.156073
   23.988, -15.159474
   24.244, -15.163585
   24.501, -15.168332
   24.762, -15.173661
   25.026, -15.179460
   25.292, -15.185673
   25.561, -15.192360
   25.833, -15.199644
   26.108, -15.207535
   26.386, -15.215743
   26.667, -15.223967
   26.950, -15.232224
   27.237, -15.240835
   27.527, -15.250016
   27.820, -15.259576
   28.116, -15.269252
   28.415, -15.278915
   28.717, -15.288594
   29.023, -15.298304
   29.332, -15.308102
   29.644, -15.317964
   29.959, -15.327877
   30.278, -15.337789
   30.600, -15.347427
   30.926, -15.356430
   31.255, -15.364798
   31.587, -15.372701
   31.924, -15.380202
   32.263, -15.387127
   32.607, -15.393238
   32.953, -15.398348
   33.304, -15.402305
   33.658, -15.404954
   34.017, -15.406237
   34.379, -15.406247
   34.744, -15.405122
   35.114, -15.403859
   35.488, -15.402798
   35.865, -15.401866
   36.247, -15.400236
   36.633, -15.397810
   37.022, -15.394599
   37.416, -15.390379
   37.815, -15.384953
   38.217, -15.378499
   38.624, -15.371397
   39.035, -15.363983
   39.450, -15.356349
   39.870, -15.348401
   40.294, -15.340077
   40.723, -15.331460
   41.156, -15.322660
   41.594, -15.313825
   42.036, -15.304920
   42.484, -15.295908
   42.936, -15.286755
   43.393, -15.277646
   43.854, -15.268837
   44.321, -15.260520
   44.793, -15.252746
   45.269, -15.245580
   45.751, -15.239259
   46.238, -15.234236
   46.730, -15.231385
   47.227, -15.230856
   47.730, -15.232115
   48.237, -15.234095
   48.751, -15.236239
   49.269, -15.238370
   49.794, -15.240655
   50.323, -15.243319
   50.859, -15.246348
   51.400, -15.249621
   51.947, -15.252945
   52.500, -15.256143
   53.058, -15.258998
   53.623, -15.261436
   54.194, -15.263843
   54.770, -15.266681
   55.353, -15.269867
   55.942, -15.272673
   56.537, -15.274380
   57.139, -15.274879
   57.747, -15.274322
   58.361, -15.273269
   58.982, -15.272229
   59.610, -15.271374
   60.244, -15.270499
   60.885, -15.269332
   61.533, -15.267415
   62.188, -15.264399
   62.850, -15.260387
   63.518, -15.255615
   64.194, -15.250349
   64.877, -15.244862
   65.568, -15.239440
   66.265, -15.234214
   66.970, -15.229276
   67.683, -15.224802
   68.403, -15.221196
   69.131, -15.219172
   69.867, -15.221315
   70.610, -15.231495
   71.361, -15.250653
   72.121, -15.276935
   72.888, -15.307266
   73.664, -15.340922
   74.448, -15.377430
   75.240, -15.416286
   76.040, -15.456783
   76.849, -15.497887
   77.667, -15.538430
   78.494, -15.577362
   79.329, -15.613854
   80.173, -15.647081
   81.026, -15.676018
   81.888, -15.699530
   82.759, -15.717202
   83.640, -15.729617
   84.530, -15.738161
   85.430, -15.744183
   86.339, -15.748478
   87.257, -15.751246
   88.186, -15.752719
   89.124, -15.753709
   90.072, -15.755384
   91.031, -15.759069
   91.999, -15.766484
   92.978, -15.779099
   93.968, -15.797053
   94.968, -15.820235
   95.978, -15.848424
   96.999, -15.881484
   98.032, -15.918118
   99.075, -15.956967
  100.129, -15.996768
  101.194, -16.036137
  102.271, -16.073545
  103.359, -16.107327
  104.459, -16.135277
  105.571, -16.153345
  106.694, -16.159180
  107.829, -16.153139
  108.977, -16.138721
  110.136, -16.118929
  111.308, -16.096359
  112.492, -16.073677
  113.689, -16.053755
  114.899, -16.039745
  116.122, -16.035641
  117.357, -16.046474
  118.606, -16.071812
  119.868, -16.107826
  121.144, -16.148947
  122.433, -16.193466
  123.735, -16.239782
  125.052, -16.285770
  126.383, -16.329031
  127.727, -16.367115
  129.087, -16.399605
  130.460, -16.427454
  131.848, -16.452868
  133.251, -16.477350
  134.669, -16.501904
  136.102, -16.526827
  137.550, -16.552902
  139.014, -16.583241
  140.493, -16.627800
  141.988, -16.689131
  143.499, -16.764780
  145.026, -16.845671
  146.569, -16.930632
  148.129, -17.019535
  149.705, -17.112066
  151.298, -17.207575
  152.908, -17.304457
  154.535, -17.400948
  156.179, -17.495520
  157.841, -17.589676
  159.520, -17.686325
  161.218, -17.787945
  162.933, -17.891432
  164.667, -17.990843
  166.419, -18.081732
  168.190, -18.173819
  169.979, -18.283588
  171.788, -18.424431
  173.616, -18.589603
  175.463, -18.757082
  177.330, -18.905491
  179.217, -19.019558
  181.124, -19.096931
  183.052, -19.145163
  184.999, -19.179276
  186.968, -19.212929
  188.957, -19.251894
  190.968, -19.297417
  193.000, -19.348917
  195.054, -19.408596
  197.129, -19.479195
  199.227, -19.561903
  201.347, -19.659245
  203.489, -19.770346
  205.654, -19.890505
  207.843, -20.010620
  210.054, -20.121132
  212.289, -20.218521
  214.548, -20.305351
  216.831, -20.387362
  219.138, -20.466347
  221.470, -20.544758
  223.827, -20.628111
  226.208, -20.719347
  228.615, -20.810823
  231.048, -20.890919
  233.506, -20.948490
  235.991, -20.985008
  238.502, -21.008444
  241.040, -21.026930
  243.605, -21.041994
  246.197, -21.052197
  248.816, -21.058056
  251.464, -21.061419
  254.140, -21.064613
  256.844, -21.072628
  259.577, -21.088066
  262.339, -21.110828
  265.130, -21.138908
  267.952, -21.171850
  270.803, -21.209236
  273.684, -21.249903
  276.596, -21.292433
  279.540, -21.336010
  282.514, -21.380566
  285.520, -21.426130
  288.558, -21.471365
  291.629, -21.502047
  294.732, -21.494587
  297.868, -21.444105
  301.037, -21.377373
  304.241, -21.338795
  307.478, -21.340118
  310.750, -21.372011
  314.056, -21.414917
  317.398, -21.465292
  320.775, -21.522131
  324.189, -21.580090
  327.638, -21.621296
  331.124, -21.636137
  334.648, -21.625864
  338.209, -21.602715
  341.807, -21.570553
  345.444, -21.532574
  349.120, -21.493147
  352.835, -21.455168
  356.589, -21.419899
  360.384, -21.388056
