Frequency(Hz),   Magnitude(dB)
   11.804, -17.258709
   11.929, -17.270739
   12.056, -17.265635
   12.184, -17.257061
   12.314, -17.247110
   12.445, -17.235916
   12.578, -17.223663
   12.711, -17.210482
   12.847, -17.196541
   12.983, -17.181854
   13.122, -17.166267
   13.261, -17.149588
   13.402, -17.131754
   13.545, -17.112925
   13.689, -17.093273
   13.835, -17.072933
   13.982, -17.052017
   14.131, -17.030640
   14.281, -17.008678
   14.433, -16.985956
   14.587, -16.962290
   14.742, -16.937677
   14.899, -16.912323
   15.057, -16.886417
   15.217, -16.860071
   15.379, -16.833233
   15.543, -16.805786
   15.708, -16.777704
   15.875, -16.748964
   16.044, -16.719585
   16.215, -16.689631
   16.388, -16.659214
   16.562, -16.628489
   16.738, -16.597485
   16.916, -16.566051
   17.096, -16.533997
   17.278, -16.501307
   17.462, -16.468060
   17.648, -16.434359
   17.836, -16.400129
   18.025, -16.365246
   18.217, -16.329634
   18.411, -16.293392
   18.607, -16.256622
   18.805, -16.219479
   19.005, -16.182083
   19.207, -16.144474
   19.412, -16.106398
   19.618, -16.067492
   19.827, -16.027746
   20.038, -15.987412
   20.251, -15.946664
   20.467, -15.905476
   20.684, -15.863754
   20.905, -15.821515
   21.127, -15.778879
   21.352, -15.735970
   21.579, -15.692710
   21.809, -15.648897
   22.041, -15.604353
   22.275, -15.559009
   22.512, -15.512837
   22.752, -15.465887
   22.994, -15.418318
   23.239, -15.370257
   23.486, -15.321780
   23.736, -15.273003
   23.988, -15.224114
   24.244, -15.175305
   24.501, -15.126666
   24.762, -15.078189
   25.026, -15.029799
   25.292, -14.981453
   25.561, -14.933285
   25.833, -14.885427
   26.108, -14.837967
   26.386, -14.790643
   26.667, -14.743210
   26.950, -14.695745
   27.237, -14.648623
   27.527, -14.602128
   27.820, -14.556117
   28.116, -14.510423
   28.415, -14.464964
   28.717, -14.419854
   29.023, -14.375195
   29.332, -14.331120
   29.644, -14.287700
   29.959, -14.245018
   30.278, -14.203116
   30.600, -14.161829
   30.926, -14.120907
   31.255, -14.080465
   31.587, -14.040790
   31.924, -14.002076
   32.263, -13.964283
   32.607, -13.927317
   32.953, -13.891123
   33.304, -13.855712
   33.658, -13.821101
   34.017, -13.787394
   34.379, -13.754836
   34.744, -13.725110
   35.114, -13.713519
   35.488, -13.724989
   35.865, -13.756415
   36.247, -13.792227
   36.633, -13.829149
   37.022, -13.866937
   37.416, -13.905289
   37.815, -13.943960
   38.217, -13.983035
   38.624, -14.022787
   39.035, -14.063496
   39.450, -14.105109
   39.870, -14.147458
   40.294, -14.190347
   40.723, -14.233714
   41.156, -14.277567
   41.594, -14.321879
   42.036, -14.366486
   42.484, -14.411156
   42.936, -14.455694
   43.393, -14.500115
   43.854, -14.544445
   44.321, -14.588685
   44.793, -14.632657
   45.269, -14.676188
   45.751, -14.719268
   46.238, -14.762091
   46.730, -14.805636
   47.227, -14.850454
   47.730, -14.896488
   48.237, -14.942842
   48.751, -14.988933
   49.269, -15.034627
   49.794, -15.080132
   50.323, -15.125692
   50.859, -15.171371
   51.400, -15.217063
   51.947, -15.262644
   52.500, -15.307984
   53.058, -15.352925
   53.623, -15.397469
   54.194, -15.442056
   54.770, -15.487227
   55.353, -15.532986
   55.942, -15.578659
   56.537, -15.623634
   57.139, -15.667908
   57.747, -15.711028
   58.361, -15.745748
   58.982, -15.766175
   59.610, -15.772854
   60.244, -15.773896
   60.885, -15.774188
   61.533, -15.773692
   62.188, -15.772068
   62.850, -15.769430
   63.518, -15.766031
   64.194, -15.762138
   64.877, -15.758034
   65.568, -15.754004
   66.265, -15.750209
   66.970, -15.746758
   67.683, -15.743820
   68.403, -15.741826
   69.131, -15.741289
   69.867, -15.742165
   70.610, -15.743380
   71.361, -15.744037
   72.121, -15.743997
   72.888, -15.743801
   73.664, -15.743669
   74.448, -15.743832
   75.240, -15.744569
   76.040, -15.745975
   76.849, -15.747883
   77.667, -15.750079
   78.494, -15.752476
   79.329, -15.755303
   80.173, -15.758862
   81.026, -15.763317
   81.888, -15.768862
   82.759, -15.775748
   83.640, -15.784310
   84.530, -15.794914
   85.430, -15.807755
   86.339, -15.822493
   87.257, -15.838078
   88.186, -15.853427
   89.124, -15.867959
   90.072, -15.881336
   91.031, -15.893290
   91.999, -15.903852
   92.978, -15.912690
   93.968, -15.918590
   94.968, -15.921401
   95.978, -15.921971
   96.999, -15.921729
   98.032, -15.920760
   99.075, -15.919202
  100.129, -15.917346
  101.194, -15.915488
  102.271, -15.913882
  103.359, -15.912787
  104.459, -15.912241
  105.571, -15.911655
  106.694, -15.910604
  107.829, -15.909181
  108.977, -15.908086
  110.136, -15.907709
  111.308, -15.907951
  112.492, -15.908597
  113.689, -15.909444
  114.899, -15.910380
  116.122, -15.912188
  117.357, -15.918921
  118.606, -15.932107
  119.868, -15.951396
  121.144, -15.973938
  122.433, -15.999842
  123.735, -16.029278
  125.052, -16.062067
  126.383, -16.097822
  127.727, -16.135439
  129.087, -16.173145
  130.460, -16.212038
  131.848, -16.254866
  133.251, -16.304678
  134.669, -16.360788
  136.102, -16.421341
  137.550, -16.484829
  139.014, -16.551588
  140.493, -16.625607
  141.988, -16.709730
  143.499, -16.804739
  145.026, -16.907192
  146.569, -17.014393
  148.129, -17.123209
  149.705, -17.230131
  151.298, -17.331285
  152.908, -17.423923
  154.535, -17.507769
  156.179, -17.584450
  157.841, -17.658045
  159.520, -17.733475
  161.218, -17.815258
  162.933, -17.901588
  164.667, -17.986504
  166.419, -18.065596
  168.190, -18.148756
  169.979, -18.252756
  171.788, -18.389956
  173.616, -18.552963
  175.463, -18.724676
  177.330, -18.885759
  179.217, -19.019873
  181.124, -19.118608
  183.052, -19.188354
  184.999, -19.245041
  186.968, -19.307810
  188.957, -19.395985
  190.968, -19.519270
  193.000, -19.671421
  195.054, -19.831779
  197.129, -19.974609
  199.227, -20.057413
  201.347, -20.057384
  203.489, -19.981956
  205.654, -19.875713
  207.843, -19.783550
  210.054, -19.751097
  212.289, -19.805790
  214.548, -19.944128
  216.831, -20.131500
  219.138, -20.319662
  221.470, -20.459585
  223.827, -20.525105
  226.208, -20.524006
  228.615, -20.485220
  231.048, -20.439726
  233.506, -20.418791
  235.991, -20.445467
  238.502, -20.520506
  241.040, -20.619177
  243.605, -20.711203
  246.197, -20.772293
  248.816, -20.797913
  251.464, -20.800283
  254.140, -20.799597
  256.844, -20.812265
  259.577, -20.843210
  262.339, -20.888784
  265.130, -20.941889
  267.952, -21.000313
  270.803, -21.064192
  273.684, -21.133421
  276.596, -21.205420
  279.540, -21.268499
  282.514, -21.305101
  285.520, -21.311108
  288.558, -21.300943
  291.629, -21.299648
  294.732, -21.322296
  297.868, -21.368422
  301.037, -21.420679
  304.241, -21.446598
  307.478, -21.420170
  310.750, -21.351326
  314.056, -21.298502
  317.398, -21.341562
  320.775, -21.500340
  324.189, -21.718172
  327.638, -21.878778
  331.124, -21.941551
  334.648, -21.930315
  338.209, -21.896561
  341.807, -21.850103
  345.444, -21.795692
  349.120, -21.740892
  352.835, -21.692900
  356.589, -21.655962
  360.384, -21.633665
  364.218, -21.633110
  368.094, -21.652107
  372.011, -21.682215
  375.969, -21.712875
  379.970, -21.741657
  384.013, -21.755901
  388.099, -21.725151
  392.228, -21.645269
  396.402, -21.541117
  400.620, -21.447628
  404.883, -21.374804
  409.191, -21.333164
  413.545, -21.330240
  417.945, -21.351267
  422.393, -21.366161
  426.887, -21.356308
  431.429, -21.322689
  436.020, -21.266735
  440.660, -21.201876
  445.348, -21.175589
  450.087, -21.206934
  454.876, -21.287182
  459.717, -21.378813
  464.608, -21.465811
  469.552, -21.502197
  474.548, -21.478897
  479.598, -21.447508
  484.701, -21.467312
  489.858, -21.520302
  495.071, -21.554550
  500.339, -21.548882
  505.663, -21.510782
  511.043, -21.470854
  516.481, -21.518049
  521.977, -21.660851
  527.531, -21.792997
  533.144, -21.811686
  538.817, -21.741457
  544.550, -21.671299
  550.345, -21.642494
  556.201, -21.662704
  562.119, -21.715065
  568.100, -21.763674
  574.145, -21.804941
  580.255, -21.845325
  586.429, -21.872749
  592.669, -21.883074
  598.975, -21.880894
  605.349, -21.884605
  611.790, -21.909441
  618.300, -21.967337
  624.879, -22.058033
  631.528, -22.125845
  638.248, -22.140287
  645.039, -22.118231
  651.903, -22.128950
  658.839, -22.207901
  665.850, -22.281231
  672.935, -22.290037
  680.095, -22.250986
  687.332, -22.251448
  694.645, -22.318817
  702.037, -22.355782
  709.507, -22.321413
  717.057, -22.232792
  724.686, -22.175295
  732.398, -22.155642
  740.191, -22.127810
  748.067, -22.089909
  756.027, -22.073238
  764.071, -22.117105
  772.201, -22.150579
  780.418, -22.154797
  788.722, -22.152599
  797.115, -22.143089
  805.597, -22.115711
  814.169, -22.067968
  822.832, -22.056551
  831.587, -22.055094
  840.436, -22.069799
  849.379, -22.097542
  858.417, -22.092384
  867.551, -21.994326
  876.782, -21.911438
  886.111, -21.882576
  895.540, -21.876865
  905.069, -21.821236
  914.700, -21.759674
  924.433, -21.720213
  934.269, -21.656868
  944.210, -21.569370
  954.257, -21.499434
  964.411, -21.478338
  974.673, -21.458490
  985.044, -21.445971
  995.526, -21.410955
 1006.119, -21.389446
 1016.824, -21.295925
 1027.644, -21.188753
 1038.579, -21.080317
 1049.630, -21.012753
 1060.799, -20.939203
 1072.086, -20.841272
 1083.494, -20.725824
 1095.023, -20.605419
 1106.674, -20.487322
 1118.450, -20.394199
 1130.351, -20.354132
 1142.379, -20.304440
 1154.534, -20.232996
 1166.819, -20.120327
 1179.235, -20.035398
 1191.783, -19.947248
 1204.464, -19.878933
 1217.280, -19.771921
 1230.233, -19.659891
 1243.323, -19.531979
 1256.553, -19.481674
 1269.923, -19.429144
 1283.436, -19.380760
 1297.093, -19.287428
 1310.895, -19.195503
 1324.843, -19.135057
 1338.940, -19.102268
 1353.188, -19.090046
 1367.586, -19.013416
 1382.138, -18.908852
 1396.845, -18.808632
 1411.708, -18.702341
 1426.730, -18.631714
 1441.911, -18.572771
 1457.254, -18.532827
 1472.760, -18.451698
 1488.431, -18.390091
 1504.269, -18.372730
 1520.275, -18.323032
 1536.452, -18.245012
 1552.801, -18.150341
 1569.323, -18.099771
 1586.022, -18.006725
 1602.898, -17.928175
 1619.954, -17.852365
 1637.191, -17.852125
 1654.612, -17.777403
 1672.218, -17.740702
 1690.011, -17.630732
 1707.994, -17.566351
 1726.168, -17.464432
 1744.536, -17.410879
 1763.099, -17.379101
 1781.859, -17.323750
 1800.819, -17.261044
 1819.981, -17.152271
 1839.347, -17.103754
 1858.918, -17.037731
 1878.698, -16.965586
 1898.689, -16.822014
 1918.892, -16.638702
 1939.310, -16.436144
 1959.946, -16.184452
 1980.801, -15.921922
 2001.878, -15.586004
 2023.179, -15.323736
 2044.707, -15.127681
 2066.464, -15.013640
 2088.452, -14.852795
 2110.674, -14.686263
 2133.133, -14.522717
 2155.831, -14.379526
 2178.771, -14.251067
 2201.954, -14.107559
 2225.384, -13.950835
 2249.063, -13.773306
 2272.995, -13.604206
 2297.181, -13.435205
 2321.624, -13.264381
 2346.328, -13.108000
 2371.294, -12.961159
 2396.526, -12.780869
 2422.027, -12.584847
 2447.798, -12.421052
 2473.844, -12.292519
 2500.168, -12.164474
 2526.771, -11.991622
 2553.657, -11.841043
 2580.830, -11.712755
 2608.291, -11.595800
 2636.045, -11.477961
 2664.094, -11.320735
 2692.442, -11.190891
 2721.091, -11.074732
 2750.045, -10.998281
 2779.307, -10.912127
 2808.881, -10.824709
 2838.769, -10.738948
 2868.975, -10.662677
 2899.503, -10.600991
 2930.355, -10.572084
 2961.536, -10.566881
 2993.049, -10.558794
 3024.896, -10.599036
 3057.083, -10.687369
 3089.612, -10.830383
 3122.488, -10.963184
 3155.713, -11.100598
 3189.292, -11.244845
 3223.228, -11.436564
 3257.525, -11.595094
 3292.187, -11.750376
 3327.218, -11.916237
 3362.621, -12.161342
 3398.402, -12.454354
 3434.563, -12.724905
 3471.108, -13.003511
 3508.043, -13.331484
 3545.371, -13.648236
 3583.096, -13.941291
