Frequency(Hz),   Magnitude(dB)
   11.804, -17.789352
   11.929, -17.735731
   12.056, -17.616806
   12.184, -17.487803
   12.314, -17.356773
   12.445, -17.223890
   12.578, -17.089376
   12.711, -16.953409
   12.847, -16.816187
   12.983, -16.677771
   13.122, -16.538054
   13.261, -16.396872
   13.402, -16.254250
   13.545, -16.110384
   13.689, -15.965496
   13.835, -15.819786
   13.982, -15.673433
   14.131, -15.526610
   14.281, -15.379270
   14.433, -15.231301
   14.587, -15.082606
   14.742, -14.933263
   14.899, -14.783549
   15.057, -14.633761
   15.217, -14.484097
   15.379, -14.334578
   15.543, -14.185242
   15.708, -14.036120
   15.875, -13.887321
   16.044, -13.739000
   16.215, -13.591295
   16.388, -13.444484
   16.562, -13.298849
   16.738, -13.154569
   16.916, -13.011612
   17.096, -12.869970
   17.278, -12.729762
   17.462, -12.591249
   17.648, -12.454704
   17.836, -12.320234
   18.025, -12.187904
   18.217, -12.057831
   18.411, -11.930322
   18.607, -11.805710
   18.805, -11.684347
   19.005, -11.566595
   19.207, -11.452740
   19.412, -11.342775
   19.618, -11.236616
   19.827, -11.134510
   20.038, -11.037004
   20.251, -10.944566
   20.467, -10.857477
   20.684, -10.775969
   20.905, -10.700379
   21.127, -10.631193
   21.352, -10.568887
   21.579, -10.513762
   21.809, -10.466011
   22.041, -10.425844
   22.275, -10.393641
   22.512, -10.369796
   22.752, -10.354813
   22.994, -10.349319
   23.239, -10.353873
   23.486, -10.368272
   23.736, -10.391754
   23.988, -10.423528
   24.244, -10.463286
   24.501, -10.510959
   24.762, -10.566365
   25.026, -10.629241
   25.292, -10.699331
   25.561, -10.776533
   25.833, -10.860750
   26.108, -10.951763
   26.386, -11.049045
   26.667, -11.151978
   26.950, -11.260304
   27.237, -11.374010
   27.527, -11.492959
   27.820, -11.616569
   28.116, -11.744176
   28.415, -11.875185
   28.717, -12.009156
   29.023, -12.145599
   29.332, -12.284010
   29.644, -12.423791
   29.959, -12.564301
   30.278, -12.704808
   30.600, -12.844337
   30.926, -12.981781
   31.255, -13.116329
   31.587, -13.247294
   31.924, -13.373853
   32.263, -13.494856
   32.607, -13.609066
   32.953, -13.715208
   33.304, -13.812015
   33.658, -13.898129
   34.017, -13.972235
   34.379, -14.033061
   34.744, -14.079391
   35.114, -14.111316
   35.488, -14.131445
   35.865, -14.143264
   36.247, -14.149197
   36.633, -14.149784
   37.022, -14.145257
   37.416, -14.135668
   37.815, -14.121105
   38.217, -14.102044
   38.624, -14.079178
   39.035, -14.053215
   39.450, -14.024590
   39.870, -13.993659
   40.294, -13.960778
   40.723, -13.926478
   41.156, -13.891396
   41.594, -13.856181
   42.036, -13.821384
   42.484, -13.787548
   42.936, -13.755287
   43.393, -13.725465
   43.854, -13.699051
   44.321, -13.676982
