Frequency(Hz),Magnitude(dB)
11.804,-18.477697
11.929,-18.477778
12.056,-18.452396
12.184,-18.422141
12.314,-18.390051
12.445,-18.356275
12.578,-18.320993
12.711,-18.284365
12.847,-18.246553
12.983,-18.207596
13.122,-18.167337
13.261,-18.125597
13.402,-18.082348
13.545,-18.037755
13.689,-17.992001
13.835,-17.945244
13.982,-17.897625
14.131,-17.849264
14.281,-17.800074
14.433,-17.749897
14.587,-17.698575
14.742,-17.646141
14.899,-17.592821
15.057,-17.538852
15.217,-17.484369
15.379,-17.429344
15.543,-17.37373
15.708,-17.317511
15.875,-17.260728
16.044,-17.20344
16.215,-17.145744
16.388,-17.087824
16.562,-17.029882
16.738,-16.972004
16.916,-16.914094
17.096,-16.856039
17.278,-16.797875
17.462,-16.739755
17.648,-16.681854
17.836,-16.624181
18.025,-16.566696
18.217,-16.509396
18.411,-16.452472
18.607,-16.39614
18.805,-16.340627
19.005,-16.286168
19.207,-16.232913
19.412,-16.180716
19.618,-16.129347
19.827,-16.078911
20.038,-16.029788
20.251,-15.982297
20.467,-15.936542
20.684,-15.892593
20.905,-15.850615
21.127,-15.810892
21.352,-15.773716
21.579,-15.739194
21.809,-15.707305
22.041,-15.678068
22.275,-15.651615
22.512,-15.62813
22.752,-15.607884
22.994,-15.591256
23.239,-15.578483
23.486,-15.568523
23.736,-15.559523
23.988,-15.549792
24.244,-15.538815
24.501,-15.526641
24.762,-15.513255
25.026,-15.498593
25.292,-15.482624
25.561,-15.465477
25.833,-15.447317
26.108,-15.428224
26.386,-15.407979
26.667,-15.386342
26.95,-15.363412
27.237,-15.339604
27.527,-15.315219
27.82,-15.290166
28.116,-15.264304
28.415,-15.237601
28.717,-15.21021
29.023,-15.182299
29.332,-15.154043
29.644,-15.125585
29.959,-15.09707
30.278,-15.068611
30.6,-15.040118
30.926,-15.011436
31.255,-14.982754
31.587,-14.954464
31.924,-14.926868
32.263,-14.90002
32.607,-14.873952
32.953,-14.848738
33.304,-14.824514
33.658,-14.801429
34.017,-14.779747
34.379,-14.759871
34.744,-14.742795
35.114,-14.734944
35.488,-14.73818
35.865,-14.750969
36.247,-14.766748
36.633,-14.784147
37.022,-14.802986
37.416,-14.822934
37.815,-14.843675
38.217,-14.865251
38.624,-14.887885
39.035,-14.911769
39.45,-14.936799
39.87,-14.962724
40.294,-14.989278
40.723,-15.016317
41.156,-15.043746
41.594,-15.071455
42.036,-15.099169
42.484,-15.126549
42.936,-15.15329
43.393,-15.179262
43.854,-15.204384
44.321,-15.228493
44.793,-15.251273
45.269,-15.272393
45.751,-15.291673
46.238,-15.309093
46.73,-15.325008
47.227,-15.339759
47.73,-15.353579
48.237,-15.366359
48.751,-15.377866
49.269,-15.388074
49.794,-15.397277
50.323,-15.405829
50.859,-15.41389
51.4,-15.421478
51.947,-15.428589
52.5,-15.435227
53.058,-15.441371
53.623,-15.447165
54.194,-15.453219
54.77,-15.460233
55.353,-15.468377
55.942,-15.477187
56.537,-15.486239
57.139,-15.49573
57.747,-15.505993
58.361,-15.516414
58.982,-15.526129
59.61,-15.534911
60.244,-15.54359
60.885,-15.552644
61.533,-15.561572
62.188,-15.569918
62.85,-15.577675
63.518,-15.584946
64.194,-15.591855
64.877,-15.598537
65.568,-15.605114
66.265,-15.611564
66.97,-15.617809
67.683,-15.623816
68.403,-15.629812
69.131,-15.63614
69.867,-15.64319
70.61,-15.650948
71.361,-15.6589
72.121,-15.666516
72.888,-15.673572
73.664,-15.680239
74.448,-15.68678
75.24,-15.693479
76.04,-15.700468
76.849,-15.707605
77.667,-15.714702
78.494,-15.721709
79.329,-15.728889
80.173,-15.73658
81.026,-15.744967
81.888,-15.754105
82.759,-15.763963
