Frequency(Hz),   Magnitude(dB)
   11.804, -15.181444
   11.929, -15.244287
   12.056, -15.328473
   12.184, -15.414248
   12.314, -15.498796
   12.445, -15.582225
   12.578, -15.664691
   12.711, -15.746344
   12.847, -15.827292
   12.983, -15.907556
   13.122, -15.986935
   13.261, -16.065212
   13.402, -16.142336
   13.545, -16.218426
   13.689, -16.293627
   13.835, -16.368044
   13.982, -16.441771
   14.131, -16.514885
   14.281, -16.587250
   14.433, -16.658646
   14.587, -16.728868
   14.742, -16.797878
   14.899, -16.865860
   15.057, -16.932966
   15.217, -16.999269
   15.379, -17.064671
   15.543, -17.129063
   15.708, -17.192324
   15.875, -17.254431
   16.044, -17.315355
   16.215, -17.375103
   16.388, -17.433769
   16.562, -17.491449
   16.738, -17.548136
   16.916, -17.603630
   17.096, -17.657692
   17.278, -17.710260
   17.462, -17.761356
   17.648, -17.811035
   17.836, -17.859165
   18.025, -17.905582
   18.217, -17.950136
   18.411, -17.992868
   18.607, -18.033833
   18.805, -18.073107
   19.005, -18.110756
   19.207, -18.146761
   19.412, -18.180782
   19.618, -18.212400
   19.827, -18.241539
   20.038, -18.268364
   20.251, -18.292978
   20.467, -18.315268
   20.684, -18.335068
   20.905, -18.352318
   21.127, -18.367046
   21.352, -18.379278
   21.579, -18.388863
   21.809, -18.395498
   22.041, -18.398914
   22.275, -18.398937
   22.512, -18.395451
   22.752, -18.388384
   22.994, -18.377798
   23.239, -18.363611
   23.486, -18.344860
   23.736, -18.320126
   23.988, -18.288250
   24.244, -18.248999
   24.501, -18.202524
   24.762, -18.148916
   25.026, -18.088242
   25.292, -18.020603
   25.561, -17.946295
   25.833, -17.865650
   26.108, -17.778917
   26.386, -17.686104
   26.667, -17.587191
   26.950, -17.482533
   27.237, -17.372793
   27.527, -17.258577
   27.820, -17.140108
   28.116, -17.017574
   28.415, -16.891321
   28.717, -16.761877
   29.023, -16.629843
   29.332, -16.495827
   29.644, -16.360453
   29.959, -16.224379
   30.278, -16.088264
   30.600, -15.952600
   30.926, -15.817837
   31.255, -15.684813
   31.587, -15.554633
   31.924, -15.428306
   32.263, -15.306675
   32.607, -15.190611
   32.953, -15.081032
   33.304, -14.978997
   33.658, -14.885621
   34.017, -14.802198
   34.379, -14.730206
   34.744, -14.671947
   35.114, -14.636590
   35.488, -14.624666
   35.865, -14.631211
   36.247, -14.644917
   36.633, -14.663471
   37.022, -14.686496
   37.416, -14.713490
   37.815, -14.743940
   38.217, -14.777675
   38.624, -14.814690
   39.035, -14.854931
   39.450, -14.898023
   39.870, -14.943433
   40.294, -14.990603
   40.723, -15.039054
   41.156, -15.088343
   41.594, -15.137996
   42.036, -15.187342
   42.484, -15.235617
   42.936, -15.282082
   43.393, -15.326112
   43.854, -15.367151
   44.321, -15.404487
   44.793, -15.437243
   45.269, -15.464505
   45.751, -15.485459
   46.238, -15.499653
   46.730, -15.509458
   47.227, -15.516930
   47.730, -15.522585
   48.237, -15.524364
   48.751, -15.521197
   49.269, -15.513286
   49.794, -15.501266
   50.323, -15.485867
   50.859, -15.467629
   51.400, -15.447022
   51.947, -15.424482
   52.500, -15.400510
   53.058, -15.375604
   53.623, -15.350462
   54.194, -15.326289
   54.770, -15.304418
   55.353, -15.285679
   55.942, -15.270327
   56.537, -15.258682
   57.139, -15.251743
   57.747, -15.250794
   58.361, -15.257285
   58.982, -15.272182
   59.610, -15.295664
   60.244, -15.327205
   60.885, -15.365863
   61.533, -15.410314
   62.188, -15.459282
   62.850, -15.511871
   63.518, -15.567219
   64.194, -15.624456
   64.877, -15.682598
   65.568, -15.740634
   66.265, -15.797282
   66.970, -15.851167
   67.683, -15.900852
   68.403, -15.945073
   69.131, -15.982483
   69.867, -16.010653
   70.610, -16.027269
   71.361, -16.032639
   72.121, -16.029392
   72.888, -16.020290
   73.664, -16.006500
   74.448, -15.989136
   75.240, -15.969407
   76.040, -15.948431
   76.849, -15.927116
   77.667, -15.906396
   78.494, -15.887402
   79.329, -15.871661
   80.173, -15.860867
   81.026, -15.856672
   81.888, -15.860958
   82.759, -15.872375
   83.640, -15.888137
   84.530, -15.905216
   85.430, -15.923521
   86.339, -15.943027
   87.257, -15.963105
   88.186, -15.983079
   89.124, -16.002808
   90.072, -16.022432
   91.031, -16.042206
   91.999, -16.062696
   92.978, -16.084389
   93.968, -16.107082
   94.968, -16.130417
   95.978, -16.154306
   96.999, -16.178915
   98.032, -16.203972
   99.075, -16.229252
  100.129, -16.254700
  101.194, -16.280239
  102.271, -16.305727
  103.359, -16.330935
  104.459, -16.354479
  105.571, -16.370020
  106.694, -16.375235
  107.829, -16.371397
  108.977, -16.364475
  110.136, -16.356089
  111.308, -16.347033
  112.492, -16.337978
  113.689, -16.329710
  114.899, -16.323092
  116.122, -16.318596
  117.357, -16.315010
  118.606, -16.311718
  119.868, -16.308832
  121.144, -16.307953
  122.433, -16.309586
  123.735, -16.313902
  125.052, -16.320684
  126.383, -16.329670
  127.727, -16.342663
  129.087, -16.371214
  130.460, -16.421370
  131.848, -16.493437
  133.251, -16.577581
  134.669, -16.668692
  136.102, -16.761211
  137.550, -16.849686
  139.014, -16.930101
  140.493, -17.000944
  141.988, -17.062571
  143.499, -17.117268
  145.026, -17.167374
  146.569, -17.216028
  148.129, -17.266079
  149.705, -17.320349
  151.298, -17.381258
  152.908, -17.449730
  154.535, -17.525068
  156.179, -17.604877
  157.841, -17.688152
  159.520, -17.774530
  161.218, -17.862808
  162.933, -17.944427
  164.667, -18.006798
  166.419, -18.043814
  168.190, -18.069344
  169.979, -18.107931
  171.788, -18.179394
  173.616, -18.284237
  175.463, -18.414484
  177.330, -18.557905
  179.217, -18.699467
  181.124, -18.825068
  183.052, -18.931997
  184.999, -19.026354
  186.968, -19.116093
  188.957, -19.210915
  190.968, -19.318045
  193.000, -19.437857
  195.054, -19.562796
  197.129, -19.683548
  199.227, -19.790928
  201.347, -19.883682
  203.489, -19.963875
  205.654, -20.033537
  207.843, -20.090147
  210.054, -20.132452
  212.289, -20.156094
  214.548, -20.159210
  216.831, -20.146521
  219.138, -20.134277
  221.470, -20.149002
  223.827, -20.209858
  226.208, -20.315638
  228.615, -20.440712
  231.048, -20.559479
  233.506, -20.665173
  235.991, -20.765635
  238.502, -20.868902
  241.040, -20.972704
  243.605, -21.069927
  246.197, -21.143559
  248.816, -21.186354
  251.464, -21.197107
  254.140, -21.185205
  256.844, -21.150972
  259.577, -21.086578
  262.339, -20.991714
  265.130, -20.883581
  267.952, -20.810827
  270.803, -20.820967
  273.684, -20.919655
  276.596, -21.065210
  279.540, -21.188267
  282.514, -21.254118
  285.520, -21.268469
  288.558, -21.263454
  291.629, -21.261206
  294.732, -21.267384
  297.868, -21.282581
  301.037, -21.307030
  304.241, -21.349171
  307.478, -21.418139
  310.750, -21.509741
  314.056, -21.594885
  317.398, -21.635180
  320.775, -21.623821
  324.189, -21.587566
  327.638, -21.563646
  331.124, -21.565641
  334.648, -21.585247
  338.209, -21.601093
  341.807, -21.593565
  345.444, -21.563358
  349.120, -21.542099
  352.835, -21.588024
