Frequency(Hz),   Magnitude(dB)
   11.804, -16.973722
   11.929, -16.965200
   12.056, -16.924257
   12.184, -16.877718
   12.314, -16.829582
   12.445, -16.780012
   12.578, -16.729193
   12.711, -16.677282
   12.847, -16.624470
   12.983, -16.570787
   13.122, -16.516090
   13.261, -16.460196
   13.402, -16.403099
   13.545, -16.344959
   13.689, -16.285978
   13.835, -16.226309
   13.982, -16.166111
   14.131, -16.105499
   14.281, -16.044399
   14.433, -15.982673
   14.587, -15.920142
   14.742, -15.856877
   14.899, -15.793090
   15.057, -15.729028
   15.217, -15.664832
   15.379, -15.600485
   15.543, -15.535950
   15.708, -15.471200
   15.875, -15.406296
   16.044, -15.341307
   16.215, -15.276314
   16.388, -15.211528
   16.562, -15.147156
   16.738, -15.083270
   16.916, -15.019793
   17.096, -14.956619
   17.278, -14.893773
   17.462, -14.831421
   17.648, -14.769739
   17.836, -14.708740
   18.025, -14.648384
   18.217, -14.588673
   18.411, -14.529799
   18.607, -14.471983
   18.805, -14.415442
   19.005, -14.360413
   19.207, -14.307058
   19.412, -14.255220
   19.618, -14.204660
   19.827, -14.155483
   20.038, -14.108073
   20.251, -14.062747
   20.467, -14.019594
   20.684, -13.978683
   20.905, -13.940173
   21.127, -13.904337
   21.352, -13.871461
   21.579, -13.841638
   21.809, -13.814848
   22.041, -13.791084
   22.275, -13.770469
   22.512, -13.753165
   22.752, -13.739450
   22.994, -13.729666
   23.239, -13.724149
   23.486, -13.722821
   23.736, -13.725370
   23.988, -13.731519
   24.244, -13.741199
   24.501, -13.754434
   24.762, -13.771102
   25.026, -13.791034
   25.292, -13.814089
   25.561, -13.840269
   25.833, -13.869583
   26.108, -13.901964
   26.386, -13.937018
   26.667, -13.974310
   26.950, -14.013734
   27.237, -14.055485
   27.527, -14.099618
   27.820, -14.145799
   28.116, -14.193583
   28.415, -14.242643
   28.717, -14.292825
   29.023, -14.343933
   29.332, -14.395769
   29.644, -14.448098
   29.959, -14.500631
   30.278, -14.553039
   30.600, -14.604753
   30.926, -14.655107
   31.255, -14.703758
   31.587, -14.750524
   31.924, -14.795104
   32.263, -14.836914
   32.607, -14.875307
   32.953, -14.909647
   33.304, -14.939315
   33.658, -14.963660
   34.017, -14.982109
   34.379, -14.994184
   34.744, -14.999619
   35.114, -15.000598
   35.488, -14.998478
   35.865, -14.993712
   36.247, -14.984720
   36.633, -14.971336
   37.022, -14.953706
   37.416, -14.931805
   37.815, -14.905664
   38.217, -14.875684
   38.624, -14.842489
   39.035, -14.806704
   39.450, -14.768666
   39.870, -14.728637
   40.294, -14.686877
   40.723, -14.643794
   41.156, -14.599909
   41.594, -14.555768
   42.036, -14.511768
   42.484, -14.468319
   42.936, -14.425882
   43.393, -14.385169
