Frequency(Hz),   Magnitude(dB)
   11.804, -23.920000
   11.929, -23.864557
   12.056, -23.742228
   12.184, -23.609056
   12.314, -23.473221
   12.445, -23.334892
   12.578, -23.194275
   12.711, -23.051546
   12.847, -22.906904
   12.983, -22.760391
   13.122, -22.611891
   13.261, -22.461258
   13.402, -22.308489
   13.545, -22.153790
   13.689, -21.997362
   13.835, -21.839417
   13.982, -21.680141
   14.131, -21.519672
   14.281, -21.357996
   14.433, -21.194979
   14.587, -21.030531
   14.742, -20.864727
   14.899, -20.697847
   15.057, -20.530197
   15.217, -20.361973
   15.379, -20.193209
   15.543, -20.023922
   15.708, -19.854181
   15.875, -19.684097
   16.044, -19.513803
   16.215, -19.343496
   16.388, -19.173433
   16.562, -19.003920
   16.738, -18.835129
   16.916, -18.667082
   17.096, -18.499758
   17.278, -18.333315
   17.462, -18.168022
   17.648, -18.004173
   17.836, -17.841904
   18.025, -17.681326
   18.217, -17.522556
   18.411, -17.365942
   18.607, -17.211851
   18.805, -17.060677
   19.005, -16.912827
   19.207, -16.768606
   19.412, -16.628067
   19.618, -16.491171
   19.827, -16.358223
   20.038, -16.229799
   20.251, -16.106451
   20.467, -15.988493
   20.684, -15.876247
   20.905, -15.770112
   21.127, -15.670628
   21.352, -15.578366
   21.579, -15.493697
   21.809, -15.416887
   22.041, -15.348272
   22.275, -15.288289
   22.512, -15.237445
   22.752, -15.196360
   22.994, -15.165747
   23.239, -15.146096
   23.486, -15.135509
   23.736, -15.130457
   23.988, -15.127584
   24.244, -15.125724
   24.501, -15.124835
   24.762, -15.124871
   25.026, -15.125710
   25.292, -15.127260
   25.561, -15.129599
   25.833, -15.132811
   26.108, -15.136906
   26.386, -15.141576
   26.667, -15.146509
   26.950, -15.151687
   27.237, -15.157427
   27.527, -15.163899
   27.820, -15.170913
   28.116, -15.178185
   28.415, -15.185541
   28.717, -15.192969
   29.023, -15.200485
   29.332, -15.208090
   29.644, -15.215730
   29.959, -15.223364
   30.278, -15.230882
   30.600, -15.237974
   30.926, -15.244249
   31.255, -15.249632
   31.587, -15.254254
   31.924, -15.258122
   32.263, -15.261013
   32.607, -15.262623
   32.953, -15.262697
   33.304, -15.261018
   33.658, -15.257354
   34.017, -15.251598
   34.379, -15.243712
   34.744, -15.233880
   35.114, -15.223910
   35.488, -15.214485
   35.865, -15.205409
   36.247, -15.195024
   36.633, -15.183109
   37.022, -15.169656
   37.416, -15.154497
   37.815, -15.137474
   38.217, -15.118814
   38.624, -15.098932
   39.035, -15.078224
   39.450, -15.056819
   39.870, -15.034709
   40.294, -15.011870
   40.723, -14.988452
   41.156, -14.964661
   41.594, -14.940690
   42.036, -14.916613
   42.484, -14.892447
   42.936, -14.868273
   43.393, -14.844373
   43.854, -14.821096
   44.321, -14.798751
   44.793, -14.777501
   45.269, -14.757537
   45.751, -14.739238
   46.238, -14.723152
   46.730, -14.710126
   47.227, -14.700089
   47.730, -14.692326
   48.237, -14.685760
   48.751, -14.679933
   49.269, -14.674748
