Frequency(Hz),   Magnitude(dB)
   11.804, -26.956490
   11.929, -26.891729
   12.056, -26.753454
   12.184, -26.603498
   12.314, -26.450878
   12.445, -26.295765
   12.578, -26.138344
   12.711, -25.978821
   12.847, -25.817375
   12.983, -25.654078
   13.122, -25.488792
   13.261, -25.321384
   13.402, -25.151850
   13.545, -24.980385
   13.689, -24.807220
   13.835, -24.632547
   13.982, -24.456554
   14.131, -24.279404
   14.281, -24.101059
   14.433, -23.921410
   14.587, -23.740349
   14.742, -23.557961
   14.899, -23.374535
   15.057, -23.190367
   15.217, -23.005663
   15.379, -22.820448
   15.543, -22.634768
   15.708, -22.448662
   15.875, -22.262260
   16.044, -22.075697
   16.215, -21.889158
   16.388, -21.702930
   16.562, -21.517290
   16.738, -21.332439
   16.916, -21.148371
   17.096, -20.965092
   17.278, -20.782742
   17.462, -20.601608
   17.648, -20.421976
   17.836, -20.243990
   18.025, -20.067753
   18.217, -19.893391
   18.411, -19.721241
   18.607, -19.551691
   18.805, -19.385115
   19.005, -19.221920
   19.207, -19.062431
   19.412, -18.906681
   19.618, -18.754641
   19.827, -18.606615
   20.038, -18.463171
   20.251, -18.324869
   20.467, -18.192015
   20.684, -18.064930
   20.905, -17.944021
   21.127, -17.829823
   21.352, -17.722883
   21.579, -17.623596
   21.809, -17.532223
   22.041, -17.449083
   22.275, -17.374605
   22.512, -17.309311
   22.752, -17.253798
   22.994, -17.208794
   23.239, -17.174809
   23.486, -17.150297
   23.736, -17.132324
   23.988, -17.118082
   24.244, -17.106564
   24.501, -17.097721
   24.762, -17.091463
   25.026, -17.087627
   25.292, -17.086079
   25.561, -17.086824
   25.833, -17.089931
   26.108, -17.095304
   26.386, -17.102598
   26.667, -17.111393
   26.950, -17.121624
   27.237, -17.133497
   27.527, -17.147102
   27.820, -17.162128
   28.116, -17.178183
   28.415, -17.194990
   28.717, -17.212393
   29.023, -17.230286
   29.332, -17.248505
   29.644, -17.266863
   29.959, -17.285131
   30.278, -17.303036
   30.600, -17.320065
   30.926, -17.335638
   31.255, -17.349470
   31.587, -17.361465
   31.924, -17.371407
   32.263, -17.378771
   32.607, -17.383032
   32.953, -17.383640
   33.304, -17.380074
   33.658, -17.371794
   34.017, -17.358351
   34.379, -17.339363
   34.744, -17.314863
   35.114, -17.288548
   35.488, -17.262224
   35.865, -17.235916
   36.247, -17.206476
   36.633, -17.173380
   37.022, -17.136703
   37.416, -17.096378
   37.815, -17.052366
   38.217, -17.005011
   38.624, -16.954868
   39.035, -16.902470
   39.450, -16.848114
   39.870, -16.791948
   40.294, -16.734148
   40.723, -16.675026
   41.156, -16.615004
   41.594, -16.554506
   42.036, -16.493837
   42.484, -16.433260
   42.936, -16.373123
   43.393, -16.313984
   43.854, -16.256491
   44.321, -16.201271
   44.793, -16.148827
   45.269, -16.099699
   45.751, -16.054621
   46.238, -16.014761
   46.730, -15.983262
   47.227, -15.960579
   47.730, -15.944529
   48.237, -15.930801
   48.751, -15.917697
   49.269, -15.905046
   49.794, -15.893083
   50.323, -15.882099
   50.859, -15.872216
   51.400, -15.863349
   51.947, -15.855429
   52.500, -15.848374
   53.058, -15.842074
   53.623, -15.836578
   54.194, -15.832376
   54.770, -15.830064
   55.353, -15.829683
   55.942, -15.830639
   56.537, -15.832365
   57.139, -15.834906
   57.747, -15.838429
   58.361, -15.842202
   58.982, -15.846065
   59.610, -15.850836
   60.244, -15.858172
   60.885, -15.868535
   61.533, -15.881143
   62.188, -15.895197
   62.850, -15.910355
   63.518, -15.926315
   64.194, -15.942812
   64.877, -15.959536
   65.568, -15.976153
   66.265, -15.992146
   66.970, -16.006903
   67.683, -16.019842
   68.403, -16.030598
   69.131, -16.038731
   69.867, -16.042200
   70.610, -16.038408
   71.361, -16.027536
   72.121, -16.012264
   72.888, -15.995390
   73.664, -15.977395
   74.448, -15.958656
   75.240, -15.939528
   76.040, -15.920240
   76.849, -15.900766
   77.667, -15.881028
   78.494, -15.861099
   79.329, -15.841363
   80.173, -15.822300
   81.026, -15.804153
   81.888, -15.786104
   82.759, -15.767404
   83.640, -15.747890
   84.530, -15.728539
   85.430, -15.710089
   86.339, -15.692574
   87.257, -15.675334
   88.186, -15.657714
   89.124, -15.639583
   90.072, -15.621059
   91.031, -15.602400
   91.999, -15.584313
   92.978, -15.569205
   93.968, -15.562612
   94.968, -15.565766
   95.978, -15.576665
   96.999, -15.590337
   98.032, -15.605599
   99.075, -15.621770
  100.129, -15.638272
  101.194, -15.654477
  102.271, -15.669675
  103.359, -15.683076
  104.459, -15.693954
  105.571, -15.702600
  106.694, -15.708683
  107.829, -15.712228
  108.977, -15.713088
  110.136, -15.712378
  111.308, -15.710960
  112.492, -15.709651
  113.689, -15.709296
  114.899, -15.710938
  116.122, -15.716055
  117.357, -15.727261
  118.606, -15.745006
  119.868, -15.768462
  121.144, -15.795925
  122.433, -15.827627
  123.735, -15.863778
  125.052, -15.904204
  126.383, -15.948573
  127.727, -15.995964
  129.087, -16.045172
  130.460, -16.097454
  131.848, -16.155350
  133.251, -16.221355
  134.669, -16.294746
  136.102, -16.373705
  137.550, -16.456772
  139.014, -16.544016
  140.493, -16.636564
  141.988, -16.738188
  143.499, -16.851965
  145.026, -16.978060
  146.569, -17.111982
  148.129, -17.247663
  149.705, -17.378246
  151.298, -17.494717
  152.908, -17.585543
  154.535, -17.645174
  156.179, -17.676785
  157.841, -17.693398
  159.520, -17.709347
  161.218, -17.739145
  162.933, -17.792936
  164.667, -17.871195
  166.419, -17.965412
  168.190, -18.075542
  169.979, -18.212177
  171.788, -18.388439
  173.616, -18.598530
  175.463, -18.828817
  177.330, -19.068302
  179.217, -19.305517
  181.124, -19.528336
  183.052, -19.728039
  184.999, -19.900415
  186.968, -20.016676
  188.957, -20.051054
  190.968, -20.004051
  193.000, -19.914598
  195.054, -19.821270
  197.129, -19.755522
  199.227, -19.743263
  201.347, -19.781782
  203.489, -19.851732
  205.654, -19.928957
  207.843, -20.009047
  210.054, -20.091492
  212.289, -20.177198
  214.548, -20.266727
  216.831, -20.358866
  219.138, -20.449944
  221.470, -20.526257
  223.827, -20.575268
  226.208, -20.598841
  228.615, -20.605707
  231.048, -20.600039
  233.506, -20.582127
  235.991, -20.560642
  238.502, -20.543175
  241.040, -20.528845
  243.605, -20.518112
  246.197, -20.523785
  248.816, -20.554411
  251.464, -20.608185
  254.140, -20.666302
  256.844, -20.713598
  259.577, -20.739689
  262.339, -20.745161
  265.130, -20.742800
  267.952, -20.758451
  270.803, -20.820805
  273.684, -20.936602
  276.596, -21.081861
  279.540, -21.203697
  282.514, -21.265333
  285.520, -21.268536
  288.558, -21.246641
  291.629, -21.230841
  294.732, -21.230095
  297.868, -21.243881
  301.037, -21.269016
  304.241, -21.308535
  307.478, -21.361509
  310.750, -21.424711
  314.056, -21.492527
  317.398, -21.563740
  320.775, -21.637974
  324.189, -21.712526
  327.638, -21.774323
  331.124, -21.816029
  334.648, -21.840994
  338.209, -21.864899
  341.807, -21.896175
  345.444, -21.934185
  349.120, -21.967485
  352.835, -21.977705
  356.589, -21.954996
  360.384, -21.899826
  364.218, -21.812696
  368.094, -21.697359
  372.011, -21.584749
  375.969, -21.528254
  379.970, -21.540365
  384.013, -21.580959
  388.099, -21.592638
  392.228, -21.566887
  396.402, -21.536377
  400.620, -21.534451
  404.883, -21.558672
  409.191, -21.564020
  413.545, -21.523369
  417.945, -21.442724
  422.393, -21.350864
  426.887, -21.257259
  431.429, -21.183643
  436.020, -21.155546
  440.660, -21.169947
  445.348, -21.196426
  450.087, -21.209919
  454.876, -21.235312
  459.717, -21.311884
  464.608, -21.423830
  469.552, -21.494434
  474.548, -21.485401
  479.598, -21.446287
  484.701, -21.435345
  489.858, -21.456806
  495.071, -21.490768
  500.339, -21.527920
  505.663, -21.560373
  511.043, -21.586811
  516.481, -21.613235
  521.977, -21.648920
  527.531, -21.710657
  533.144, -21.796303
  538.817, -21.858625
  544.550, -21.862806
  550.345, -21.810875
  556.201, -21.749250
  562.119, -21.754423
  568.100, -21.842361
  574.145, -21.908768
  580.255, -21.872629
  586.429, -21.832962
  592.669, -21.872507
  598.975, -21.888485
  605.349, -21.830303
  611.790, -21.810974
  618.300, -21.883127
  624.879, -21.963419
  631.528, -22.050190
  638.248, -22.197269
  645.039, -22.302948
  651.903, -22.306810
  658.839, -22.297651
  665.850, -22.369980
  672.935, -22.441624
  680.095, -22.408867
  687.332, -22.341436
  694.645, -22.328735
  702.037, -22.359835
  709.507, -22.372530
  717.057, -22.320120
  724.686, -22.252771
  732.398, -22.187857
  740.191, -22.130251
  748.067, -22.059963
  756.027, -21.989563
  764.071, -21.977402
  772.201, -22.035185
  780.418, -22.096670
  788.722, -22.061523
  797.115, -22.075846
  805.597, -22.096762
  814.169, -22.108194
  822.832, -22.079325
  831.587, -22.123520
  840.436, -22.176983
  849.379, -22.129995
  858.417, -22.073521
  867.551, -22.043554
  876.782, -22.016266
  886.111, -21.924585
  895.540, -21.817671
  905.069, -21.726421
  914.700, -21.655790
  924.433, -21.609034
  934.269, -21.603767
  944.210, -21.595234
  954.257, -21.531696
  964.411, -21.455069
  974.673, -21.403397
  985.044, -21.448936
  995.526, -21.456446
 1006.119, -21.383629
 1016.824, -21.259781
 1027.644, -21.141546
 1038.579, -21.031012
 1049.630, -20.910671
 1060.799, -20.828215
 1072.086, -20.763042
