Frequency(Hz),   Magnitude(dB)
   11.804, -14.904087
   11.929, -14.897120
   12.056, -14.858912
   12.184, -14.815360
   12.314, -14.770323
   12.445, -14.723956
   12.578, -14.676465
   12.711, -14.628008
   12.847, -14.578752
   12.983, -14.528743
   13.122, -14.477850
   13.261, -14.425894
   13.402, -14.372851
   13.545, -14.318906
   13.689, -14.264246
   13.835, -14.209040
   13.982, -14.153429
   14.131, -14.097568
   14.281, -14.041350
   14.433, -13.984649
   14.587, -13.927297
   14.742, -13.869344
   14.899, -13.811030
   15.057, -13.752604
   15.217, -13.694198
   15.379, -13.635811
   15.543, -13.577379
   15.708, -13.518914
   15.875, -13.460457
   16.044, -13.402086
   16.215, -13.343893
   16.388, -13.286069
   16.562, -13.228840
   16.738, -13.172278
   16.916, -13.116306
   17.096, -13.060820
   17.278, -13.005851
   17.462, -12.951567
   17.648, -12.898153
   17.836, -12.845613
   18.025, -12.793917
   18.217, -12.743065
   18.411, -12.693242
   18.607, -12.644676
   18.805, -12.597605
   19.005, -12.552256
   19.207, -12.508781
   19.412, -12.467033
   19.618, -12.426783
   19.827, -12.388134
   20.038, -12.351472
   20.251, -12.317113
   20.467, -12.285147
   20.684, -12.255642
   20.905, -12.228766
   21.127, -12.204794
   21.352, -12.184001
   21.579, -12.166490
   21.809, -12.152231
   22.041, -12.141237
   22.275, -12.133620
   22.512, -12.129563
   22.752, -12.129305
   22.994, -12.133215
   23.239, -12.141641
   23.486, -12.154675
   23.736, -12.172274
   23.988, -12.194396
   24.244, -12.221080
   24.501, -12.252311
   24.762, -12.287976
   25.026, -12.327888
   25.292, -12.371876
   25.561, -12.419924
   25.833, -12.472021
   26.108, -12.528063
   26.386, -12.587636
   26.667, -12.650276
   26.950, -12.715840
   27.237, -12.784485
   27.527, -12.856227
   27.820, -12.930675
   28.116, -13.007356
   28.415, -13.085875
   28.717, -13.166020
   29.023, -13.247561
   29.332, -13.330219
   29.644, -13.413676
   29.959, -13.497595
   30.278, -13.581550
   30.600, -13.664898
   30.926, -13.746895
   31.255, -13.827084
   31.587, -13.905196
   31.924, -13.980809
   32.263, -14.053251
   32.607, -14.121733
   32.953, -14.185503
   33.304, -14.243800
   33.658, -14.295840
   34.017, -14.340906
   34.379, -14.378339
   34.744, -14.407664
   35.114, -14.430148
   35.488, -14.447149
   35.865, -14.459655
   36.247, -14.467257
   36.633, -14.469999
   37.022, -14.468095
   37.416, -14.461557
   37.815, -14.450438
   38.217, -14.435191
   38.624, -14.416492
   39.035, -14.394993
   39.450, -14.371118
   39.870, -14.345155
   40.294, -14.317424
   40.723, -14.288407
   41.156, -14.258703
   41.594, -14.228906
   42.036, -14.199507
   42.484, -14.170992
   42.936, -14.143909
   43.393, -14.119056
   43.854, -14.097334
   44.321, -14.079614
   44.793, -14.066670
   45.269, -14.059352
   45.751, -14.058677
   46.238, -14.065804
   46.730, -14.080625
   47.227, -14.102306
   47.730, -14.130049
   48.237, -14.163891
   48.751, -14.203601
   49.269, -14.248618
   49.794, -14.298615
   50.323, -14.353283
   50.859, -14.412055
   51.400, -14.474160
   51.947, -14.538776
   52.500, -14.605012
   53.058, -14.671906
   53.623, -14.738585
   54.194, -14.804563
   54.770, -14.869409
   55.353, -14.932076
   55.942, -14.990776
   56.537, -15.043743
   57.139, -15.089676
   57.747, -15.127465
   58.361, -15.155910
   58.982, -15.174697
   59.610, -15.184589
   60.244, -15.187139
   60.885, -15.183282
   61.533, -15.173392
   62.188, -15.157902
   62.850, -15.137812
   63.518, -15.114281
   64.194, -15.088587
   64.877, -15.062061
   65.568, -15.036117
   66.265, -15.012103
   66.970, -14.991401
   67.683, -14.975540
   68.403, -14.966374
   69.131, -14.966057
   69.867, -14.977432
   70.610, -15.001726
   71.361, -15.037002
   72.121, -15.079591
   72.888, -15.126822
   73.664, -15.177968
   74.448, -15.232443
   75.240, -15.289685
   76.040, -15.348885
   76.849, -15.408899
   77.667, -15.468478
   78.494, -15.526426
   79.329, -15.581830
   80.173, -15.633720
   81.026, -15.680977
   81.888, -15.722904
   82.759, -15.760394
   83.640, -15.795278
   84.530, -15.829380
   85.430, -15.863363
   86.339, -15.897213
   87.257, -15.930242
   88.186, -15.961717
   89.124, -15.991460
   90.072, -16.019562
   91.031, -16.046221
   91.999, -16.071985
   92.978, -16.097721
   93.968, -16.124010
   94.968, -16.149977
   95.978, -16.174448
   96.999, -16.196653
   98.032, -16.216961
   99.075, -16.236023
  100.129, -16.254709
  101.194, -16.273935
  102.271, -16.294598
  103.359, -16.317650
  104.459, -16.344122
  105.571, -16.375589
  106.694, -16.412609
  107.829, -16.454996
  108.977, -16.501575
  110.136, -16.551535
  111.308, -16.603638
  112.492, -16.656382
  113.689, -16.708242
  114.899, -16.757643
  116.122, -16.802938
  117.357, -16.842936
  118.606, -16.877438
  119.868, -16.907358
  121.144, -16.934288
  122.433, -16.959858
  123.735, -16.985527
  125.052, -17.012470
  126.383, -17.041779
  127.727, -17.074036
  129.087, -17.108795
  130.460, -17.146667
  131.848, -17.188885
  133.251, -17.237000
  134.669, -17.290154
  136.102, -17.346453
  137.550, -17.404362
  139.014, -17.463978
  140.493, -17.527391
  141.988, -17.595255
  143.499, -17.667347
  145.026, -17.741819
  146.569, -17.818359
  148.129, -17.896334
  149.705, -17.974951
  151.298, -18.053484
  152.908, -18.130959
  154.535, -18.205820
  156.179, -18.276569
  157.841, -18.344671
  159.520, -18.413998
  161.218, -18.487589
  162.933, -18.556181
  164.667, -18.600393
  166.419, -18.613033
  168.190, -18.611822
  169.979, -18.626587
  171.788, -18.673769
