Frequency(Hz),Magnitude(dB)
11.804,-14.760361
11.929,-14.766267
12.056,-14.750721
12.184,-14.731099
12.314,-14.710008
12.445,-14.687598
12.578,-14.664049
12.711,-14.639527
12.847,-14.614191
12.983,-14.588078
13.122,-14.561033
13.261,-14.532879
13.402,-14.503588
13.545,-14.473318
13.689,-14.442259
13.835,-14.410558
13.982,-14.37836
14.131,-14.345781
14.281,-14.312725
14.433,-14.279038
14.587,-14.244552
14.742,-14.209297
14.899,-14.17349
15.057,-14.137366
15.217,-14.101053
15.379,-14.064513
15.543,-14.027687
15.708,-13.99055
15.875,-13.953139
16.044,-13.915494
16.215,-13.8777
16.388,-13.839934
16.562,-13.802376
16.738,-13.7651
16.916,-13.727991
17.096,-13.690924
17.278,-13.653908
17.462,-13.617087
17.648,-13.580598
17.836,-13.544438
18.025,-13.508537
18.217,-13.47287
18.411,-13.437597
18.607,-13.402904
18.805,-13.368992
19.005,-13.336053
19.207,-13.304213
19.412,-13.273278
19.618,-13.242989
19.827,-13.213401
20.038,-13.184853
20.251,-13.157622
20.467,-13.131759
20.684,-13.107287
20.905,-13.084313
21.127,-13.063066
21.352,-13.043776
21.579,-13.026494
21.809,-13.011135
22.041,-12.997637
22.275,-12.986073
22.512,-12.976546
22.752,-12.969252
22.994,-12.964487
23.239,-12.962492
23.486,-12.963051
23.736,-12.965675
23.988,-12.96996
24.244,-12.97583
24.501,-12.983333
24.762,-12.992413
25.026,-13.00295
25.292,-13.014855
25.561,-13.028196
25.833,-13.043062
26.108,-13.059452
26.386,-13.077066
26.667,-13.095559
26.95,-13.114932
27.237,-13.135477
27.527,-13.157373
27.82,-13.180402
28.116,-13.204268
28.415,-13.228783
28.717,-13.25393
29.023,-13.279703
29.332,-13.306076
29.644,-13.332987
29.959,-13.360357
30.278,-13.388066
30.6,-13.415768
30.926,-13.443046
31.255,-13.469798
31.587,-13.496119
31.924,-13.521986
32.263,-13.547117
32.607,-13.571185
32.953,-13.593882
33.304,-13.614942
33.658,-13.634091
34.017,-13.651152
34.379,-13.666045
34.744,-13.678879
35.114,-13.69134
35.488,-13.704188
35.865,-13.717426
36.247,-13.729671
36.633,-13.740732
37.022,-13.750632
37.416,-13.759204
37.815,-13.766301
38.217,-13.77216
38.624,-13.777209
39.035,-13.781863
39.45,-13.786254
39.87,-13.79038
40.294,-13.794257
40.723,-13.798023
41.156,-13.801905
41.594,-13.806116
42.036,-13.810737
42.484,-13.815815
42.936,-13.821427
43.393,-13.827883
43.854,-13.835552
44.321,-13.844747
44.793,-13.85566
45.269,-13.868501
45.751,-13.883647
46.238,-13.901661
46.73,-13.923154
47.227,-13.947859
47.73,-13.975023
48.237,-14.003689
48.751,-14.0334
49.269,-14.063984
49.794,-14.095566
50.323,-14.128327
50.859,-14.162242
51.4,-14.197121
51.947,-14.232747
52.5,-14.268886
53.058,-14.305277
53.623,-14.341792
54.194,-14.378754
54.77,-14.416569
55.353,-14.455081
55.942,-14.493479
56.537,-14.530987
57.139,-14.56741
57.747,-14.602749
58.361,-14.636895
58.982,-14.670094
59.61,-14.702941
60.244,-14.736231
60.885,-14.770104
61.533,-14.804057
62.188,-14.837645
62.85,-14.87088
63.518,-14.903889
64.194,-14.936814
64.877,-14.969816
65.568,-15.00304
66.265,-15.036492
66.97,-15.070117
67.683,-15.103911
68.403,-15.138133
69.131,-15.173073
69.867,-15.208206
70.61,-15.242172
71.361,-15.274514
72.121,-15.305934
72.888,-15.337503
73.664,-15.369391
74.448,-15.401705
75.24,-15.434573
76.04,-15.467965
76.849,-15.501556
77.667,-15.534963
78.494,-15.567932
79.329,-15.600517
80.173,-15.632821
81.026,-15.664683
81.888,-15.694786
82.759,-15.722447
83.64,-15.74795
84.53,-15.772929
85.43,-15.798328
86.339,-15.824265
87.257,-15.850181
88.186,-15.875513
89.124,-15.900215
90.072,-15.924543
91.031,-15.948859
91.999,-15.973871
92.978,-16.000304
93.968,-16.027949
94.968,-16.055773
95.978,-16.082885
96.999,-16.10912
98.032,-16.13463
99.075,-16.159751
100.129,-16.184999
101.194,-16.21091
102.271,-16.237991
103.359,-16.26677
104.459,-16.297775
105.571,-16.332229
106.694,-16.371297
107.829,-16.415788
108.977,-16.465287
110.136,-16.518854
111.308,-16.574969
112.492,-16.631887
113.689,-16.687779
114.899,-16.740747
116.122,-16.788782
117.357,-16.830002
118.606,-16.863547
119.868,-16.890103
121.144,-16.911756
122.433,-16.930962
123.735,-16.950109
125.052,-16.971344
126.383,-16.996836
127.727,-17.029312
129.087,-17.074041
130.46,-17.133281
131.848,-17.20644
133.251,-17.289043
134.669,-17.377644
136.102,-17.467996
137.55,-17.556052
139.014,-17.639152
140.493,-17.715677
141.988,-17.785709
143.499,-17.850871
145.026,-17.913179
146.569,-17.974237
148.129,-18.035022
149.705,-18.096277
151.298,-18.157302
152.908,-18.214566
154.535,-18.265453
156.179,-18.30928
157.841,-18.34988
159.52,-18.391329
161.218,-18.436997
162.933,-18.482668
164.667,-18.519553
166.419,-18.543563
168.19,-18.567295
169.979,-18.610331
171.788,-18.685301
173.616,-18.785214
175.463,-18.897986
177.33,-19.011284
179.217,-19.11254
181.124,-19.189053
183.052,-19.238507
184.999,-19.267362
186.968,-19.281147
188.957,-19.284528
190.968,-19.28264
193.0,-19.280273
195.054,-19.279824
197.129,-19.282801
199.227,-19.289874
201.347,-19.301667
203.489,-19.317535
205.654,-19.335751
207.843,-19.355509
210.054,-19.378785
212.289,-19.40769
214.548,-19.442341
216.831,-19.479796
219.138,-19.516808
221.47,-19.554127
223.827,-19.595549
226.208,-19.643587
228.615,-19.69218
231.048,-19.734156
233.506,-19.772747
235.991,-19.819381
238.502,-19.881101
241.04,-19.952632
243.605,-20.026051
246.197,-20.094308
248.816,-20.156939
251.464,-20.21652
254.14,-20.276119
256.844,-20.331489
259.577,-20.376674
262.339,-20.410607
265.13,-20.439624
267.952,-20.471805
270.803,-20.509869
273.684,-20.552716
276.596,-20.596796
279.54,-20.638501
282.514,-20.67412
285.52,-20.702714
288.558,-20.727426
291.629,-20.755037
294.732,-20.790507
297.868,-20.833966
301.037,-20.880642
304.241,-20.924409
307.478,-20.962869
310.75,-20.9971
314.056,-21.028757
317.398,-21.055153
320.775,-21.076024
324.189,-21.093299
327.638,-21.106734
331.124,-21.114785
334.648,-21.119336
338.209,-21.125568
341.807,-21.13617
345.444,-21.15176
349.12,-21.169571
352.835,-21.184031
356.589,-21.1936
360.384,-21.200171
364.218,-21.204371
368.094,-21.206214
372.011,-21.20512
375.969,-21.199427
379.97,-21.188792
384.013,-21.180419
388.099,-21.184453
392.228,-21.201811
396.402,-21.217617
400.62,-21.210389
404.883,-21.178708
409.191,-21.141088
413.545,-21.111203
417.945,-21.094623
422.393,-21.101138
426.887,-21.132962
431.429,-21.165289
436.02,-21.160759
440.66,-21.119771
445.348,-21.076705
450.087,-21.050197
454.876,-21.033227
459.717,-21.01047
464.608,-20.985193
469.552,-20.974123
474.548,-20.980572
479.598,-20.991512
484.701,-20.989055
489.858,-20.985895
495.071,-21.003674
500.339,-21.038055
505.663,-21.063418
511.043,-21.067046
516.481,-21.059915
521.977,-21.055801
527.531,-21.066805
533.144,-21.094995
538.817,-21.136881
544.55,-21.17824
550.345,-21.216968
556.201,-21.253666
562.119,-21.300105
568.1,-21.36109
574.145,-21.426367
580.255,-21.480923
586.429,-21.525727
592.669,-21.56791
598.975,-21.603151
605.349,-21.638173
611.79,-21.690748
618.3,-21.751351
624.879,-21.789001
631.528,-21.811885
638.248,-21.845716
645.039,-21.88048
651.903,-21.901011
658.839,-21.927151
665.85,-21.959134
672.935,-21.974423
680.095,-21.981339
687.332,-22.00661
694.645,-22.047912
702.037,-22.074947
709.507,-22.094451
717.057,-22.133828
724.686,-22.18561
732.398,-22.230444
740.191,-22.239131
748.067,-22.245531
756.027,-22.261902
764.071,-22.277432
772.201,-22.28178
780.418,-22.279716
788.722,-22.285949
797.115,-22.285361
805.597,-22.278188
814.169,-22.267976
822.832,-22.260915
831.587,-22.25058
840.436,-22.234464
849.379,-22.219717
858.417,-22.227423
867.551,-22.247418
876.782,-22.250813
886.111,-22.237829
895.54,-22.235741
905.069,-22.241084
914.7,-22.224622
924.433,-22.178348
934.269,-22.123533
944.21,-22.072867
954.257,-22.028232
964.411,-21.991603
974.673,-21.954066
985.044,-21.901937
995.526,-21.839796
1006.119,-21.781345
1016.824,-21.747237
1027.644,-21.72299
1038.579,-21.702912
1049.63,-21.673917
1060.799,-21.645663
1072.086,-21.617362
1083.494,-21.581349
1095.023,-21.532805
1106.674,-21.476041
