Frequency(Hz),   Magnitude(dB)
   11.804, -18.088186
   11.929, -18.058159
   12.056, -17.979765
   12.184, -17.893295
   12.314, -17.804686
   12.445, -17.714088
   12.578, -17.621708
   12.711, -17.527721
   12.847, -17.432299
   12.983, -17.335491
   13.122, -17.237173
   13.261, -17.137180
   13.402, -17.035500
   13.545, -16.932318
   13.689, -16.827837
   13.835, -16.722239
   13.982, -16.615692
   14.131, -16.508343
   14.281, -16.400120
   14.433, -16.290909
   14.587, -16.180582
   14.742, -16.069185
   14.899, -15.956988
   15.057, -15.844260
   15.217, -15.731179
   15.379, -15.617746
   15.543, -15.503954
   15.708, -15.389823
   15.875, -15.275452
   16.044, -15.160929
   16.215, -15.046402
   16.388, -14.932111
   16.562, -14.818310
   16.738, -14.705129
   16.916, -14.592527
   17.096, -14.480469
   17.278, -14.369033
   17.462, -14.258444
   17.648, -14.148926
   17.836, -14.040586
   18.025, -13.933443
   18.217, -13.827564
   18.411, -13.723229
   18.607, -13.620724
   18.805, -13.520380
   19.005, -13.422493
   19.207, -13.327339
   19.412, -13.234846
   19.618, -13.144890
   19.827, -13.057690
   20.038, -12.973716
   20.251, -12.893418
   20.467, -12.817001
   20.684, -12.744686
   20.905, -12.676736
   21.127, -12.613577
   21.352, -12.555648
   21.579, -12.503194
   21.809, -12.456348
   22.041, -12.415276
   22.275, -12.380279
   22.512, -12.351693
   22.752, -12.329987
   22.994, -12.315701
   23.239, -12.309211
   23.486, -12.309123
   23.736, -12.312855
   23.988, -12.317992
   24.244, -12.323743
   24.501, -12.330131
   24.762, -12.337148
   25.026, -12.344729
   25.292, -12.352831
   25.561, -12.361578
   25.833, -12.371132
   26.108, -12.381550
   26.386, -12.392610
   26.667, -12.404037
   26.950, -12.415919
   27.237, -12.428640
   27.527, -12.442475
   27.820, -12.457299
   28.116, -12.472936
   28.415, -12.489313
   28.717, -12.506526
   29.023, -12.524714
   29.332, -12.543991
   29.644, -12.564429
   29.959, -12.586121
   30.278, -12.609097
   30.600, -12.633204
   30.926, -12.658199
   31.255, -12.684181
   31.587, -12.711453
   31.924, -12.740222
   32.263, -12.770416
   32.607, -12.801971
   32.953, -12.834824
   33.304, -12.868993
   33.658, -12.904468
   34.017, -12.941389
   34.379, -12.979995
   34.744, -13.020316
   35.114, -13.059985
   35.488, -13.098225
   35.865, -13.135612
   36.247, -13.174847
   36.633, -13.216518
   37.022, -13.260495
   37.416, -13.306438
   37.815, -13.353970
   38.217, -13.403106
   38.624, -13.454006
   39.035, -13.506826
   39.450, -13.561410
   39.870, -13.617435
   40.294, -13.674590
   40.723, -13.732654
   41.156, -13.791479
   41.594, -13.850860
   42.036, -13.910448
   42.484, -13.969833
   42.936, -14.028601
   43.393, -14.086545
   43.854, -14.143473
   44.321, -14.199119
   44.793, -14.253066
   45.269, -14.304856
   45.751, -14.354173
   46.238, -14.400677
   46.730, -14.442086
   47.227, -14.477310
   47.730, -14.507093
   48.237, -14.534212
   48.751, -14.559760
   49.269, -14.583863
