Frequency(Hz),   Magnitude(dB)
   11.804, -19.410322
   11.929, -19.457504
   12.056, -19.513950
   12.184, -19.570179
   12.314, -19.624916
   12.445, -19.678267
   12.578, -19.730396
   12.711, -19.781445
   12.847, -19.831553
   12.983, -19.880724
   13.122, -19.928785
   13.261, -19.975515
   13.402, -20.020863
   13.545, -20.064966
   13.689, -20.107971
   13.835, -20.150002
   13.982, -20.191160
   14.131, -20.231525
   14.281, -20.270979
   14.433, -20.309320
   14.587, -20.346346
   14.742, -20.382034
   14.899, -20.416580
   15.057, -20.450165
   15.217, -20.482870
   15.379, -20.514616
   15.543, -20.545296
   15.708, -20.574835
   15.875, -20.603210
   16.044, -20.630423
   16.215, -20.656506
   16.388, -20.681564
   16.562, -20.705732
   16.738, -20.729012
   16.916, -20.751242
   17.096, -20.772221
   17.278, -20.791897
   17.462, -20.810339
   17.648, -20.827631
   17.836, -20.843679
   18.025, -20.858339
   18.217, -20.871517
   18.411, -20.883293
   18.607, -20.893759
   18.805, -20.903030
   19.005, -20.911221
   19.207, -20.918358
   19.412, -20.924160
   19.618, -20.928265
   19.827, -20.930624
   20.038, -20.931490
   20.251, -20.931004
   20.467, -20.929127
   20.684, -20.925762
   20.905, -20.920897
   21.127, -20.914644
   21.352, -20.907116
   21.579, -20.898209
   21.809, -20.887716
   22.041, -20.875454
   22.275, -20.861334
   22.512, -20.845316
   22.752, -20.827454
   22.994, -20.807875
   23.239, -20.786573
   23.486, -20.762281
   23.736, -20.732969
   23.988, -20.696945
   24.244, -20.653736
   24.501, -20.603495
   24.762, -20.546310
   25.026, -20.482222
   25.292, -20.411350
   25.561, -20.333961
   25.833, -20.250380
   26.108, -20.160862
   26.386, -20.065416
   26.667, -19.963985
   26.950, -19.856915
   27.237, -19.744877
   27.527, -19.628458
   27.820, -19.507862
   28.116, -19.383268
   28.415, -19.255003
   28.717, -19.123575
   29.023, -18.989576
   29.332, -18.853586
   29.644, -18.716209
   29.959, -18.578094
   30.278, -18.439873
   30.600, -18.302006
   30.926, -18.164925
   31.255, -18.029440
   31.587, -17.896620
   31.924, -17.767458
   32.263, -17.642757
   32.607, -17.523336
   32.953, -17.410105
   33.304, -17.304085
   33.658, -17.206341
   34.017, -17.118130
   34.379, -17.040873
   34.744, -16.978254
   35.114, -16.954428
   35.488, -16.974062
   35.865, -17.028587
   36.247, -17.090586
   36.633, -17.154516
   37.022, -17.220074
   37.416, -17.287046
   37.815, -17.355244
   38.217, -17.424847
   38.624, -17.496202
   39.035, -17.569660
   39.450, -17.645271
   39.870, -17.722954
   40.294, -17.802616
   40.723, -17.884304
   41.156, -17.968124
   41.594, -18.054159
   42.036, -18.142378
   42.484, -18.232662
   42.936, -18.324951
   43.393, -18.419392
   43.854, -18.516165
   44.321, -18.615412
   44.793, -18.717110
   45.269, -18.821257
   45.751, -18.928013
   46.238, -19.037432
   46.730, -19.146963
   47.227, -19.255257
   47.730, -19.363146
   48.237, -19.474054
   48.751, -19.589170
   49.269, -19.708233
   49.794, -19.831139
   50.323, -19.957808
   50.859, -20.087944
   51.400, -20.221079
   51.947, -20.356676
   52.500, -20.494169
   53.058, -20.632933
   53.623, -20.772472
   54.194, -20.912693
   54.770, -21.053576
   55.353, -21.194511
   55.942, -21.334179
   56.537, -21.471298
   57.139, -21.605131
   57.747, -21.734110
   58.361, -21.846191
   58.982, -21.932062
   59.610, -21.993128
   60.244, -22.043293
   60.885, -22.090879
   61.533, -22.136379
   62.188, -22.179720
