Frequency(Hz),Magnitude(dB)
11.804,-17.862221
11.929,-17.92656
12.056,-18.014034
12.184,-18.103558
12.314,-18.192038
12.445,-18.279605
12.578,-18.366411
12.711,-18.452596
12.847,-18.538298
12.983,-18.623521
13.122,-18.708083
13.261,-18.791771
13.402,-18.874526
13.545,-18.956476
13.689,-19.037766
13.835,-19.118516
13.982,-19.198825
14.131,-19.278763
14.281,-19.358204
14.433,-19.436936
14.587,-19.514749
14.742,-19.591623
14.899,-19.667725
15.057,-19.743234
15.217,-19.818221
15.379,-19.892589
15.543,-19.966223
15.708,-20.039027
15.875,-20.110974
16.044,-20.182035
16.215,-20.252225
16.388,-20.321638
16.562,-20.390383
16.738,-20.458448
16.916,-20.525638
17.096,-20.59173
17.278,-20.656649
17.462,-20.720436
17.648,-20.783135
17.836,-20.844639
18.025,-20.904757
18.217,-20.963369
18.411,-21.020507
18.607,-21.07624
18.805,-21.130638
19.005,-21.183767
19.207,-21.235617
19.412,-21.285848
19.618,-21.334056
19.827,-21.380143
20.038,-21.424293
20.251,-21.466609
20.467,-21.506981
20.684,-21.545249
20.905,-21.581335
21.127,-21.615284
21.352,-21.647123
21.579,-21.676694
21.809,-21.7037
22.041,-21.727864
22.275,-21.749025
22.512,-21.767041
22.752,-21.781869
22.994,-21.793548
23.239,-21.802036
23.486,-21.806699
23.736,-21.806627
23.988,-21.801156
24.244,-21.79021
24.501,-21.773934
24.762,-21.7524
25.026,-21.725628
25.292,-21.693698
25.561,-21.656845
25.833,-21.615366
26.108,-21.569473
26.386,-21.519112
26.667,-21.464195
26.95,-21.405013
27.237,-21.342168
27.527,-21.276178
27.82,-21.207188
28.116,-21.135291
28.415,-21.06073
28.717,-20.983936
29.023,-20.905389
29.332,-20.825583
29.644,-20.74501
29.959,-20.664183
30.278,-20.583618
30.6,-20.503634
30.926,-20.424532
31.255,-20.346961
31.587,-20.271821
31.924,-20.199934
32.263,-20.131924
32.607,-20.068409
32.953,-20.010085
33.304,-19.957748
33.658,-19.912241
34.017,-19.874556
34.379,-19.845864
34.744,-19.82818
35.114,-19.830527
35.488,-19.85304
35.865,-19.890894
36.247,-19.932869
36.633,-19.976787
37.022,-20.022426
37.416,-20.069474
37.815,-20.117616
38.217,-20.166904
38.624,-20.217571
39.035,-20.269818
39.45,-20.323546
39.87,-20.378517
40.294,-20.434477
40.723,-20.491292
41.156,-20.548878
41.594,-20.607133
42.036,-20.6658
42.484,-20.724554
42.936,-20.783098
43.393,-20.841323
43.854,-20.899165
44.321,-20.95647
44.793,-21.012953
45.269,-21.068294
45.751,-21.122332
46.238,-21.175034
46.73,-21.226261
47.227,-21.275842
47.73,-21.323808
48.237,-21.370357
48.751,-21.415512
49.269,-21.459327
49.794,-21.502151
50.323,-21.54441
50.859,-21.58634
51.4,-21.628032
51.947,-21.669569
52.5,-21.711037
53.058,-21.752517
53.623,-21.794249
54.194,-21.836937
54.77,-21.881409
55.353,-21.927946
55.942,-21.976203
56.537,-22.025897
57.139,-22.077354
57.747,-22.130843
58.361,-22.183405
58.982,-22.232154
59.61,-22.276913
60.244,-22.321096
60.885,-22.366753
61.533,-22.413446
62.188,-22.460621
62.85,-22.508183
63.518,-22.556138
64.194,-22.604499
64.877,-22.65328
65.568,-22.702476
66.265,-22.751932
