Frequency(Hz),   Magnitude(dB)
   11.804, -11.470230
   11.929, -11.551497
   12.056, -11.668653
   12.184, -11.790019
   12.314, -11.910969
   12.445, -12.031638
   12.578, -12.152194
   12.711, -12.272766
   12.847, -12.393512
   12.983, -12.514430
   13.122, -12.635351
   13.261, -12.756067
   13.402, -12.876527
   13.545, -12.996856
   13.689, -13.117205
   13.835, -13.237703
   13.982, -13.358446
   14.131, -13.479520
   14.281, -13.600781
   14.433, -13.722045
   14.587, -13.843078
   14.742, -13.963891
   14.899, -14.084630
   15.057, -14.205495
   15.217, -14.326531
   15.379, -14.447664
   15.543, -14.568771
   15.708, -14.689750
   15.875, -14.810583
   16.044, -14.931227
   16.215, -15.051704
   16.388, -15.172093
   16.562, -15.292515
   16.738, -15.412936
   16.916, -15.533165
   17.096, -15.652973
   17.278, -15.772269
   17.462, -15.891096
   17.648, -16.009487
   17.836, -16.127312
   18.025, -16.244377
   18.217, -16.360542
   18.411, -16.475840
   18.607, -16.590313
   18.805, -16.704012
   19.005, -16.816992
   19.207, -16.929224
   19.412, -17.040340
   19.618, -17.149912
   19.827, -17.257824
   20.038, -17.364233
   20.251, -17.469213
   20.467, -17.572622
   20.684, -17.674267
   20.905, -17.774048
   21.127, -17.871965
   21.352, -17.968006
   21.579, -18.061972
   21.809, -18.153522
   22.041, -18.242331
   22.275, -18.328203
   22.512, -18.410938
   22.752, -18.490427
   22.994, -18.566673
   23.239, -18.639700
   23.486, -18.710022
   23.736, -18.778605
   23.988, -18.846512
   24.244, -18.914215
   24.501, -18.981810
   24.762, -19.049252
   25.026, -19.116417
   25.292, -19.183237
   25.561, -19.249796
   25.833, -19.316208
   26.108, -19.382483
   26.386, -19.448360
   26.667, -19.513517
   26.950, -19.577993
   27.237, -19.642128
   27.527, -19.706144
   27.820, -19.769865
   28.116, -19.833059
   28.415, -19.895596
   28.717, -19.957535
   29.023, -20.018934
   29.332, -20.079859
   29.644, -20.140331
   29.959, -20.200361
   30.278, -20.259941
   30.600, -20.318836
   30.926, -20.376743
   31.255, -20.433691
   31.587, -20.489918
   31.924, -20.545549
   32.263, -20.600454
   32.607, -20.654469
   32.953, -20.707481
   33.304, -20.759409
   33.658, -20.810181
   34.017, -20.859842
   34.379, -20.908537
   34.744, -20.956659
   35.114, -21.006666
   35.488, -21.059412
   35.865, -21.114519
   36.247, -21.169594
   36.633, -21.224188
   37.022, -21.278206
   37.416, -21.331369
   37.815, -21.383411
   38.217, -21.434437
   38.624, -21.484726
   39.035, -21.534542
   39.450, -21.583870
   39.870, -21.632551
   40.294, -21.680399
   40.723, -21.727392
   41.156, -21.773533
   41.594, -21.818846
   42.036, -21.863176
   42.484, -21.906340
   42.936, -21.948170
   43.393, -21.988708
   43.854, -22.028070
   44.321, -22.066254
   44.793, -22.103168
   45.269, -22.138689
   45.751, -22.172861
   46.238, -22.205748
   46.730, -22.235695
   47.227, -22.261019
   47.730, -22.281122
   48.237, -22.297207
   48.751, -22.310032
   49.269, -22.319813
   49.794, -22.327028
   50.323, -22.332247
   50.859, -22.335850
   51.400, -22.338074
   51.947, -22.339193
   52.500, -22.339453
   53.058, -22.339132
   53.623, -22.338692
   54.194, -22.339046
   54.770, -22.341255
   55.353, -22.345863
   55.942, -22.352789
   56.537, -22.362020
   57.139, -22.374193
   57.747, -22.390162
   58.361, -22.410242
   58.982, -22.434258
   59.610, -22.461992
   60.244, -22.493484
   60.885, -22.528587
   61.533, -22.566429
   62.188, -22.606184
   62.850, -22.647463
   63.518, -22.689936
   64.194, -22.733307
   64.877, -22.777201
   65.568, -22.821247
   66.265, -22.864876
   66.970, -22.907433
   67.683, -22.948267
   68.403, -22.986956
   69.131, -23.023184
   69.867, -23.057104
   70.610, -23.088665
   71.361, -23.116941
   72.121, -23.140799
   72.888, -23.159849
   73.664, -23.174908
   74.448, -23.187021
   75.240, -23.197304
   76.040, -23.206770
   76.849, -23.216230
   77.667, -23.226505
   78.494, -23.238609
   79.329, -23.253967
   80.173, -23.274111
   81.026, -23.300663
   81.888, -23.336658
   82.759, -23.385536
   83.640, -23.449459
   84.530, -23.527897
   85.430, -23.618891
   86.339, -23.719784
