Frequency(Hz),   Magnitude(dB)
   11.804, -5.569466
   11.929, -5.709975
   12.056, -5.933637
   12.184, -6.168667
   12.314, -6.404301
   12.445, -6.640651
   12.578, -6.877812
   12.711, -7.115925
   12.847, -7.355060
   12.983, -7.595206
   13.122, -7.836119
   13.261, -8.077551
   13.402, -8.319385
   13.545, -8.561698
   13.689, -8.804575
   13.835, -9.048069
   13.982, -9.292227
   14.131, -9.537040
   14.281, -9.782289
   14.433, -10.027711
   14.587, -10.272979
   14.742, -10.518008
   14.899, -10.762849
   15.057, -11.007577
   15.217, -11.252162
   15.379, -11.496386
   15.543, -11.740011
   15.708, -11.982812
   15.875, -12.224619
   16.044, -12.465263
   16.215, -12.704607
   16.388, -12.942584
   16.562, -13.179125
   16.738, -13.414054
   16.916, -13.646978
   17.096, -13.877480
   17.278, -14.105266
   17.462, -14.330170
   17.648, -14.551996
   17.836, -14.770405
   18.025, -14.984964
   18.217, -15.195267
   18.411, -15.401076
   18.607, -15.602163
   18.805, -15.798307
   19.005, -15.989241
   19.207, -16.174629
   19.412, -16.353781
   19.618, -16.525923
   19.827, -16.690569
   20.038, -16.847513
   20.251, -16.996420
   20.467, -17.136765
   20.684, -17.267925
   20.905, -17.389336
   21.127, -17.500547
   21.352, -17.601070
   21.579, -17.690191
   21.809, -17.767056
   22.041, -17.830782
   22.275, -17.880606
   22.512, -17.915733
   22.752, -17.935455
   22.994, -17.939098
   23.239, -17.926304
   23.486, -17.899494
   23.736, -17.863220
   23.988, -17.821999
   24.244, -17.777636
   24.501, -17.730370
   24.762, -17.680185
   25.026, -17.627045
   25.292, -17.570955
   25.561, -17.512077
   25.833, -17.450602
   26.108, -17.386642
   26.386, -17.320036
   26.667, -17.250563
   26.950, -17.178396
   27.237, -17.104000
   27.527, -17.027731
   27.820, -16.949574
   28.116, -16.869440
   28.415, -16.787390
   28.717, -16.703655
   29.023, -16.618494
   29.332, -16.532171
   29.644, -16.444939
   29.959, -16.357044
   30.278, -16.268719
   30.600, -16.180004
   30.926, -16.090883
   31.255, -16.001671
   31.587, -15.912919
   31.924, -15.825101
   32.263, -15.738422
   32.607, -15.653114
   32.953, -15.569447
   33.304, -15.487735
   33.658, -15.408378
   34.017, -15.331841
   34.379, -15.258790
   34.744, -15.189334
   35.114, -15.118062
   35.488, -15.042023
   35.865, -14.960925
   36.247, -14.879282
   36.633, -14.798235
   37.022, -14.717862
   37.416, -14.637959
   37.815, -14.558308
   38.217, -14.479098
   38.624, -14.400709
   39.035, -14.323467
   39.450, -14.247436
   39.870, -14.172540
   40.294, -14.098689
   40.723, -14.025928
   41.156, -13.954367
   41.594, -13.884114
   42.036, -13.815128
   42.484, -13.747313
   42.936, -13.680595
   43.393, -13.615125
   43.854, -13.551117
   44.321, -13.488688
   44.793, -13.427852
   45.269, -13.368606
   45.751, -13.311110
   46.238, -13.257183
   46.730, -13.223386
   47.227, -13.219128
   47.730, -13.241844
   48.237, -13.274036
   48.751, -13.307452
   49.269, -13.341321
   49.794, -13.375802
   50.323, -13.411100
   50.859, -13.447204
   51.400, -13.483951
   51.947, -13.521168
   52.500, -13.558640
   53.058, -13.596143
   53.623, -13.633591
   54.194, -13.671350
   54.770, -13.709855
   55.353, -13.749004
   55.942, -13.788031
   56.537, -13.826216
   57.139, -13.863413
   57.747, -13.899734
   58.361, -13.935540
   58.982, -13.971370
   59.610, -14.007679
   60.244, -14.044713
   60.885, -14.082332
   61.533, -14.120030
   62.188, -14.157393
   62.850, -14.194475
   63.518, -14.231436
   64.194, -14.268465
   64.877, -14.305740
   65.568, -14.343482
   66.265, -14.381724
   66.970, -14.420465
   67.683, -14.459764
   68.403, -14.499932
   69.131, -14.541357
   69.867, -14.584099
   70.610, -14.627562
   71.361, -14.671258
   72.121, -14.715163
   72.888, -14.759571
   73.664, -14.804605
   74.448, -14.850382
   75.240, -14.897038
   76.040, -14.944574
   76.849, -14.992668
   77.667, -15.040956
   78.494, -15.089205
   79.329, -15.137494
   80.173, -15.185942
   81.026, -15.234352
   81.888, -15.280733
   82.759, -15.323735
   83.640, -15.363254
   84.530, -15.401142
   85.430, -15.438339
   86.339, -15.474831
   87.257, -15.509891
   88.186, -15.542796
   89.124, -15.573340
   90.072, -15.601595
   91.031, -15.627729
   91.999, -15.652263
   92.978, -15.675950
   93.968, -15.698272
   94.968, -15.716857
   95.978, -15.729491
   96.999, -15.735715
   98.032, -15.736901
