Frequency(Hz),Magnitude(dB)
11.804,-12.476749
11.929,-12.516525
12.056,-12.560723
12.184,-12.604451
12.314,-12.647001
12.445,-12.688516
12.578,-12.729154
12.711,-12.76907
12.847,-12.808405
12.983,-12.847176
13.122,-12.88521
13.261,-12.92231
13.402,-12.958424
13.545,-12.993692
13.689,-13.02827
13.835,-13.062294
13.982,-13.095876
14.131,-13.129104
14.281,-13.161858
14.433,-13.193946
14.587,-13.225173
14.742,-13.255535
14.899,-13.285217
15.057,-13.314414
15.217,-13.343216
15.379,-13.371545
15.543,-13.399306
15.708,-13.426425
15.875,-13.452893
16.044,-13.478705
16.215,-13.503897
16.388,-13.52859
16.562,-13.552914
16.738,-13.576886
16.916,-13.600334
17.096,-13.623066
17.278,-13.645029
17.462,-13.6663
17.648,-13.686949
17.836,-13.706904
18.025,-13.726009
18.217,-13.744167
18.411,-13.761456
18.607,-13.777977
18.805,-13.793838
19.005,-13.80914
19.207,-13.823917
19.412,-13.837871
19.618,-13.85064
19.827,-13.86217
20.038,-13.872689
20.251,-13.882355
20.467,-13.891098
20.684,-13.898814
20.905,-13.905482
21.127,-13.911189
21.352,-13.916027
21.579,-13.919896
21.809,-13.922559
22.041,-13.923796
22.275,-13.923516
22.512,-13.921646
22.752,-13.918202
22.994,-13.913303
23.239,-13.907014
23.486,-13.899123
23.736,-13.889318
23.988,-13.877427
24.244,-13.863506
24.501,-13.847663
24.762,-13.829897
25.026,-13.810158
25.292,-13.788436
25.561,-13.76488
25.833,-13.739678
26.108,-13.712935
26.386,-13.684461
26.667,-13.654042
26.95,-13.621817
27.237,-13.588225
27.527,-13.553612
27.82,-13.517933
28.116,-13.481085
28.415,-13.443086
28.717,-13.404136
29.023,-13.364464
29.332,-13.324299
29.644,-13.28385
29.959,-13.243322
30.278,-13.202906
30.6,-13.162585
30.926,-13.122287
31.255,-13.082278
31.587,-13.043047
31.924,-13.004989
32.263,-12.96826
32.607,-12.933003
32.953,-12.899398
33.304,-12.867703
33.658,-12.838195
34.017,-12.811272
34.379,-12.787476
34.744,-12.767735
35.114,-12.756143
35.488,-12.752962
35.865,-12.756236
36.247,-12.761215
36.633,-12.767026
37.022,-12.773583
37.416,-12.780628
37.815,-12.787923
38.217,-12.795595
38.624,-12.803957
39.035,-12.8133
39.45,-12.823624
39.87,-12.834785
40.294,-12.846642
40.723,-12.859162
41.156,-12.872399
41.594,-12.886372
42.036,-12.900962
42.484,-12.915991
42.936,-12.931312
43.393,-12.946978
43.854,-12.963096
44.321,-12.979697
44.793,-12.996679
45.269,-13.013928
45.751,-13.031493
46.238,-13.049695
46.73,-13.070111
47.227,-13.093349
47.73,-13.11891
48.237,-13.145003
48.751,-13.170738
49.269,-13.196002
49.794,-13.221047
50.323,-13.246183
50.859,-13.271522
51.4,-13.297021
51.947,-13.32263
52.5,-13.348281
53.058,-13.373893
53.623,-13.399535
54.194,-13.425734
54.77,-13.453115
55.353,-13.481755
55.942,-13.511091
56.537,-13.540605
57.139,-13.570378
57.747,-13.600731
58.361,-13.632066
58.982,-13.664253
59.61,-13.696888
60.244,-13.729562
60.885,-13.762077
61.533,-13.794011
62.188,-13.825024
62.85,-13.855262
63.518,-13.884984
64.194,-13.914476
64.877,-13.944047
65.568,-13.974005
66.265,-14.004526
66.97,-14.035739
67.683,-14.067835
68.403,-14.10127
69.131,-14.136645
69.867,-14.174703
70.61,-14.215424
71.361,-14.257855
72.121,-14.300841
72.888,-14.343779
73.664,-14.386796
74.448,-14.430132
75.24,-14.474049
76.04,-14.518656
76.849,-14.563782
77.667,-14.609206
78.494,-14.654846
79.329,-14.700933
80.173,-14.747758
81.026,-14.795387
81.888,-14.842941
82.759,-14.889774
83.64,-14.935942
84.53,-14.982608
85.43,-15.03049
86.339,-15.079559
87.257,-15.129104
88.186,-15.178391
89.124,-15.227198
90.072,-15.27558
91.031,-15.323692
91.999,-15.371977
92.978,-15.420505
93.968,-15.468018
94.968,-15.513915
95.978,-15.558574
96.999,-15.60322
98.032,-15.647872
99.075,-15.692556
100.129,-15.737468
101.194,-15.782785
102.271,-15.828621
103.359,-15.875083
104.459,-15.922154
