Frequency(Hz),   Magnitude(dB)
   11.804, -7.371834
   11.929, -7.470086
   12.056, -7.617463
   12.184, -7.770730
   12.314, -7.923504
   12.445, -8.075912
   12.578, -8.228072
   12.711, -8.380135
   12.847, -8.532199
   12.983, -8.684264
   13.122, -8.836132
   13.261, -8.987576
   13.402, -9.138505
   13.545, -9.289018
   13.689, -9.439255
   13.835, -9.589298
   13.982, -9.739223
   14.131, -9.889079
   14.281, -10.038703
   14.433, -10.187842
   14.587, -10.336265
   14.742, -10.483914
   14.899, -10.630918
   15.057, -10.777408
   15.217, -10.923430
   15.379, -11.068825
   15.543, -11.213440
   15.708, -11.357135
   15.875, -11.499817
   16.044, -11.641413
   16.215, -11.781879
   16.388, -11.921247
   16.562, -12.059568
   16.738, -12.196755
   16.916, -12.332548
   17.096, -12.466652
   17.278, -12.598908
   17.462, -12.729294
   17.648, -12.857746
   17.836, -12.984087
   18.025, -13.108028
   18.217, -13.229353
   18.411, -13.347997
   18.607, -13.463911
   18.805, -13.577076
   19.005, -13.687414
   19.207, -13.794821
   19.412, -13.898813
   19.618, -13.998867
   19.827, -14.094744
   20.038, -14.186475
   20.251, -14.274024
   20.467, -14.357128
   20.684, -14.435446
   20.905, -14.508754
   21.127, -14.576906
   21.352, -14.639741
   21.579, -14.696912
   21.809, -14.747932
   22.041, -14.792299
   22.275, -14.829648
   22.512, -14.859599
   22.752, -14.881876
   22.994, -14.896286
   23.239, -14.902623
   23.486, -14.901000
   23.736, -14.891924
   23.988, -14.876081
   24.244, -14.853898
   24.501, -14.825582
   24.762, -14.791200
   25.026, -14.750802
   25.292, -14.704468
   25.561, -14.652466
   25.833, -14.595091
   26.108, -14.532591
   26.386, -14.464925
   26.667, -14.392029
   26.950, -14.314237
   27.237, -14.232162
   27.527, -14.146367
   27.820, -14.057021
   28.116, -13.964263
   28.415, -13.868383
   28.717, -13.769839
   29.023, -13.669170
   29.332, -13.566921
   29.644, -13.463649
   29.959, -13.359903
   30.278, -13.256280
   30.600, -13.153166
   30.926, -13.050922
   31.255, -12.950285
   31.587, -12.852244
   31.924, -12.757703
   32.263, -12.667372
   32.607, -12.581987
   32.953, -12.502344
   33.304, -12.429349
   33.658, -12.363982
   34.017, -12.307348
   34.379, -12.260772
   34.744, -12.225333
   35.114, -12.198846
   35.488, -12.177576
   35.865, -12.158181
   36.247, -12.140301
   36.633, -12.124228
   37.022, -12.110030
   37.416, -12.097504
   37.815, -12.086498
   38.217, -12.077212
   38.624, -12.070024
   39.035, -12.065310
   39.450, -12.063159
   39.870, -12.063508
   40.294, -12.066304
   40.723, -12.071620
   41.156, -12.079605
   41.594, -12.090367
   42.036, -12.103922
   42.484, -12.120173
   42.936, -12.139124
   43.393, -12.160914
   43.854, -12.185808
   44.321, -12.213950
   44.793, -12.245400
   45.269, -12.280168
   45.751, -12.318469
   46.238, -12.360510
   46.730, -12.405086
   47.227, -12.452011
   47.730, -12.502270
   48.237, -12.558046
   48.751, -12.619720
   49.269, -12.686767
   49.794, -12.758889
   50.323, -12.835787
   50.859, -12.916932
   51.400, -13.001563
   51.947, -13.088896
   52.500, -13.178058
   53.058, -13.268107
   53.623, -13.358208
   54.194, -13.447913
   54.770, -13.536811
   55.353, -13.623892
   55.942, -13.707417
   56.537, -13.785637
   57.139, -13.857328
   57.747, -13.921048
   58.361, -13.971751
   58.982, -14.007762
   59.610, -14.032570
   60.244, -14.053954
   60.885, -14.075389
   61.533, -14.096599
   62.188, -14.117109
   62.850, -14.136911
   63.518, -14.156105
   64.194, -14.174795
   64.877, -14.193121
   65.568, -14.211179
   66.265, -14.228946
   66.970, -14.246343
   67.683, -14.263317
   68.403, -14.280091
   69.131, -14.296997
   69.867, -14.314590
   70.610, -14.332886
   71.361, -14.351119
   72.121, -14.368350
   72.888, -14.384157
   73.664, -14.398835
   74.448, -14.412827
   75.240, -14.426572
   76.040, -14.440414
   76.849, -14.454395
   77.667, -14.468551
   78.494, -14.483059
   79.329, -14.498446
   80.173, -14.515289
   81.026, -14.534393
   81.888, -14.559803
   82.759, -14.595681
   83.640, -14.644431
   84.530, -14.704550
   85.430, -14.774220
   86.339, -14.851414
   87.257, -14.933366
   88.186, -15.017131
   89.124, -15.100146
   90.072, -15.179966
   91.031, -15.254061
   91.999, -15.320022
   92.978, -15.374417
   93.968, -15.410644
   94.968, -15.424327
   95.978, -15.415341
   96.999, -15.388606
   98.032, -15.348565
   99.075, -15.299991
  100.129, -15.248134
  101.194, -15.198564
  102.271, -15.157132
  103.359, -15.130116
  104.459, -15.125870
  105.571, -15.158348
  106.694, -15.226276
  107.829, -15.319896
  108.977, -15.422685
  110.136, -15.531599
  111.308, -15.644375
  112.492, -15.758479
  113.689, -15.871240
  114.899, -15.979894
  116.122, -16.082209
  117.357, -16.179646
  118.606, -16.274315
  119.868, -16.368084
  121.144, -16.460283
  122.433, -16.551046
  123.735, -16.640392
  125.052, -16.727951
  126.383, -16.813154
  127.727, -16.894478
  129.087, -16.969091
  130.460, -17.038301
  131.848, -17.105715
  133.251, -17.175726
  134.669, -17.247620
  136.102, -17.319416
  137.550, -17.389465
  139.014, -17.457626
  140.493, -17.524359
  141.988, -17.590067
  143.499, -17.655369
  145.026, -17.720867
  146.569, -17.787460
  148.129, -17.855440
  149.705, -17.924969
  151.298, -17.995987
  152.908, -18.067453
  154.535, -18.137833
  156.179, -18.205568
  157.841, -18.272173
  159.520, -18.340879
  161.218, -18.414557
  162.933, -18.490091
  164.667, -18.560902
  166.419, -18.622103
  168.190, -18.683395
  169.979, -18.761742
  171.788, -18.870541
  173.616, -19.003651
  175.463, -19.145866
  177.330, -19.282793
  179.217, -19.401104
  181.124, -19.490570
  183.052, -19.548977
  184.999, -19.582117
  186.968, -19.597727
  188.957, -19.601444
  190.968, -19.597414
  193.000, -19.587116
  195.054, -19.572294
  197.129, -19.554230
  199.227, -19.521992
  201.347, -19.465515
  203.489, -19.382238
  205.654, -19.286467
  207.843, -19.197556
  210.054, -19.141584
  212.289, -19.134184
  214.548, -19.171871
  216.831, -19.232519
  219.138, -19.292974
  221.470, -19.338331
  223.827, -19.368202
  226.208, -19.389429
  228.615, -19.402514
  231.048, -19.399315
  233.506, -19.379257
  235.991, -19.349075
  238.502, -19.315472
  241.040, -19.280123
  243.605, -19.252577
  246.197, -19.263113
  248.816, -19.332077
  251.464, -19.454859
  254.140, -19.588154
  256.844, -19.681389
  259.577, -19.700022
  262.339, -19.647787
  265.130, -19.568350
  267.952, -19.522976
  270.803, -19.552923
  273.684, -19.658888
  276.596, -19.801516
  279.540, -19.924438
  282.514, -19.992874
  285.520, -20.007540
  288.558, -20.000465
  291.629, -20.008717
  294.732, -20.050753
  297.868, -20.123047
  301.037, -20.204382
  304.241, -20.273865
  307.478, -20.322405
  310.750, -20.355947
  314.056, -20.390394
  317.398, -20.440893
  320.775, -20.511818
  324.189, -20.589222
  327.638, -20.628902
  331.124, -20.601524
  334.648, -20.521223
  338.209, -20.448015
  341.807, -20.415844
  345.444, -20.425806
  349.120, -20.460461
  352.835, -20.515026
  356.589, -20.585281
  360.384, -20.649874
  364.218, -20.670176
  368.094, -20.637064
  372.011, -20.576601
  375.969, -20.523081
  379.970, -20.487022
  384.013, -20.473877
  388.099, -20.492537
  392.228, -20.538645
  396.402, -20.598925
  400.620, -20.660122
  404.883, -20.719143
  409.191, -20.760283
  413.545, -20.771254
  417.945, -20.759798
  422.393, -20.753178
  426.887, -20.763742
  431.429, -20.781326
  436.020, -20.793026
  440.660, -20.794285
  445.348, -20.784849
  450.087, -20.766880
  454.876, -20.766218
  459.717, -20.821590
  464.608, -20.914740
  469.552, -20.956829
  474.548, -20.907188
  479.598, -20.857965
  484.701, -20.896099
  489.858, -20.993521
  495.071, -21.065420
  500.339, -21.076841
  505.663, -21.041107
  511.043, -20.985472
  516.481, -20.952101
  521.977, -20.953787
  527.531, -20.958399
  533.144, -20.936041
  538.817, -20.894957
  544.550, -20.859093
  550.345, -20.837870
  556.201, -20.830204
  562.119, -20.828682
  568.100, -20.822178
  574.145, -20.805243
  580.255, -20.785126
  586.429, -20.800533
  592.669, -20.847536
  598.975, -20.878668
  605.349, -20.852692
  611.790, -20.793404
  618.300, -20.768282
  624.879, -20.809874
  631.528, -20.875654
  638.248, -20.918268
  645.039, -20.924459
  651.903, -20.933949
  658.839, -20.947926
  665.850, -20.964998
  672.935, -20.990866
  680.095, -21.000185
  687.332, -20.962919
  694.645, -20.874163
  702.037, -20.806242
  709.507, -20.784576
  717.057, -20.794127
  724.686, -20.765650
  732.398, -20.693678
  740.191, -20.620842
  748.067, -20.579832
  756.027, -20.577028
  764.071, -20.608288
  772.201, -20.623337
  780.418, -20.602892
  788.722, -20.548042
  797.115, -20.500996
  805.597, -20.480303
  814.169, -20.479681
  822.832, -20.473986
  831.587, -20.450327
  840.436, -20.395462
  849.379, -20.330297
  858.417, -20.263590
  867.551, -20.191223
  876.782, -20.141228
  886.111, -20.086683
  895.540, -20.029665
  905.069, -19.960827
  914.700, -19.885847
  924.433, -19.829306
  934.269, -19.734776
  944.210, -19.614910
  954.257, -19.490728
  964.411, -19.397984
  974.673, -19.287575
  985.044, -19.180498
  995.526, -19.112686
 1006.119, -19.064817
 1016.824, -18.955551
 1027.644, -18.797195
 1038.579, -18.671450
 1049.630, -18.594864
 1060.799, -18.513828
 1072.086, -18.405369
 1083.494, -18.294155
 1095.023, -18.200911
 1106.674, -18.131460
 1118.450, -18.069408
 1130.351, -17.983936
 1142.379, -17.858751
 1154.534, -17.722897
 1166.819, -17.606928
 1179.235, -17.508200
 1191.783, -17.409760
 1204.464, -17.321779
 1217.280, -17.211277
 1230.233, -17.119799
 1243.323, -17.016949
 1256.553, -16.910587
 1269.923, -16.790861
 1283.436, -16.703367
 1297.093, -16.639103
 1310.895, -16.523689
 1324.843, -16.407492
 1338.940, -16.293440
 1353.188, -16.189445
 1367.586, -16.064102
 1382.138, -15.954321
 1396.845, -15.876685
 1411.708, -15.778241
 1426.730, -15.677213
 1441.911, -15.568610
 1457.254, -15.457495
 1472.760, -15.335149
 1488.431, -15.199830
 1504.269, -15.085996
 1520.275, -14.970904
 1536.452, -14.866640
 1552.801, -14.730264
 1569.323, -14.595687
 1586.022, -14.471284
 1602.898, -14.374527
 1619.954, -14.262716
 1637.191, -14.142810
 1654.612, -14.002904
 1672.218, -13.883709
 1690.011, -13.771049
 1707.994, -13.643574
 1726.168, -13.494791
 1744.536, -13.373555
 1763.099, -13.248766
 1781.859, -13.135575
 1800.819, -12.994228
 1819.981, -12.876548
 1839.347, -12.734782
 1858.918, -12.583825
 1878.698, -12.429319
 1898.689, -12.295217
 1918.892, -12.186320
 1939.310, -12.089917
 1959.946, -11.972274
 1980.801, -11.825519
 2001.878, -11.687517
 2023.179, -11.554138
 2044.707, -11.455367
 2066.464, -11.334012
 2088.452, -11.225304
 2110.674, -11.100314
 2133.133, -10.987819
 2155.831, -10.887562
 2178.771, -10.799272
 2201.954, -10.732067
 2225.384, -10.676900
 2249.063, -10.580986
 2272.995, -10.467705
 2297.181, -10.367445
 2321.624, -10.324356
 2346.328, -10.283646
 2371.294, -10.234051
 2396.526, -10.193903
 2422.027, -10.188321
 2447.798, -10.177381
 2473.844, -10.165844
 2500.168, -10.159756
 2526.771, -10.151917
 2553.657, -10.145648
 2580.830, -10.132612
 2608.291, -10.156219
 2636.045, -10.176167
 2664.094, -10.219346
 2692.442, -10.253687
 2721.091, -10.293367
 2750.045, -10.317204
 2779.307, -10.342650
 2808.881, -10.374451
 2838.769, -10.405200
 2868.975, -10.430781
 2899.503, -10.432668
 2930.355, -10.423864
 2961.536, -10.464008
 2993.049, -10.477665
 3024.896, -10.492845
 3057.083, -10.494994
 3089.612, -10.550508
 3122.488, -10.584023
 3155.713, -10.578977
 3189.292, -10.571027
 3223.228, -10.573794
 3257.525, -10.587050
 3292.187, -10.614702
 3327.218, -10.663271
 3362.621, -10.683757
 3398.402, -10.734603
 3434.563, -10.732622
 3471.108, -10.773602
 3508.043, -10.806860
 3545.371, -10.888341
 3583.096, -10.932506
 3621.222, -10.949492
 3659.754, -11.017165
 3698.696, -11.091647
 3738.052, -11.158682
 3777.827, -11.179815
 3818.026, -11.183374
 3858.652, -11.169718
 3899.710, -11.155029
 3941.206, -11.122760
 3983.142, -11.143312
 4025.525, -11.206881
 4068.360, -11.302777
 4111.649, -11.358676
 4155.400, -11.421428
 4199.616, -11.508908
 4244.302, -11.630124
 4289.464, -11.710243
 4335.106, -11.731427
 4381.235, -11.752271
 4427.854, -11.782222
 4474.969, -11.804372
 4522.585, -11.794745
 4570.708, -11.790440
 4619.343, -11.828296
 4668.496, -11.836139
 4718.171, -11.815978
 4768.376, -11.781786
 4819.114, -11.769304
 4870.393, -11.833769
 4922.216, -11.874755
 4974.592, -11.884022
 5027.524, -11.855348
 5081.021, -11.857058
 5135.085, -11.881742
 5189.726, -11.910784
 5244.948, -11.935688
 5300.757, -11.949928
 5357.161, -11.987575
 5414.164, -12.029760
 5471.774, -12.048555
 5529.997, -12.063732
 5588.839, -12.071108
 5648.308, -12.077386
 5708.409, -12.045373
 5769.150, -12.000625
 5830.538, -11.995523
 5892.578, -12.042226
 5955.279, -12.138597
 6018.646, -12.209840
 6082.688, -12.282713
 6147.412, -12.307866
 6212.824, -12.357795
 6278.932, -12.363773
 6345.744, -12.412620
 6413.267, -12.419951
 6481.507, -12.456264
 6550.475, -12.477939
 6620.176, -12.512113
 6690.619, -12.501642
 6761.811, -12.466626
 6833.760, -12.389047
 6906.476, -12.397240
 6979.965, -12.425847
 7054.236, -12.461182
 7129.297, -12.396594
 7205.157, -12.291353
 7281.825, -12.220345
 7359.308, -12.198867
 7437.615, -12.158749
 7516.756, -12.060381
 7596.739, -11.891613
 7677.572, -11.713403
 7759.267, -11.539333
 7841.830, -11.446949
 7925.271, -11.468265
 8009.601, -11.585668
 8094.828, -11.850336
 8180.962, -12.243783
 8268.013, -12.741053
 8355.989, -13.258554
 8444.902, -13.749412
 8534.761, -14.192974
 8625.576, -14.552183
 8717.357, -14.850192
 8810.115, -15.111217
 8903.860, -15.374098
 8998.603, -15.594606
 9094.354, -15.803673
 9191.123, -16.004025
 9288.922, -16.276821
 9387.762, -16.497417
 9487.653, -16.678192
 9588.607, -16.836216
 9690.636, -17.005386
 9793.750, -17.151070
 9897.962, -17.244705
10003.282, -17.274265
10109.723, -17.272013
10217.297, -17.218641
10326.015, -17.186672
10435.890, -17.106297
10546.934, -17.016428
10659.160, -16.909155
10772.580, -16.796082
10887.206, -16.637987
11003.053, -16.475517
11120.132, -16.296686
11238.457, -16.089766
11358.041, -15.824206
11478.897, -15.577998
11601.040, -15.410595
11724.481, -15.348426
11849.237, -15.387125
11975.320, -15.507045
12102.745, -15.759369
12231.525, -16.217855
12361.677, -16.988619
12493.212, -18.101673
12626.147, -19.380384
12760.497, -20.558001
12896.277, -21.416954
13033.501, -22.057367
13172.186, -22.538780
13312.346, -22.855833
13453.997, -23.075966
13597.155, -23.318743
13741.838, -23.554886
13888.059, -23.728546
14035.836, -23.751200
14185.187, -23.589130
14336.125, -23.276567
14488.670, -22.809708
14642.839, -22.239079
14798.647, -21.594465
14956.113, -20.926863
15115.256, -20.223274
15276.091, -19.595345
15438.638, -19.224306
15602.915, -19.284559
15768.939, -19.639153
15936.730, -19.951258
16106.307, -19.995918
16277.688, -19.772606
16450.893, -19.552296
16625.939, -19.468845
16802.850, -19.652075
16981.643, -20.121609
17162.336, -20.810181
17344.955, -21.702919
17529.516, -22.667049
17716.039, -23.787529
17904.549, -24.817980
18095.064, -25.757750
18287.607, -26.670321
18482.199, -27.464651
18678.859, -28.173721
18877.615, -28.778942
19078.484, -29.187540
19281.490, -29.368233
19486.656, -29.304224
19694.008, -29.077230
19903.563, -28.620464
20115.350, -31.802778
20329.389, -31.902809
20545.705, -32.338238
20764.324, -33.228920
20985.270, -34.831589
21208.564, -37.210510
21434.236, -40.392258
21662.311, -44.131336
21892.811, -48.206005
22125.764, -52.755577
22361.195, -57.078896
22599.131, -59.375298
22839.600, -60.945580
23082.627, -63.831444
23328.240, -66.595032
23576.467, -68.012169
23827.334, -68.685089
