Frequency(Hz),   Magnitude(dB)
   11.804, -20.652941
   11.929, -20.643475
   12.056, -20.600796
   12.184, -20.552235
   12.314, -20.501867
   12.445, -20.449856
   12.578, -20.396376
   12.711, -20.341614
   12.847, -20.285730
   12.983, -20.228777
   13.122, -20.170599
   13.261, -20.111042
   13.402, -20.050083
   13.545, -19.987900
   13.689, -19.924685
   13.835, -19.860600
   13.982, -19.795815
   14.131, -19.730453
   14.281, -19.664452
   14.433, -19.597660
   14.587, -19.529934
   14.742, -19.461319
   14.899, -19.392067
   15.057, -19.322426
   15.217, -19.252563
   15.379, -19.182447
   15.543, -19.112057
   15.708, -19.041403
   15.875, -18.970549
   16.044, -18.899561
   16.215, -18.828569
   16.388, -18.757784
   16.562, -18.687424
   16.738, -18.617605
   16.916, -18.548254
   17.096, -18.479282
   17.278, -18.410753
   17.462, -18.342869
   17.648, -18.275799
   17.836, -18.209621
   18.025, -18.144297
   18.217, -18.079874
   18.411, -18.016567
   18.607, -17.954639
   18.805, -17.894360
   19.005, -17.835983
   19.207, -17.779720
   19.412, -17.725441
   19.618, -17.672993
   19.827, -17.622499
   20.038, -17.574404
   20.251, -17.529057
   20.467, -17.486620
   20.684, -17.447226
   20.905, -17.411070
   21.127, -17.378515
   21.352, -17.349901
   21.579, -17.325392
   21.809, -17.305038
   22.041, -17.288904
   22.275, -17.277206
   22.512, -17.270191
   22.752, -17.268208
   22.994, -17.271708
   23.239, -17.280981
   23.486, -17.295027
   23.736, -17.311949
   23.988, -17.329979
   24.244, -17.348577
   24.501, -17.367783
   24.762, -17.387589
   25.026, -17.407909
   25.292, -17.428715
   25.561, -17.450117
   25.833, -17.472269
   26.108, -17.495237
   26.386, -17.518772
   26.667, -17.542625
   26.950, -17.566856
   27.237, -17.591843
   27.527, -17.617865
   27.820, -17.644802
   28.116, -17.672443
   28.415, -17.700733
   28.717, -17.729761
   29.023, -17.759642
   29.332, -17.790497
   29.644, -17.822388
   29.959, -17.855400
   30.278, -17.889574
   30.600, -17.924732
   30.926, -17.960629
   31.255, -17.997358
   31.587, -18.035208
   31.924, -18.074369
   32.263, -18.114798
   32.607, -18.156385
   32.953, -18.199070
   33.304, -18.242863
   33.658, -18.287769
   34.017, -18.333883
   34.379, -18.381443
   34.744, -18.430433
   35.114, -18.477961
   35.488, -18.523230
   35.865, -18.567169
   36.247, -18.613213
   36.633, -18.662085
   37.022, -18.713671
   37.416, -18.767569
   37.815, -18.823416
   38.217, -18.881193
   38.624, -18.941057
   39.035, -19.003119
   39.450, -19.067200
   39.870, -19.132961
   40.294, -19.200045
   40.723, -19.268209
   41.156, -19.337257
   41.594, -19.406965
   42.036, -19.476940
   42.484, -19.546730
   42.936, -19.615864
   43.393, -19.684097
   43.854, -19.751192
   44.321, -19.816822
   44.793, -19.880497
   45.269, -19.941729
   45.751, -20.000134
   46.238, -20.055079
   46.730, -20.101753
   47.227, -20.134706
   47.730, -20.151224
   48.237, -20.153500
   48.751, -20.143780
   49.269, -20.123081
   49.794, -20.092665
   50.323, -20.053938
   50.859, -20.008167
   51.400, -19.956596
   51.947, -19.900505
   52.500, -19.841265
   53.058, -19.780338
   53.623, -19.719435
   54.194, -19.660824
   54.770, -19.606985
   55.353, -19.559971
   55.942, -19.521292
   56.537, -19.492643
   57.139, -19.476454
   57.747, -19.475752
   58.361, -19.496157
   58.982, -19.543213
   59.610, -19.619137
   60.244, -19.721649
   60.885, -19.846989
   61.533, -19.991928
   62.188, -20.153210
   62.850, -20.327869
   63.518, -20.512812
   64.194, -20.704727
   64.877, -20.900093
   65.568, -21.095125
   66.265, -21.285610
   66.970, -21.467022
   67.683, -21.634581
   68.403, -21.783457
   69.131, -21.908567
   69.867, -22.003990
   70.610, -22.063932
   71.361, -22.086039
   72.121, -22.072397
   72.888, -22.028000
   73.664, -21.957981
   74.448, -21.867842
   75.240, -21.763474
   76.040, -21.650955
   76.849, -21.536486
   77.667, -21.426617
   78.494, -21.328438
   79.329, -21.249783
   80.173, -21.198973
   81.026, -21.184002
   81.888, -21.206684
   82.759, -21.272223
   83.640, -21.384888
   84.530, -21.549032
   85.430, -21.758434
   86.339, -22.003075
   87.257, -22.271317
   88.186, -22.550711
   89.124, -22.828426
   90.072, -23.091047
   91.031, -23.324234
   91.999, -23.512381
   92.978, -23.631081
   93.968, -23.638754
   94.968, -23.520916
   95.978, -23.292435
   96.999, -22.990124
   98.032, -22.634102
   99.075, -22.243952
  100.129, -21.840504
  101.194, -21.445721
  102.271, -21.082634
  103.359, -20.775772
  104.459, -20.555252
  105.571, -20.458755
  106.694, -20.470274
  107.829, -20.549835
  108.977, -20.645023
  110.136, -20.748617
  111.308, -20.857254
  112.492, -20.967190
  113.689, -21.074469
  114.899, -21.174995
  116.122, -21.266039
  117.357, -21.352013
  118.606, -21.436087
  119.868, -21.519670
  121.144, -21.598843
  122.433, -21.673336
  123.735, -21.743074
  125.052, -21.807583
  126.383, -21.866112
  127.727, -21.915411
  129.087, -21.941263
  130.460, -21.933493
  131.848, -21.890842
  133.251, -21.826347
  134.669, -21.750717
  136.102, -21.674131
  137.550, -21.607843
  139.014, -21.565493
  140.493, -21.563208
  141.988, -21.609995
  143.499, -21.704260
  145.026, -21.832911
  146.569, -21.980242
  148.129, -22.128855
  149.705, -22.259972
  151.298, -22.354679
  152.908, -22.396935
  154.535, -22.380100
  156.179, -22.311003
  157.841, -22.210199
  159.520, -22.105194
  161.218, -22.024643
  162.933, -21.991745
  164.667, -22.024952
  166.419, -22.130890
  168.190, -22.310162
  169.979, -22.549717
  171.788, -22.823330
  173.616, -23.080923
  175.463, -23.258177
  177.330, -23.301119
  179.217, -23.195679
  181.124, -22.976583
  183.052, -22.712820
  184.999, -22.485798
  186.968, -22.381187
  188.957, -22.460407
  190.968, -22.731197
  193.000, -23.137150
  195.054, -23.576200
  197.129, -23.926350
  199.227, -24.034359
  201.347, -23.855297
