Frequency(Hz),   Magnitude(dB)
   11.804, -15.489462
   11.929, -15.637305
   12.056, -15.873488
   12.184, -16.120024
   12.314, -16.365219
   12.445, -16.609161
   12.578, -16.851959
   12.711, -17.093695
   12.847, -17.334452
   12.983, -17.574186
   13.122, -17.812649
   13.261, -18.049570
   13.402, -18.284832
   13.545, -18.518497
   13.689, -18.750645
   13.835, -18.981331
   13.982, -19.210573
   14.131, -19.438381
   14.281, -19.664557
   14.433, -19.888807
   14.587, -20.110836
   14.742, -20.330555
   14.899, -20.548035
   15.057, -20.763371
   15.217, -20.976549
   15.379, -21.187386
   15.543, -21.395658
   15.708, -21.601179
   15.875, -21.803829
   16.044, -22.003456
   16.215, -22.199989
   16.388, -22.393391
   16.562, -22.583670
   16.738, -22.770695
   16.916, -22.954153
   17.096, -23.133699
   17.278, -23.309130
   17.462, -23.480341
   17.648, -23.647245
   17.836, -23.809607
   18.025, -23.967089
   18.217, -24.119417
   18.411, -24.266481
   18.607, -24.408192
   18.805, -24.544445
   19.005, -24.675154
   19.207, -24.800117
   19.412, -24.918844
   19.618, -25.030743
   19.827, -25.135517
   20.038, -25.233171
   20.251, -25.323608
   20.467, -25.406504
   20.684, -25.481503
   20.905, -25.548315
   21.127, -25.606750
   21.352, -25.656605
   21.579, -25.697508
   21.809, -25.728901
   22.041, -25.750275
   22.275, -25.761198
   22.512, -25.761288
   22.752, -25.750196
   22.994, -25.727709
   23.239, -25.693190
   23.486, -25.643015
   23.736, -25.571770
   23.988, -25.474873
   24.244, -25.351078
   24.501, -25.200768
   24.762, -25.024412
   25.026, -24.822470
   25.292, -24.595530
   25.561, -24.344400
   25.833, -24.069979
   26.108, -23.773161
   26.386, -23.454641
   26.667, -23.115145
   26.950, -22.755865
   27.237, -22.378353
   27.527, -21.984186
   27.820, -21.574617
   28.116, -21.150961
   28.415, -20.714764
   28.717, -20.267851
   29.023, -19.812206
   29.332, -19.349916
   29.644, -18.883169
   29.959, -18.414320
   30.278, -17.945784
   30.600, -17.479958
   30.926, -17.019314
   31.255, -16.566809
   31.587, -16.125790
   31.924, -15.699664
   32.263, -15.291788
   32.607, -14.905672
   32.953, -14.545048
   33.304, -14.213912
   33.658, -13.916488
   34.017, -13.657312
   34.379, -13.441297
   34.744, -13.276692
   35.114, -13.200318
   35.488, -13.215078
   35.865, -13.303802
   36.247, -13.422106
   36.633, -13.560461
   37.022, -13.717467
   37.416, -13.891870
   37.815, -14.082376
   38.217, -14.287925
   38.624, -14.507578
   39.035, -14.740271
   39.450, -14.984521
   39.870, -15.238633
   40.294, -15.500781
   40.723, -15.769111
   41.156, -16.041750
   41.594, -16.316660
   42.036, -16.591522
   42.484, -16.863825
   42.936, -17.130913
   43.393, -17.390196
   43.854, -17.638966
   44.321, -17.874254
   44.793, -18.092796
   45.269, -18.291100
   45.751, -18.465672
   46.238, -18.612751
   46.730, -18.727375
   47.227, -18.813620
   47.730, -18.881769
   48.237, -18.944021
   48.751, -19.003633
   49.269, -19.060946
   49.794, -19.116426
   50.323, -19.170607
   50.859, -19.223858
   51.400, -19.276379
   51.947, -19.328415
   52.500, -19.380192
   53.058, -19.431961
   53.623, -19.484116
   54.194, -19.537571
   54.770, -19.593319
   55.353, -19.651857
   55.942, -19.713066
   56.537, -19.776896
   57.139, -19.843914
   57.747, -19.914757
   58.361, -19.988033
   58.982, -20.062412
   59.610, -20.138079
   60.244, -20.217255
   60.885, -20.300966
   61.533, -20.388390
   62.188, -20.478632
   62.850, -20.571247
   63.518, -20.665829
   64.194, -20.761986
   64.877, -20.859285
   65.568, -20.957233
   66.265, -21.055183
   66.970, -21.152367
   67.683, -21.248028
   68.403, -21.341619
   69.131, -21.432369
   69.867, -21.516005
   70.610, -21.584978
   71.361, -21.636410
   72.121, -21.673161
   72.888, -21.700947
   73.664, -21.721727
   74.448, -21.737198
   75.240, -21.749168
   76.040, -21.759417
   76.849, -21.769545
   77.667, -21.781240
   78.494, -21.796415
   79.329, -21.817438
   80.173, -21.846889
   81.026, -21.886793
   81.888, -21.934080
   82.759, -21.989023
   83.640, -22.053947
   84.530, -22.134426
   85.430, -22.229864
   86.339, -22.337128
   87.257, -22.452047
   88.186, -22.570242
   89.124, -22.687540
   90.072, -22.799805
   91.031, -22.902729
   91.999, -22.991417
   92.978, -23.051714
   93.968, -23.041697
