Frequency(Hz),Magnitude(dB)
11.804,-19.960581
11.929,-20.00002
12.056,-20.044476
12.184,-20.088504
12.314,-20.131242
12.445,-20.172831
12.578,-20.213426
12.711,-20.253182
12.847,-20.29224
12.983,-20.33062
13.122,-20.368147
13.261,-20.404624
13.402,-20.439999
13.545,-20.474415
13.689,-20.508028
13.835,-20.540972
13.982,-20.573363
14.131,-20.605286
14.281,-20.636629
14.433,-20.667199
14.587,-20.696804
14.742,-20.72544
14.899,-20.753294
15.057,-20.780567
15.217,-20.80735
15.379,-20.833572
15.543,-20.859134
15.708,-20.883973
15.875,-20.908085
16.044,-20.931463
16.215,-20.954157
16.388,-20.976285
16.562,-20.99799
16.738,-21.01929
16.916,-21.040022
17.096,-21.060003
17.278,-21.079187
17.462,-21.097661
17.648,-21.115502
17.836,-21.132644
18.025,-21.148948
18.217,-21.164324
18.411,-21.178862
18.607,-21.192675
18.805,-21.205884
19.005,-21.218606
19.207,-21.230886
19.412,-21.242441
19.618,-21.252927
19.827,-21.262307
20.038,-21.270827
20.251,-21.27866
20.467,-21.285758
20.684,-21.29204
20.905,-21.2975
21.127,-21.302257
21.352,-21.30642
21.579,-21.309917
21.809,-21.312535
22.041,-21.314086
22.275,-21.314501
22.512,-21.313743
22.752,-21.311858
22.994,-21.308996
23.239,-21.305213
23.486,-21.299886
23.736,-21.292024
23.988,-21.280826
24.244,-21.266138
24.501,-21.248075
24.762,-21.226676
25.026,-21.20192
25.292,-21.173847
25.561,-21.142648
25.833,-21.108561
26.108,-21.071745
26.386,-21.032078
26.667,-20.9894
26.95,-20.943929
27.237,-20.896185
27.527,-20.84659
27.82,-20.795193
28.116,-20.741982
28.415,-20.687082
28.717,-20.630801
29.023,-20.573486
29.332,-20.515495
29.644,-20.457163
29.959,-20.398845
30.278,-20.340876
30.6,-20.283398
30.926,-20.22651
31.255,-20.170655
31.587,-20.11651
31.924,-20.064663
32.263,-20.015484
32.607,-19.969331
32.953,-19.926617
33.304,-19.887839
33.658,-19.853525
34.017,-19.824339
34.379,-19.801098
34.744,-19.785059
35.114,-19.781078
35.488,-19.789915
35.865,-19.809782
36.247,-19.835365
36.633,-19.865498
37.022,-19.899873
37.416,-19.938004
37.815,-19.979403
38.217,-20.023927
38.624,-20.071599
39.035,-20.122399
39.45,-20.175987
39.87,-20.231863
40.294,-20.289501
40.723,-20.348462
41.156,-20.408351
41.594,-20.468725
42.036,-20.528969
42.484,-20.588376
42.936,-20.646234
43.393,-20.702002
43.854,-20.755157
44.321,-20.805054
44.793,-20.850885
45.269,-20.891788
45.751,-20.927014
46.238,-20.955939
46.73,-20.97799
47.227,-20.993685
47.73,-21.004813
48.237,-21.013486
48.751,-21.020118
49.269,-21.02479
49.794,-21.027868
50.323,-21.029788
50.859,-21.030799
51.4,-21.031008
51.947,-21.030518
52.5,-21.029422
53.058,-21.027822
53.623,-21.025972
54.194,-21.024591
54.77,-21.024519
55.353,-21.02605
55.942,-21.028848
56.537,-21.032638
57.139,-21.037754
57.747,-21.044615
58.361,-21.051917
58.982,-21.057713
59.61,-21.061361
60.244,-21.064205
60.885,-21.067218
61.533,-21.070058
62.188,-21.072396
62.85,-21.074371
63.518,-21.076236
64.194,-21.078265
64.877,-21.080759
65.568,-21.084004
66.265,-21.088157
66.97,-21.093318
67.683,-21.099636
68.403,-21.10753
69.131,-21.117505
69.867,-21.129747
70.61,-21.144079
71.361,-21.160592
72.121,-21.179694
72.888,-21.201496
73.664,-21.225663
74.448,-21.251835
75.24,-21.279622
76.04,-21.308444
76.849,-21.33738
77.667,-21.365416
78.494,-21.391609
79.329,-21.415282
80.173,-21.435749
81.026,-21.451409
81.888,-21.453372
82.759,-21.437447
83.64,-21.405574
84.53,-21.367239
85.43,-21.326017
86.339,-21.282883
87.257,-21.238043
88.186,-21.191736
89.124,-21.144729
90.072,-21.098116
91.031,-21.053115
91.999,-21.011498
92.978,-20.977715
93.968,-20.960634
94.968,-20.962198
95.978,-20.981495
96.999,-21.010794
98.032,-21.047851
99.075,-21.090976
100.129,-21.138315
101.194,-21.187632
102.271,-21.236206
103.359,-21.280855
104.459,-21.318726
105.571,-21.350303
106.694,-21.374513
107.829,-21.395176
108.977,-21.411577
110.136,-21.42554
111.308,-21.438809
112.492,-21.452944
113.689,-21.469461
114.899,-21.489799
116.122,-21.515142
117.357,-21.545183
118.606,-21.578651
119.868,-21.614604
121.144,-21.652399
122.433,-21.691689
123.735,-21.731812
125.052,-21.771563
126.383,-21.809368
127.727,-21.842583
129.087,-21.864886
130.46,-21.871228
131.848,-21.86176
133.251,-21.842353
134.669,-21.819017
136.102,-21.797236
137.55,-21.783152
139.014,-21.785428
140.493,-21.820577
141.988,-21.900185
143.499,-22.026997
145.026,-22.18837
146.569,-22.368667
148.129,-22.550693
149.705,-22.714751
151.298,-22.829226
152.908,-22.848867
154.535,-22.756494
156.179,-22.573792
157.841,-22.347219
159.52,-22.114332
161.218,-21.912081
162.933,-21.774573
164.667,-21.7158
166.419,-21.723927
168.19,-21.784465
169.979,-21.887487
171.788,-22.029945
173.616,-22.18876
175.463,-22.337444
177.33,-22.460493
179.217,-22.553131
181.124,-22.613527
183.052,-22.645286
184.999,-22.659812
186.968,-22.668458
188.957,-22.680297
190.968,-22.703277
193.0,-22.742219
195.054,-22.791554
197.129,-22.838288
199.227,-22.847253
201.347,-22.790622
203.489,-22.686287
205.654,-22.5734
207.843,-22.477207
210.054,-22.41383
212.289,-22.376337
214.548,-22.358658
216.831,-22.351455
219.138,-22.346651
221.47,-22.338487
223.827,-22.324972
226.208,-22.312314
228.615,-22.303544
231.048,-22.297442
233.506,-22.302552
235.991,-22.333842
238.502,-22.397569
241.04,-22.480723
243.605,-22.561514
246.197,-22.613413
248.816,-22.631648
251.464,-22.630011
254.14,-22.629416
256.844,-22.625531
259.577,-22.610234
262.339,-22.584783
265.13,-22.558267
267.952,-22.533301
270.803,-22.507242
273.684,-22.480082
276.596,-22.456167
279.54,-22.440033
282.514,-22.438233
285.52,-22.453129
288.558,-22.476584
291.629,-22.483428
294.732,-22.457046
297.868,-22.402711
301.037,-22.343497
304.241,-22.301857
307.478,-22.283939
310.75,-22.286535
314.056,-22.293475
317.398,-22.293422
320.775,-22.285516
324.189,-22.275264
327.638,-22.259247
331.124,-22.231158
334.648,-22.192904
338.209,-22.151652
341.807,-22.106094
345.444,-22.058117
349.12,-22.023563
352.835,-22.032269
356.589,-22.089286
360.384,-22.161645
364.218,-22.193245
368.094,-22.169687
372.011,-22.121869
375.969,-22.083491
379.97,-22.062053
384.013,-22.049656
388.099,-22.037971
392.228,-22.024885
396.402,-22.012956
400.62,-22.003105
404.883,-21.994984
409.191,-21.985239
413.545,-21.964637
417.945,-21.94108
422.393,-21.932695
426.887,-21.944713
431.429,-21.960918
436.02,-21.956366
440.66,-21.932543
445.348,-21.910067
450.087,-21.899981
454.876,-21.905215
459.717,-21.923526
464.608,-21.949999
469.552,-21.968952
474.548,-21.967996
479.598,-21.955421
484.701,-21.940364
489.858,-21.927231
495.071,-21.916029
500.339,-21.915709
505.663,-21.932774
511.043,-21.965602
516.481,-22.01895
521.977,-22.081153
527.531,-22.127339
533.144,-22.143076
538.817,-22.150593
544.55,-22.177368
550.345,-22.232388
556.201,-22.303882
562.119,-22.379115
568.1,-22.451176
574.145,-22.546299
580.255,-22.680679
586.429,-22.844666
592.669,-23.015147
598.975,-23.214042
605.349,-23.448628
611.79,-23.706898
618.3,-23.956006
624.879,-24.195126
631.528,-24.414306
638.248,-24.591047
645.039,-24.674322
651.903,-24.657467
658.839,-24.552961
665.85,-24.382301
672.935,-24.149633
680.095,-23.896474
687.332,-23.637215
694.645,-23.351045
702.037,-23.080627
709.507,-22.866843
