Frequency(Hz),   Magnitude(dB)
   11.804, -20.338438
   11.929, -20.345928
   12.056, -20.332909
   12.184, -20.316019
   12.314, -20.297781
   12.445, -20.278328
   12.578, -20.257835
   12.711, -20.236471
   12.847, -20.214386
   12.983, -20.191612
   13.122, -20.167976
   13.261, -20.143305
   13.402, -20.117565
   13.545, -20.090887
   13.689, -20.063463
   13.835, -20.035437
   13.982, -20.006939
   14.131, -19.978058
   14.281, -19.948704
   14.433, -19.918705
   14.587, -19.887877
   14.742, -19.856226
   14.899, -19.823967
   15.057, -19.791319
   15.217, -19.758383
   15.379, -19.725107
   15.543, -19.691414
   15.708, -19.657257
   15.875, -19.622643
   16.044, -19.587589
   16.215, -19.552179
   16.388, -19.516537
   16.562, -19.480824
   16.738, -19.445099
   16.916, -19.409193
   17.096, -19.372971
   17.278, -19.336390
   17.462, -19.299566
   17.648, -19.262623
   17.836, -19.225485
   18.025, -19.188055
   18.217, -19.150269
   18.411, -19.112244
   18.607, -19.074110
   18.805, -19.036032
   19.005, -18.998150
   19.207, -18.960522
   19.412, -18.922913
   19.618, -18.884998
   19.827, -18.846788
   20.038, -18.808535
   20.251, -18.770464
   20.467, -18.732548
   20.684, -18.694756
   20.905, -18.657093
   21.127, -18.619732
   21.352, -18.582821
   21.579, -18.546305
   21.809, -18.510015
   22.041, -18.473816
   22.275, -18.437666
   22.512, -18.401564
   22.752, -18.365601
   22.994, -18.329981
   23.239, -18.294851
   23.486, -18.260212
   23.736, -18.226036
   23.988, -18.192377
   24.244, -18.159382
   24.501, -18.127155
   24.762, -18.095701
   25.026, -18.064962
   25.292, -18.034918
   25.561, -18.005699
   25.833, -17.977488
   26.108, -17.950350
   26.386, -17.924074
   26.667, -17.898413
   26.950, -17.873472
   27.237, -17.849640
   27.527, -17.827215
   27.820, -17.806107
   28.116, -17.786121
   28.415, -17.767233
   28.717, -17.749550
   29.023, -17.733225
   29.332, -17.718390
   29.644, -17.705153
   29.959, -17.693619
   30.278, -17.683838
   30.600, -17.675680
   30.926, -17.668938
   31.255, -17.663715
   31.587, -17.660357
   31.924, -17.659073
   32.263, -17.659847
   32.607, -17.662621
   32.953, -17.667368
   33.304, -17.674120
   33.658, -17.682920
   34.017, -17.693920
   34.379, -17.707386
   34.744, -17.723675
   35.114, -17.743765
   35.488, -17.769331
   35.865, -17.801941
   36.247, -17.842243
   36.633, -17.890076
   37.022, -17.945047
   37.416, -18.006498
   37.815, -18.073780
   38.217, -18.146568
   38.624, -18.224686
   39.035, -18.307890
   39.450, -18.395603
   39.870, -18.487095
   40.294, -18.581568
   40.723, -18.678286
   41.156, -18.776554
   41.594, -18.875616
   42.036, -18.974497
   42.484, -19.072124
   42.936, -19.167398
   43.393, -19.259350
   43.854, -19.347025
   44.321, -19.429316
   44.793, -19.504911
   45.269, -19.572418
   45.751, -19.630556
   46.238, -19.677767
   46.730, -19.709364
   47.227, -19.722910
   47.730, -19.719591
   48.237, -19.704367
   48.751, -19.679684
   49.269, -19.646320
   49.794, -19.605289
   50.323, -19.557732
   50.859, -19.504627
   51.400, -19.446896
   51.947, -19.385492
   52.500, -19.321417
   53.058, -19.255770
   53.623, -19.189840
   54.194, -19.125469
   54.770, -19.064669
   55.353, -19.009024
   55.942, -18.959530
   56.537, -18.917339
   57.139, -18.884298
   57.747, -18.862911
   58.361, -18.858730
   58.982, -18.872742
   59.610, -18.900667
   60.244, -18.934467
   60.885, -18.970428
   61.533, -19.007622
   62.188, -19.045450
   62.850, -19.083782
   63.518, -19.122555
   64.194, -19.161749
   64.877, -19.201313
   65.568, -19.241192
   66.265, -19.281168
   66.970, -19.320959
   67.683, -19.360306
   68.403, -19.399195
   69.131, -19.437759
   69.867, -19.476486
   70.610, -19.515953
   71.361, -19.555950
   72.121, -19.595867
   72.888, -19.635040
   73.664, -19.673569
   74.448, -19.711660
   75.240, -19.749542
   76.040, -19.787285
   76.849, -19.824678
   77.667, -19.861494
   78.494, -19.897583
   79.329, -19.933159
   80.173, -19.968485
   81.026, -20.002199
   81.888, -20.016737
   82.759, -19.987347
   83.640, -19.896679
   84.530, -19.748686
   85.430, -19.555342
   86.339, -19.327789
   87.257, -19.077099
   88.186, -18.815006
   89.124, -18.554516
   90.072, -18.309687
   91.031, -18.095428
   91.999, -17.929161
   92.978, -17.848047
   93.968, -17.938805
   94.968, -18.247679
   95.978, -18.779305
   96.999, -19.469053
   98.032, -20.277935
   99.075, -21.167530
  100.129, -22.096060
  101.194, -23.017843
  102.271, -23.882879
  103.359, -24.635788
  104.459, -25.204815
  105.571, -25.475817
  106.694, -25.441444
  107.829, -25.185112
  108.977, -24.832130
  110.136, -24.418728
  111.308, -23.973480
  112.492, -23.526308
  113.689, -23.108608
  114.899, -22.753307
  116.122, -22.494047
  117.357, -22.343405
  118.606, -22.276836
  119.868, -22.254553
  121.144, -22.247179
  122.433, -22.247992
  123.735, -22.251802
  125.052, -22.252672
  126.383, -22.244225
  127.727, -22.221188
  129.087, -22.185728
  130.460, -22.138657
  131.848, -22.081511
  133.251, -22.013659
  134.669, -21.939993
  136.102, -21.865543
  137.550, -21.796127
  139.014, -21.743076
  140.493, -21.754925
  141.988, -21.869757
  143.499, -22.101456
  145.026, -22.413345
  146.569, -22.767500
  148.129, -23.125483
  149.705, -23.444645
  151.298, -23.670597
  152.908, -23.765991
  154.535, -23.745342
  156.179, -23.654358
  157.841, -23.527767
  159.520, -23.371330
  161.218, -23.188240
  162.933, -22.981630
  164.667, -22.747465
  166.419, -22.471800
  168.190, -22.158098
  169.979, -21.834013
  171.788, -21.542240
  173.616, -21.312906
  175.463, -21.207663
  177.330, -21.264071
  179.217, -21.473562
  181.124, -21.760344
  183.052, -22.045048
  184.999, -22.255095
  186.968, -22.316614
  188.957, -22.191614
  190.968, -21.902521
  193.000, -21.521120
  195.054, -21.130054
  197.129, -20.813623
  199.227, -20.653765
  201.347, -20.649054
  203.489, -20.750780
  205.654, -20.878817
  207.843, -21.003281
  210.054, -21.107193
  212.289, -21.185289
  214.548, -21.242107
  216.831, -21.286867
  219.138, -21.332035
  221.470, -21.396351
  223.827, -21.498930
  226.208, -21.645689
  228.615, -21.818247
  231.048, -21.982800
  233.506, -22.106213
  235.991, -22.179953
  238.502, -22.217045
  241.040, -22.241539
  243.605, -22.272186
  246.197, -22.317617
  248.816, -22.384045
  251.464, -22.467030
  254.140, -22.553747
  256.844, -22.614071
  259.577, -22.613087
  262.339, -22.544420
  265.130, -22.446472
  267.952, -22.399086
  270.803, -22.480799
  273.684, -22.709110
  276.596, -23.020500
  279.540, -23.270748
  282.514, -23.362406
  285.520, -23.297773
  288.558, -23.143309
  291.629, -22.943115
  294.732, -22.697866
  297.868, -22.414907
  301.037, -22.128525
  304.241, -21.934917
  307.478, -21.862846
  310.750, -21.891163
  314.056, -21.950195
  317.398, -22.023706
  320.775, -22.108593
  324.189, -22.196821
  327.638, -22.273323
  331.124, -22.322754
  334.648, -22.336313
  338.209, -22.299259
  341.807, -22.176546
  345.444, -21.977053
  349.120, -21.793840
  352.835, -21.754717
  356.589, -21.877987
  360.384, -22.060101
  364.218, -22.159758
  368.094, -22.147970
  372.011, -22.097578
  375.969, -22.083483
  379.970, -22.119436
  384.013, -22.172972
  388.099, -22.207558
  392.228, -22.218018
  396.402, -22.240847
  400.620, -22.328403
  404.883, -22.475897
  409.191, -22.588820
  413.545, -22.587793
  417.945, -22.500206
  422.393, -22.420811
  426.887, -22.383635
  431.429, -22.342548
  436.020, -22.229650
  440.660, -22.060974
  445.348, -21.962332
  450.087, -21.997625
  454.876, -22.085646
  459.717, -22.081137
  464.608, -21.994204
  469.552, -21.950500
  474.548, -22.003389
  479.598, -22.110979
  484.701, -22.199247
  489.858, -22.174255
  495.071, -21.900229
  500.339, -21.535158
  505.663, -21.371174
  511.043, -21.486504
  516.481, -21.689463
  521.977, -21.783169
  527.531, -21.799816
  533.144, -21.809893
  538.817, -21.871977
  544.550, -22.002357
  550.345, -22.179136
  556.201, -22.335150
  562.119, -22.441860
  568.100, -22.512356
  574.145, -22.603319
  580.255, -22.766479
  586.429, -23.026409
  592.669, -23.326813
  598.975, -23.573837
  605.349, -23.744471
  611.790, -23.899225
  618.300, -24.069073
  624.879, -24.195608
  631.528, -24.279451
  638.248, -24.371418
  645.039, -24.431368
  651.903, -24.418121
  658.839, -24.362013
  665.850, -24.317841
  672.935, -24.239223
  680.095, -23.994284
  687.332, -23.639778
  694.645, -23.308598
  702.037, -23.125282
  709.507, -23.034809
  717.057, -22.937786
  724.686, -22.847940
  732.398, -22.777409
  740.191, -22.691536
  748.067, -22.536142
  756.027, -22.340668
  764.071, -22.192760
  772.201, -22.123400
  780.418, -22.088306
  788.722, -22.001118
  797.115, -21.901209
  805.597, -21.820930
  814.169, -21.789829
  822.832, -21.759777
  831.587, -21.702873
  840.436, -21.646244
  849.379, -21.592342
  858.417, -21.553492
  867.551, -21.495735
  876.782, -21.444805
  886.111, -21.429609
  895.540, -21.441713
  905.069, -21.466898
  914.700, -21.459982
  924.433, -21.406645
  934.269, -21.291735
  944.210, -21.185431
  954.257, -21.118898
  964.411, -21.086578
  974.673, -21.061543
  985.044, -21.011133
  995.526, -20.956329
 1006.119, -20.876188
 1016.824, -20.814758
 1027.644, -20.820520
 1038.579, -20.855917
 1049.630, -20.872095
 1060.799, -20.837284
 1072.086, -20.808704
 1083.494, -20.794003
 1095.023, -20.751169
 1106.674, -20.676626
 1118.450, -20.581024
 1130.351, -20.506109
 1142.379, -20.470436
 1154.534, -20.439571
 1166.819, -20.374739
 1179.235, -20.308645
 1191.783, -20.292660
 1204.464, -20.336906
 1217.280, -20.318214
 1230.233, -20.265083
 1243.323, -20.217222
 1256.553, -20.202623
 1269.923, -20.154375
 1283.436, -20.072660
 1297.093, -20.032543
 1310.895, -19.996866
 1324.843, -19.993069
 1338.940, -19.980707
 1353.188, -19.962143
 1367.586, -19.910709
 1382.138, -19.850538
 1396.845, -19.817612
 1411.708, -19.807411
 1426.730, -19.763716
 1441.911, -19.718229
 1457.254, -19.619854
 1472.760, -19.548119
