Frequency(Hz),   Magnitude(dB)
   11.804, -31.171806
   11.929, -31.141340
   12.056, -31.062344
   12.184, -30.975540
   12.314, -30.886915
   12.445, -30.796581
   12.578, -30.704746
   12.711, -30.611532
   12.847, -30.517120
   12.983, -30.421515
   13.122, -30.324551
   13.261, -30.226036
   13.402, -30.125938
   13.545, -30.024406
   13.689, -29.921585
   13.835, -29.817627
   13.982, -29.712664
   14.131, -29.606781
   14.281, -29.499866
   14.433, -29.391752
   14.587, -29.282236
   14.742, -29.171326
   14.899, -29.059225
   15.057, -28.946135
   15.217, -28.832155
   15.379, -28.717226
   15.543, -28.601250
   15.708, -28.484180
   15.875, -28.366005
   16.044, -28.246742
   16.215, -28.126446
   16.388, -28.005230
   16.562, -27.883247
   16.738, -27.760538
   16.916, -27.636932
   17.096, -27.512257
   17.278, -27.386469
   17.462, -27.259657
   17.648, -27.131924
   17.836, -27.003195
   18.025, -26.873335
   18.217, -26.742270
   18.411, -26.610079
   18.607, -26.476883
   18.805, -26.342817
   19.005, -26.207994
   19.207, -26.072462
   19.412, -25.935947
   19.618, -25.798098
   19.827, -25.658875
   20.038, -25.518539
   20.251, -25.377243
   20.467, -25.234957
   20.684, -25.091593
   20.905, -24.947147
   21.127, -24.801725
   21.352, -24.655428
   21.579, -24.508190
   21.809, -24.359777
   22.041, -24.210014
   22.275, -24.058804
   22.512, -23.906115
   22.752, -23.751972
   22.994, -23.596514
   23.239, -23.439886
   23.486, -23.282375
   23.736, -23.124451
   23.988, -22.966642
   24.244, -22.809269
   24.501, -22.652464
   24.762, -22.496279
   25.026, -22.340647
   25.292, -22.185604
   25.561, -22.031292
   25.833, -21.877901
   26.108, -21.725546
   26.386, -21.574043
   26.667, -21.423164
   26.950, -21.273035
   27.237, -21.124090
   27.527, -20.976648
   27.820, -20.830647
   28.116, -20.685949
   28.415, -20.542530
   28.717, -20.400564
   29.023, -20.260214
   29.332, -20.121658
   29.644, -19.985044
   29.959, -19.850515
   30.278, -19.718168
   30.600, -19.587902
   30.926, -19.459557
   31.255, -19.333284
   31.587, -19.209467
   31.924, -19.088373
   32.263, -18.970015
   32.607, -18.854399
   32.953, -18.741539
   33.304, -18.631542
   33.658, -18.524481
   34.017, -18.420563
   34.379, -18.320131
   34.744, -18.226147
   35.114, -18.166662
   35.488, -18.152060
   35.865, -18.178823
   36.247, -18.220757
   36.633, -18.271784
   37.022, -18.331152
   37.416, -18.398134
   37.815, -18.471996
   38.217, -18.552347
   38.624, -18.638905
   39.035, -18.731350
   39.450, -18.829010
   39.870, -18.931030
   40.294, -19.036499
   40.723, -19.144575
   41.156, -19.254421
   41.594, -19.365128
   42.036, -19.475586
   42.484, -19.584553
   42.936, -19.690756
   43.393, -19.793064
   43.854, -19.890314
   44.321, -19.981188
   44.793, -20.064165
   45.269, -20.137642
   45.751, -20.200052
   46.238, -20.250668
   46.730, -20.296179
   47.227, -20.341043
   47.730, -20.384731
   48.237, -20.419661
   48.751, -20.442642
   49.269, -20.454340
   49.794, -20.456081
   50.323, -20.449341
   50.859, -20.435490
   51.400, -20.415829
   51.947, -20.391733
   52.500, -20.364689
   53.058, -20.336245
   53.623, -20.308233
   54.194, -20.283020
   54.770, -20.263218
   55.353, -20.251013
   55.942, -20.248049
   56.537, -20.256174
   57.139, -20.277969
   57.747, -20.316807
   58.361, -20.381081
   58.982, -20.481562
   59.610, -20.624815
   60.244, -20.809544
   60.885, -21.030184
   61.533, -21.281973
   62.188, -21.560127
   62.850, -21.859976
   63.518, -22.176611
   64.194, -22.504787
   64.877, -22.838884
   65.568, -23.172876
   66.265, -23.500166
   66.970, -23.813652
   67.683, -24.105808
   68.403, -24.368858
   69.131, -24.593246
   69.867, -24.753119
   70.610, -24.818335
   71.361, -24.792032
   72.121, -24.705893
   72.888, -24.591686
   73.664, -24.455940
   74.448, -24.303135
   75.240, -24.138056
   76.040, -23.965637
   76.849, -23.790838
   77.667, -23.618914
   78.494, -23.455570
   79.329, -23.307182
   80.173, -23.180565
   81.026, -23.081394
   81.888, -23.001823
   82.759, -22.931978
   83.640, -22.865362
   84.530, -22.806852
   85.430, -22.759592
   86.339, -22.724091
   87.257, -22.700069
   88.186, -22.687220
   89.124, -22.685766
   90.072, -22.696226
   91.031, -22.719242
   91.999, -22.756088
   92.978, -22.812103
   93.968, -22.901468
   94.968, -23.028610
   95.978, -23.189095
   96.999, -23.368752
   98.032, -23.562246
   99.075, -23.765043
  100.129, -23.972471
  101.194, -24.179514
  102.271, -24.380745
  103.359, -24.570442
  104.459, -24.744181
  105.571, -24.907923
  106.694, -25.066221
  107.829, -25.221638
  108.977, -25.368238
  110.136, -25.505430
  111.308, -25.632750
  112.492, -25.749599
  113.689, -25.855419
  114.899, -25.949442
  116.122, -26.027086
  117.357, -26.065996
  118.606, -26.051088
  119.868, -25.980635
  121.144, -25.874174
  122.433, -25.746174
  123.735, -25.610958
  125.052, -25.483292
  126.383, -25.378809
  127.727, -25.315823
  129.087, -25.312159
  130.460, -25.360779
  131.848, -25.442335
  133.251, -25.534815
  134.669, -25.635328
  136.102, -25.742077
  137.550, -25.853601
  139.014, -25.969627
  140.493, -26.087038
  141.988, -26.207020
  143.499, -26.332222
  145.026, -26.466700
  146.569, -26.607822
  148.129, -26.750856
  149.705, -26.889097
  151.298, -26.997080
  152.908, -27.015789
  154.535, -26.912476
  156.179, -26.700212
  157.841, -26.435577
  159.520, -26.163431
  161.218, -25.928795
  162.933, -25.775448
  164.667, -25.719343
  166.419, -25.740490
  168.190, -25.813313
  169.979, -25.931885
  171.788, -26.108500
  173.616, -26.337463
  175.463, -26.600653
  177.330, -26.889748
  179.217, -27.196114
  181.124, -27.508987
  183.052, -27.805231
  184.999, -28.061617
  186.968, -28.231579
  188.957, -28.275370
  190.968, -28.193396
  193.000, -28.039570
  195.054, -27.877930
  197.129, -27.767950
  199.227, -27.762329
  201.347, -27.868788
  203.489, -28.059044
  205.654, -28.280397
  207.843, -28.496872
  210.054, -28.678261
  212.289, -28.818708
  214.548, -28.931421
  216.831, -29.035118
  219.138, -29.133787
  221.470, -29.230700
  223.827, -29.332230
  226.208, -29.441309
  228.615, -29.549322
  231.048, -29.642902
  233.506, -29.700970
  235.991, -29.713274
  238.502, -29.682264
  241.040, -29.620537
  243.605, -29.534101
  246.197, -29.423216
  248.816, -29.280598
  251.464, -29.110535
  254.140, -28.940304
  256.844, -28.880150
  259.577, -29.051199
  262.339, -29.482658
  265.130, -30.054399
  267.952, -30.499119
  270.803, -30.627571
  273.684, -30.462053
  276.596, -30.178932
  279.540, -29.908607
  282.514, -29.679535
