Frequency(Hz),Magnitude(dB)
11.804,-24.740338
11.929,-24.728723
12.056,-24.682821
12.184,-24.631023
12.314,-24.57751
12.445,-24.522435
12.578,-24.465973
12.711,-24.408294
12.847,-24.349561
12.983,-24.28981
13.122,-24.228887
13.261,-24.166618
13.402,-24.102976
13.545,-24.038125
13.689,-23.972245
13.835,-23.9055
13.982,-23.838029
14.131,-23.769951
14.281,-23.701181
14.433,-23.631558
14.587,-23.560922
14.742,-23.489306
14.899,-23.41693
15.057,-23.344034
15.217,-23.270747
15.379,-23.197039
15.543,-23.122858
15.708,-23.048183
15.875,-22.97305
16.044,-22.897514
16.215,-22.821662
16.388,-22.745672
16.562,-22.66974
16.738,-22.593941
16.916,-22.518174
17.096,-22.442313
17.278,-22.36638
17.462,-22.290523
17.648,-22.214899
17.836,-22.139504
18.025,-22.064282
18.217,-21.989218
18.411,-21.914483
18.607,-21.840273
18.805,-21.7668
19.005,-21.694273
19.207,-21.622827
19.412,-21.552283
19.618,-21.482398
19.827,-21.413239
20.038,-21.345165
20.251,-21.278457
20.467,-21.213196
20.684,-21.149418
20.905,-21.087248
21.127,-21.026933
21.352,-20.968727
21.579,-20.912698
21.809,-20.858777
22.041,-20.806936
22.275,-20.757264
22.512,-20.709887
22.752,-20.665028
22.994,-20.623011
23.239,-20.584094
23.486,-20.547988
23.736,-20.514079
23.988,-20.481837
24.244,-20.451153
24.501,-20.422077
24.762,-20.394556
25.026,-20.368479
25.292,-20.343772
25.561,-20.320503
25.833,-20.298776
26.108,-20.278595
26.386,-20.259672
26.667,-20.241667
26.95,-20.224593
27.237,-20.208754
27.527,-20.194337
27.82,-20.181138
28.116,-20.168864
28.415,-20.157349
28.717,-20.146583
29.023,-20.13657
29.332,-20.127297
29.644,-20.118714
29.959,-20.110755
30.278,-20.103315
30.6,-20.096059
30.926,-20.088582
31.255,-20.080796
31.587,-20.072811
31.924,-20.064608
32.263,-20.055932
32.607,-20.046461
32.953,-20.035903
33.304,-20.024004
33.658,-20.010503
34.017,-19.995229
34.379,-19.978122
34.744,-19.959827
35.114,-19.9476
35.488,-19.94398
35.865,-19.948087
36.247,-19.953095
36.633,-19.957595
37.022,-19.961521
37.416,-19.964688
37.815,-19.966926
38.217,-19.968446
38.624,-19.969643
39.035,-19.970902
39.45,-19.972317
39.87,-19.973857
40.294,-19.975493
40.723,-19.977317
41.156,-19.979505
41.594,-19.982221
42.036,-19.985492
42.484,-19.989295
42.936,-19.993648
43.393,-19.998781
43.854,-20.004989
44.321,-20.012497
44.793,-20.021408
45.269,-20.03183
45.751,-20.044035
46.238,-20.058714
46.73,-20.078921
47.227,-20.105362
47.73,-20.136492
48.237,-20.168272
48.751,-20.199004
49.269,-20.228604
49.794,-20.257419
50.323,-20.285867
50.859,-20.314178
51.4,-20.34243
51.947,-20.370703
52.5,-20.399063
53.058,-20.427583
53.623,-20.456486
54.194,-20.486462
54.77,-20.518313
55.353,-20.552298
55.942,-20.588048
56.537,-20.625248
57.139,-20.664194
57.747,-20.705595
58.361,-20.752024
58.982,-20.806338
59.61,-20.869935
60.244,-20.941975
60.885,-21.020897
61.533,-21.105463
62.188,-21.19454
62.85,-21.287407
63.518,-21.383394
64.194,-21.481791
64.877,-21.581845
65.568,-21.682721
66.265,-21.783376
66.97,-21.882641
67.683,-21.979317
68.403,-22.072382
69.131,-22.160562
69.867,-22.239059
70.61,-22.301078
71.361,-22.346122
72.121,-22.380166
72.888,-22.409649
73.664,-22.435895
74.448,-22.459847
75.24,-22.48251
76.04,-22.50478
76.849,-22.52731
77.667,-22.550752
78.494,-22.575926
79.329,-22.604017
80.173,-22.636313
81.026,-22.673598
81.888,-22.712629
82.759,-22.750717
83.64,-22.787256
84.53,-22.825341
85.43,-22.86653
86.339,-22.911034
87.257,-22.958349
88.186,-23.007958
89.124,-23.059844
90.072,-23.114286
91.031,-23.171657
91.999,-23.232652
92.978,-23.298001
93.968,-23.368082
94.968,-23.442966
95.978,-23.522961
96.999,-23.607814
98.032,-23.696574
99.075,-23.78827
100.129,-23.881984
101.194,-23.976671
102.271,-24.071096
103.359,-24.163885
104.459,-24.253756
105.571,-24.34077
106.694,-24.424462
107.829,-24.506537
108.977,-24.586844
110.136,-24.666094
111.308,-24.744698
112.492,-24.82291
113.689,-24.900979
114.899,-24.979099
116.122,-25.056613
117.357,-25.129462
118.606,-25.19567
119.868,-25.255711
121.144,-25.312794
122.433,-25.368016
123.735,-25.422062
125.052,-25.47525
126.383,-25.52768
127.727,-25.578274
129.087,-25.623232
130.46,-25.663087
131.848,-25.702049
133.251,-25.745604
134.669,-25.793391
136.102,-25.843586
137.55,-25.894558
139.014,-25.946132
140.493,-25.999367
141.988,-26.05433
143.499,-26.112447
145.026,-26.174148
146.569,-26.239326
148.129,-26.306902
149.705,-26.375111
151.298,-26.441159
152.908,-26.498098
154.535,-26.539425
156.179,-26.564214
157.841,-26.579412
159.52,-26.595267
161.218,-26.621357
162.933,-26.660817
164.667,-26.709
166.419,-26.760854
168.19,-26.826946
169.979,-26.922134
171.788,-27.057418
173.616,-27.222736
175.463,-27.399638
177.33,-27.573141
179.217,-27.735314
181.124,-27.878349
183.052,-27.994897
184.999,-28.082553
186.968,-28.133083
188.957,-28.138653
190.968,-28.107994
193.0,-28.062499
195.054,-28.020291
197.129,-27.996249
199.227,-27.99808
201.347,-28.026233
203.489,-28.076445
205.654,-28.13893
207.843,-28.201266
210.054,-28.252171
212.289,-28.280803
214.548,-28.287539
216.831,-28.28263
219.138,-28.280441
221.47,-28.302888
223.827,-28.367544
226.208,-28.476965
228.615,-28.611577
231.048,-28.743154
233.506,-28.851299
235.991,-28.92775
238.502,-28.979316
241.04,-29.020674
243.605,-29.066409
246.197,-29.117276
248.816,-29.172549
251.464,-29.231357
254.14,-29.294077
256.844,-29.345915
259.577,-29.370728
262.339,-29.370339
265.13,-29.365615
267.952,-29.368311
270.803,-29.370146
273.684,-29.368881
276.596,-29.373429
279.54,-29.391998
282.514,-29.430252
285.52,-29.492197
288.558,-29.572391
291.629,-29.643315
294.732,-29.681575
297.868,-29.690098
301.037,-29.693255
304.241,-29.703981
307.478,-29.726016
310.75,-29.758657
314.056,-29.789575
317.398,-29.800415
320.775,-29.789465
324.189,-29.772151
327.638,-29.76369
331.124,-29.765487
334.648,-29.780678
338.209,-29.799774
341.807,-29.804875
345.444,-29.796116
349.12,-29.789841
352.835,-29.785055
356.589,-29.781406
360.384,-29.791675
364.218,-29.815883
368.094,-29.849179
372.011,-29.890238
