Frequency(Hz),   Magnitude(dB)
   11.804, -27.329166
   11.929, -27.271587
   12.056, -27.145720
   12.184, -27.009048
   12.314, -26.869970
   12.445, -26.728647
   12.578, -26.585255
   12.711, -26.439980
   12.847, -26.293020
   12.983, -26.144409
   13.122, -25.994020
   13.261, -25.841690
   13.402, -25.687405
   13.545, -25.531370
   13.689, -25.373779
   13.835, -25.214823
   13.982, -25.054651
   14.131, -24.893436
   14.281, -24.731104
   14.433, -24.567524
   14.587, -24.402590
   14.742, -24.236338
   14.899, -24.069048
   15.057, -23.900997
   15.217, -23.732344
   15.379, -23.563112
   15.543, -23.393282
   15.708, -23.222902
   15.875, -23.052036
   16.044, -22.880808
   16.215, -22.709366
   16.388, -22.537920
   16.562, -22.366756
   16.738, -22.196001
   16.916, -22.025618
   17.096, -21.855566
   17.278, -21.685928
   17.462, -21.516935
   17.648, -21.348833
   17.836, -21.181690
   18.025, -21.015553
   18.217, -20.850498
   18.411, -20.686789
   18.607, -20.524734
   18.805, -20.364643
   19.005, -20.206846
   19.207, -20.051592
   19.412, -19.898827
   19.618, -19.748436
   19.827, -19.600611
   20.038, -19.455860
   20.251, -19.314611
   20.467, -19.177094
   20.684, -19.043505
   20.905, -18.914127
   21.127, -18.789391
   21.352, -18.669720
   21.579, -18.555374
   21.809, -18.446472
   22.041, -18.343201
   22.275, -18.245853
   22.512, -18.154772
   22.752, -18.070419
   22.994, -17.993353
   23.239, -17.923929
   23.486, -17.860851
   23.736, -17.801680
   23.988, -17.744169
   24.244, -17.687647
   24.501, -17.632151
   24.762, -17.577713
   25.026, -17.524267
   25.292, -17.471830
   25.561, -17.420553
   25.833, -17.370607
   26.108, -17.322088
   26.386, -17.274813
   26.667, -17.228523
   26.950, -17.183365
   27.237, -17.139744
   27.527, -17.097960
   27.820, -17.057949
   28.116, -17.019539
   28.415, -16.982721
   28.717, -16.947634
   29.023, -16.914429
   29.332, -16.883286
   29.644, -16.854313
   29.959, -16.827644
   30.278, -16.803358
   30.600, -16.781343
   30.926, -16.761412
   31.255, -16.743706
   31.587, -16.728579
   31.924, -16.716270
   32.263, -16.706802
   32.607, -16.700134
   32.953, -16.696260
   33.304, -16.695269
   33.658, -16.697203
   34.017, -16.702251
   34.379, -16.710720
   34.744, -16.722746
   35.114, -16.736504
   35.488, -16.750559
   35.865, -16.764343
   36.247, -16.779144
   36.633, -16.795401
   37.022, -16.813150
   37.416, -16.832172
   37.815, -16.852285
   38.217, -16.873671
   38.624, -16.896694
